Time elapsed	Time stamp	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A		V	A	V/A

6.19388366e-01	2023-06-29T15:14:03.999711	-1.00000000e-01	-1.81490000e-07	5.50994545e+05	1	1.00000000e+00	2.21440000e-07	4.51589595e+06
1.01955567e+00	2023-06-29T15:14:04.399713	-1.00000000e-01	-1.81030000e-07	5.52394631e+05	1	9.75000000e-01	2.11750000e-07	4.60448642e+06
1.30905439e+00	2023-06-29T15:14:04.689718	-1.00000000e-01	-1.75550000e-07	5.69638280e+05	1	9.50000000e-01	1.78980000e-07	5.30785563e+06
1.60753443e+00	2023-06-29T15:14:04.979782	-1.00000000e-01	-1.78420000e-07	5.60475283e+05	1	9.25000000e-01	2.14600000e-07	4.31034483e+06
1.90999273e+00	2023-06-29T15:14:05.289722	-1.00000000e-01	-1.69080000e-07	5.91436007e+05	1	9.00000000e-01	1.82610000e-07	4.92853622e+06
2.20969287e+00	2023-06-29T15:14:05.589724	-1.00000000e-01	-1.58110000e-07	6.32471064e+05	1	8.75000000e-01	1.92480000e-07	4.54592685e+06
2.49996328e+00	2023-06-29T15:14:05.879725	-1.00000000e-01	-1.52230000e-07	6.56900742e+05	1	8.50000000e-01	1.77500000e-07	4.78873239e+06
2.78766754e+00	2023-06-29T15:14:06.159882	-1.00000000e-01	-1.47600000e-07	6.77506775e+05	1	8.25000000e-01	1.61070000e-07	5.12199665e+06
3.07752114e+00	2023-06-29T15:14:06.449868	-1.00000000e-01	-1.47010000e-07	6.80225835e+05	1	8.00000000e-01	1.84060000e-07	4.34640878e+06
3.38039256e+00	2023-06-29T15:14:06.759731	-1.00000000e-01	-1.48840000e-07	6.71862403e+05	1	7.75000000e-01	1.57350000e-07	4.92532571e+06
3.68021701e+00	2023-06-29T15:14:07.059731	-1.00000000e-01	-1.48250000e-07	6.74536256e+05	1	7.50000000e-01	1.77520000e-07	4.22487607e+06
3.97653213e+00	2023-06-29T15:14:07.349883	-1.00000000e-01	-1.42900000e-07	6.99790063e+05	1	7.25000000e-01	1.34730000e-07	5.38113264e+06
4.27894817e+00	2023-06-29T15:14:07.659734	-1.00000000e-01	-1.33230000e-07	7.50581701e+05	1	7.00000000e-01	1.77690000e-07	3.93944510e+06
4.57965918e+00	2023-06-29T15:14:07.959736	-1.00000000e-01	-1.24680000e-07	8.02053256e+05	1	6.75000000e-01	1.33830000e-07	5.04371217e+06
4.88958660e+00	2023-06-29T15:14:08.269738	-1.00000000e-01	-1.30880000e-07	7.64058680e+05	1	6.50000000e-01	1.20880000e-07	5.37723362e+06
5.17966952e+00	2023-06-29T15:14:08.559739	-1.00000000e-01	-1.26310000e-07	7.91702953e+05	1	6.25000000e-01	1.49190000e-07	4.18928883e+06
5.46990465e+00	2023-06-29T15:14:08.849741	-1.00000000e-01	-1.23960000e-07	8.06711843e+05	1	6.00000000e-01	1.07570000e-07	5.57776332e+06
