Time elapsed	Time stamp	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A		V	A	V/A

6.11348171e-01	2023-06-29T16:20:55.502965	-1.00000000e-01	-1.17610000e-08	8.50267834e+06	1	1.00000000e+00	4.19260000e-08	2.38515480e+07
1.02147074e+00	2023-06-29T16:20:55.913033	-1.00000000e-01	-1.14210000e-08	8.75580072e+06	1	9.75000000e-01	3.20520000e-08	3.04193186e+07
1.31155408e+00	2023-06-29T16:20:56.202637	-1.00000000e-01	-1.22820000e-08	8.14199642e+06	1	9.50000000e-01	1.95040000e-08	4.87079573e+07
1.63302117e+00	2023-06-29T16:20:56.525016	-1.00000000e-01	-1.39410000e-08	7.17308658e+06	1	9.25000000e-01	1.61050000e-08	5.74355790e+07
1.91938020e+00	2023-06-29T16:20:56.811392	-1.00000000e-01	-1.34710000e-08	7.42335387e+06	1	9.00000000e-01	1.76580000e-08	5.09683996e+07
2.20545534e+00	2023-06-29T16:20:57.096724	-1.00000000e-01	-1.28320000e-08	7.79301746e+06	1	8.75000000e-01	1.57800000e-08	5.54499366e+07
2.66165006e+00	2023-06-29T16:20:57.553381	-1.00000000e-01	-1.24920000e-08	8.00512328e+06	1	8.50000000e-01	9.73830000e-09	8.72842283e+07
2.96292476e+00	2023-06-29T16:20:57.854901	-1.00000000e-01	-9.84100000e-09	1.01615689e+07	1	8.25000000e-01	2.01760000e-08	4.08901665e+07
3.28163904e+00	2023-06-29T16:20:58.172387	-1.00000000e-01	-1.20810000e-08	8.27746048e+06	1	8.00000000e-01	9.31700000e-09	8.58645487e+07
3.57421796e+00	2023-06-29T16:20:58.465634	-1.00000000e-01	-9.66690000e-09	1.03445779e+07	1	7.75000000e-01	9.53200000e-09	8.13050776e+07
3.86117227e+00	2023-06-29T16:20:58.752718	-1.00000000e-01	-1.13170000e-08	8.83626403e+06	1	7.50000000e-01	8.67770000e-09	8.64284315e+07
4.17759609e+00	2023-06-29T16:20:59.069404	-1.00000000e-01	-1.15390000e-08	8.66626224e+06	1	7.25000000e-01	1.83800000e-08	3.94450490e+07
4.48394812e+00	2023-06-29T16:20:59.375492	-1.00000000e-01	-9.80320000e-09	1.02007508e+07	1	7.00000000e-01	6.98400000e-09	1.00229095e+08
4.77460417e+00	2023-06-29T16:20:59.666347	-1.00000000e-01	-8.56500000e-09	1.16754232e+07	1	6.75000000e-01	1.48540000e-08	4.54423051e+07
5.07675478e+00	2023-06-29T16:20:59.968094	-1.00000000e-01	-9.59960000e-09	1.04171007e+07	1	6.50000000e-01	9.27510000e-09	7.00801070e+07
5.35708182e+00	2023-06-29T16:21:00.248262	-1.00000000e-01	-7.93710000e-09	1.25990601e+07	1	6.25000000e-01	5.54390000e-09	1.12736521e+08
5.65615837e+00	2023-06-29T16:21:00.547426	-1.00000000e-01	-7.92930000e-09	1.26114537e+07	1	6.00000000e-01	1.38760000e-08	4.32401268e+07
