Time elapsed	Time stamp	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A		V	A	V/A

6.15900370e-01	2023-06-29T16:32:06.090566	-1.00000000e-01	-6.01070000e-07	1.66369974e+05	1	1.00000000e+00	4.20060000e-07	2.38061229e+06
9.98575181e-01	2023-06-29T16:32:06.480406	-1.00000000e-01	-5.83930000e-07	1.71253404e+05	1	9.75000000e-01	3.76450000e-07	2.58998539e+06
1.30098794e+00	2023-06-29T16:32:06.783308	-1.00000000e-01	-5.69300000e-07	1.75654312e+05	1	9.50000000e-01	3.82920000e-07	2.48093597e+06
1.59236850e+00	2023-06-29T16:32:07.073998	-1.00000000e-01	-5.56630000e-07	1.79652552e+05	1	9.25000000e-01	3.61690000e-07	2.55743869e+06
1.90220443e+00	2023-06-29T16:32:07.384000	-1.00000000e-01	-5.52450000e-07	1.81011856e+05	1	9.00000000e-01	3.47090000e-07	2.59298741e+06
2.20324488e+00	2023-06-29T16:32:07.684002	-1.00000000e-01	-5.46380000e-07	1.83022805e+05	1	8.75000000e-01	3.53840000e-07	2.47286909e+06
2.49278627e+00	2023-06-29T16:32:07.974004	-1.00000000e-01	-5.37430000e-07	1.86070744e+05	1	8.50000000e-01	3.52060000e-07	2.41436119e+06
2.78687288e+00	2023-06-29T16:32:08.269369	-1.00000000e-01	-5.29790000e-07	1.88754035e+05	1	8.25000000e-01	3.13400000e-07	2.63241863e+06
3.07527539e+00	2023-06-29T16:32:08.557606	-1.00000000e-01	-5.18950000e-07	1.92696792e+05	1	8.00000000e-01	3.22970000e-07	2.47701025e+06
3.36655216e+00	2023-06-29T16:32:08.848541	-1.00000000e-01	-5.10860000e-07	1.95748346e+05	1	7.75000000e-01	2.90260000e-07	2.67001998e+06
3.65597499e+00	2023-06-29T16:32:09.138337	-1.00000000e-01	-4.97210000e-07	2.01122262e+05	1	7.50000000e-01	2.86630000e-07	2.61661375e+06
3.94625812e+00	2023-06-29T16:32:09.428912	-1.00000000e-01	-4.85580000e-07	2.05939289e+05	1	7.25000000e-01	2.99570000e-07	2.42013553e+06
4.24863723e+00	2023-06-29T16:32:09.731134	-1.00000000e-01	-4.79320000e-07	2.08628891e+05	1	7.00000000e-01	2.91940000e-07	2.39775296e+06
4.54238579e+00	2023-06-29T16:32:10.024506	-1.00000000e-01	-4.74030000e-07	2.10957112e+05	1	6.75000000e-01	2.59340000e-07	2.60276085e+06
4.84050153e+00	2023-06-29T16:32:10.322680	-1.00000000e-01	-4.68280000e-07	2.13547450e+05	1	6.50000000e-01	2.56280000e-07	2.53628843e+06
5.12960353e+00	2023-06-29T16:32:10.611442	-1.00000000e-01	-4.59070000e-07	2.17831703e+05	1	6.25000000e-01	2.70440000e-07	2.31104866e+06
5.42808399e+00	2023-06-29T16:32:10.910678	-1.00000000e-01	-4.51040000e-07	2.21709826e+05	1	6.00000000e-01	2.56670000e-07	2.33763198e+06
