Time elapsed	Time stamp	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A		V	A	V/A

6.16007542e-01	2023-07-06T11:49:40.488485	-1.00000000e-01	-9.20200000e-08	1.08672028e+06	1	1.00000000e+00	9.81200000e-08	1.01916021e+07
9.81819084e-01	2023-07-06T11:49:40.848652	-1.00000000e-01	-3.11460000e-08	3.21068516e+06	1	9.75000000e-01	6.28600000e-08	1.55106586e+07
1.27539722e+00	2023-07-06T11:49:41.148827	-1.00000000e-01	-1.85380000e-08	5.39432517e+06	1	9.50000000e-01	4.68450000e-08	2.02796456e+07
1.56654295e+00	2023-07-06T11:49:41.439003	-1.00000000e-01	-1.47040000e-08	6.80087051e+06	1	9.25000000e-01	3.80990000e-08	2.42788525e+07
1.86615103e+00	2023-07-06T11:49:41.739168	-1.00000000e-01	-9.80800000e-09	1.01957586e+07	1	9.00000000e-01	2.90560000e-08	3.09746696e+07
2.16705716e+00	2023-07-06T11:49:42.039334	-1.00000000e-01	-9.13390000e-09	1.09482258e+07	1	8.75000000e-01	2.44880000e-08	3.57317870e+07
2.46588904e+00	2023-07-06T11:49:42.339496	-1.00000000e-01	-7.22940000e-09	1.38324066e+07	1	8.50000000e-01	2.05700000e-08	4.13223140e+07
2.76518574e+00	2023-07-06T11:49:42.629758	-1.00000000e-01	-6.91360000e-09	1.44642444e+07	1	8.25000000e-01	1.74610000e-08	4.72481530e+07
3.05407464e+00	2023-07-06T11:49:42.919899	-1.00000000e-01	-5.72940000e-09	1.74538346e+07	1	8.00000000e-01	1.15500000e-08	6.92640693e+07
3.34536396e+00	2023-07-06T11:49:43.210074	-1.00000000e-01	-4.38770000e-09	2.27909839e+07	1	7.75000000e-01	9.71800000e-09	7.97489195e+07
3.63025492e+00	2023-07-06T11:49:43.504326	-1.00000000e-01	-5.19110000e-09	1.92637399e+07	1	7.50000000e-01	6.81560000e-09	1.10041669e+08
3.92520659e+00	2023-07-06T11:49:43.798498	-1.00000000e-01	-3.90750000e-09	2.55918106e+07	1	7.25000000e-01	6.52420000e-09	1.11124736e+08
4.40548660e+00	2023-07-06T11:49:44.279651	-1.00000000e-01	-2.73350000e-09	3.65831352e+07	1	7.00000000e-01	4.63070000e-09	1.51165051e+08
4.68634474e+00	2023-07-06T11:49:44.559909	-1.00000000e-01	-1.63120000e-09	6.13045611e+07	1	6.75000000e-01	2.73090000e-09	2.47171262e+08
5.01571035e+00	2023-07-06T11:49:44.889892	-1.00000000e-01	-5.87080000e-10	1.70334537e+08	1	6.50000000e-01	1.69250000e-09	3.84047267e+08
5.29584685e+00	2023-07-06T11:49:45.169171	-1.00000000e-01	-2.98730000e-10	3.34750444e+08	1	6.25000000e-01	2.72720000e-09	2.29172778e+08
6.24846349e+00	2023-07-06T11:49:46.121914	-1.00000000e-01	-1.22640000e-10	8.15394651e+08	1	6.00000000e-01	9.51450000e-10	6.30616428e+08
