Time elapsed	Time stamp	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A		V	A	V/A

6.11232159e-01	2023-07-06T10:42:09.509865	-1.00000000e-01	-1.76540000e-04	5.66443865e+02	1	1.00000000e+00	6.18780000e-07	1.61608326e+06
9.99297641e-01	2023-07-06T10:42:09.897485	-1.00000000e-01	-4.55190000e-08	2.19688482e+06	1	9.75000000e-01	9.70400000e-08	1.00474031e+07
1.33914119e+00	2023-07-06T10:42:10.237669	-1.00000000e-01	-1.97990000e-08	5.05076014e+06	1	9.50000000e-01	4.18730000e-08	2.26876508e+07
1.63894579e+00	2023-07-06T10:42:10.537853	-1.00000000e-01	-1.49470000e-08	6.69030575e+06	1	9.25000000e-01	2.73370000e-08	3.38369243e+07
1.92821459e+00	2023-07-06T10:42:10.818113	-1.00000000e-01	-1.51430000e-08	6.60371129e+06	1	9.00000000e-01	1.68990000e-08	5.32575892e+07
2.21757365e+00	2023-07-06T10:42:11.108143	-1.00000000e-01	-1.01350000e-08	9.86679822e+06	1	8.75000000e-01	2.04320000e-08	4.28249804e+07
2.54083957e+00	2023-07-06T10:42:11.438345	-1.00000000e-01	-6.55150000e-09	1.52636801e+07	1	8.50000000e-01	1.19980000e-08	7.08451409e+07
2.83931084e+00	2023-07-06T10:42:11.728594	-1.00000000e-01	-5.05310000e-09	1.97898320e+07	1	8.25000000e-01	9.19400000e-09	8.97324342e+07
3.13627359e+00	2023-07-06T10:42:12.028780	-1.00000000e-01	-5.15780000e-09	1.93881112e+07	1	8.00000000e-01	8.73130000e-09	9.16243858e+07
3.41686301e+00	2023-07-06T10:42:12.315938	-1.00000000e-01	-4.30430000e-09	2.32325814e+07	1	7.75000000e-01	7.79640000e-09	9.94048535e+07
3.71638822e+00	2023-07-06T10:42:12.615401	-1.00000000e-01	-3.29690000e-09	3.03315236e+07	1	7.50000000e-01	5.79480000e-09	1.29426382e+08
4.01495753e+00	2023-07-06T10:42:12.914005	-1.00000000e-01	-2.38160000e-09	4.19885791e+07	1	7.25000000e-01	4.01090000e-09	1.80757436e+08
4.30084336e+00	2023-07-06T10:42:13.199553	-1.00000000e-01	-1.70640000e-09	5.86029067e+07	1	7.00000000e-01	3.29350000e-09	2.12539851e+08
4.59647360e+00	2023-07-06T10:42:13.495063	-1.00000000e-01	-9.71100000e-10	1.02976007e+08	1	6.75000000e-01	3.33410000e-09	2.02453436e+08
4.89597953e+00	2023-07-06T10:42:13.794436	-1.00000000e-01	-4.32740000e-10	2.31085640e+08	1	6.50000000e-01	2.83730000e-09	2.29091037e+08
5.19081756e+00	2023-07-06T10:42:14.089085	-1.00000000e-01	-4.50150000e-10	2.22148173e+08	1	6.25000000e-01	1.73030000e-09	3.61209039e+08
6.43626813e+00	2023-07-06T10:42:15.334837	-1.00000000e-01	-3.19060000e-10	3.13420673e+08	1	6.00000000e-01	1.14070000e-09	5.25992811e+08
