Time elapsed	Time stamp	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A		V	A	V/A

6.19223287e-01	2023-07-11T15:00:41.065696	-1.00000000e-01	-9.03700000e-09	1.10656191e+07	1	1.00000000e+00	1.07260000e-08	9.32314003e+07
1.02191301e+00	2023-07-11T15:00:41.475799	-1.00000000e-01	-3.40310000e-09	2.93849725e+07	1	9.75000000e-01	9.30200000e-09	1.04816169e+08
1.31922517e+00	2023-07-11T15:00:41.766073	-1.00000000e-01	-2.55580000e-09	3.91266922e+07	1	9.50000000e-01	3.19950000e-09	2.96921394e+08
1.60165366e+00	2023-07-11T15:00:42.056104	-1.00000000e-01	-2.46360000e-09	4.05910050e+07	1	9.25000000e-01	3.11780000e-09	2.96683559e+08
1.91383843e+00	2023-07-11T15:00:42.366272	-1.00000000e-01	-2.87010000e-09	3.48419916e+07	1	9.00000000e-01	2.03270000e-09	4.42760860e+08
2.20329460e+00	2023-07-11T15:00:42.656421	-1.00000000e-01	-1.68340000e-09	5.94035880e+07	1	8.75000000e-01	1.44510000e-09	6.05494429e+08
2.65788541e+00	2023-07-11T15:00:43.106642	-1.00000000e-01	-1.04400000e-09	9.57854406e+07	1	8.50000000e-01	1.11670000e-09	7.61171308e+08
3.40344418e+00	2023-07-11T15:00:43.857406	-1.00000000e-01	-7.52010000e-10	1.32976955e+08	1	8.25000000e-01	1.32080000e-09	6.24621442e+08
3.89429711e+00	2023-07-11T15:00:44.347681	-1.00000000e-01	-3.41560000e-10	2.92774330e+08	1	8.00000000e-01	8.68600000e-10	9.21022335e+08
4.47459941e+00	2023-07-11T15:00:44.928152	-1.00000000e-01	-5.51320000e-10	1.81382863e+08	1	7.75000000e-01	6.62590000e-10	1.16965242e+09
5.05610252e+00	2023-07-11T15:00:45.510626	-1.00000000e-01	-2.67000000e-10	3.74531835e+08	1	7.50000000e-01	4.83350000e-10	1.55167063e+09
5.63151948e+00	2023-07-11T15:00:46.086570	-1.00000000e-01	-1.38180000e-10	7.23693733e+08	1	7.25000000e-01	4.48540000e-10	1.61635529e+09
6.21222465e+00	2023-07-11T15:00:46.666642	-1.00000000e-01	-1.86150000e-10	5.37201182e+08	1	7.00000000e-01	3.14750000e-10	2.22398729e+09
6.79873124e+00	2023-07-11T15:00:47.253059	-1.00000000e-01	-7.37600000e-11	1.35574837e+09	1	6.75000000e-01	2.47260000e-10	2.72991992e+09
7.38647681e+00	2023-07-11T15:00:47.840857	-1.00000000e-01	1.89500000e-10	-5.27704485e+08	1	6.50000000e-01	1.37780000e-10	4.71766584e+09
7.95920660e+00	2023-07-11T15:00:48.413585	-1.00000000e-01	-2.54430000e-10	3.93035412e+08	1	6.25000000e-01	9.48700000e-11	6.58796247e+09
8.54015627e+00	2023-07-11T15:00:48.994659	-1.00000000e-01	2.12800000e-11	-4.69924812e+09	1	6.00000000e-01	3.82300000e-11	1.56944808e+10
