Time elapsed	Time stamp	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A		V	A	V/A

6.28080715e-01	2023-07-12T16:12:40.774819	-1.00000000e-01	-2.73980000e-08	3.64990145e+06	1	1.00000000e+00	5.01700000e-08	1.99322304e+07
1.04982642e+00	2023-07-12T16:12:41.204894	-1.00000000e-01	-1.53120000e-08	6.53082550e+06	1	9.75000000e-01	2.18430000e-08	4.46367257e+07
1.35012484e+00	2023-07-12T16:12:41.505142	-1.00000000e-01	-8.61020000e-09	1.16141321e+07	1	9.50000000e-01	1.14870000e-08	8.27021851e+07
1.65122039e+00	2023-07-12T16:12:41.805226	-1.00000000e-01	-6.04740000e-09	1.65360320e+07	1	9.25000000e-01	7.69290000e-09	1.20240741e+08
1.94150446e+00	2023-07-12T16:12:42.095385	-1.00000000e-01	-2.92230000e-09	3.42196215e+07	1	9.00000000e-01	5.23440000e-09	1.71939477e+08
2.24135939e+00	2023-07-12T16:12:42.395548	-1.00000000e-01	-3.76460000e-09	2.65632471e+07	1	8.75000000e-01	3.88800000e-09	2.25051440e+08
2.52906336e+00	2023-07-12T16:12:42.675853	-1.00000000e-01	-2.74800000e-09	3.63901019e+07	1	8.50000000e-01	2.94120000e-09	2.88997688e+08
2.82742537e+00	2023-07-12T16:12:42.976020	-1.00000000e-01	-1.68700000e-09	5.92768228e+07	1	8.25000000e-01	5.00630000e-09	1.64792362e+08
3.64993957e+00	2023-07-12T16:12:43.796468	-1.00000000e-01	-1.14330000e-09	8.74661069e+07	1	8.00000000e-01	2.16620000e-09	3.69310313e+08
3.95223799e+00	2023-07-12T16:12:44.107598	-1.00000000e-01	-9.49700000e-10	1.05296409e+08	1	7.75000000e-01	1.92860000e-09	4.01845899e+08
5.18676497e+00	2023-07-12T16:12:45.341962	-1.00000000e-01	-9.33070000e-10	1.07173095e+08	1	7.50000000e-01	1.46270000e-09	5.12750393e+08
6.13604173e+00	2023-07-12T16:12:46.291269	-1.00000000e-01	-1.33260000e-09	7.50412727e+07	1	7.25000000e-01	1.16780000e-09	6.20825484e+08
6.44715204e+00	2023-07-12T16:12:46.602413	-1.00000000e-01	-3.26520000e-10	3.06259953e+08	1	7.00000000e-01	1.50240000e-09	4.65921193e+08
7.90527803e+00	2023-07-12T16:12:48.061362	-1.00000000e-01	-7.93470000e-10	1.26028709e+08	1	6.75000000e-01	9.35810000e-10	7.21300264e+08
8.61576073e+00	2023-07-12T16:12:48.771576	-1.00000000e-01	-7.71940000e-10	1.29543747e+08	1	6.50000000e-01	6.17180000e-10	1.05317736e+09
9.31881861e+00	2023-07-12T16:12:49.474464	-1.00000000e-01	-6.03260000e-10	1.65766005e+08	1	6.25000000e-01	4.38380000e-10	1.42570373e+09
9.89831557e+00	2023-07-12T16:12:50.054302	-1.00000000e-01	5.79020000e-10	-1.72705606e+08	1	6.00000000e-01	4.31100000e-10	1.39178845e+09
