Time elapsed	Time stamp	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A		V	A	V/A

6.10520935e-01	2023-07-12T17:39:39.810673	-1.00000000e-01	-1.00250000e-07	9.97506234e+05	1	1.00000000e+00	4.49350000e-08	2.22543674e+07
1.05980016e+00	2023-07-12T17:39:40.260793	-1.00000000e-01	-4.51550000e-09	2.21459418e+07	1	9.75000000e-01	1.57730000e-08	6.18144931e+07
1.38361774e+00	2023-07-12T17:39:40.590936	-1.00000000e-01	-2.50720000e-09	3.98851308e+07	1	9.50000000e-01	9.83200000e-09	9.66232710e+07
1.67405073e+00	2023-07-12T17:39:40.881147	-1.00000000e-01	-3.16970000e-09	3.15487270e+07	1	9.25000000e-01	7.81850000e-09	1.18309139e+08
1.96309213e+00	2023-07-12T17:39:41.161389	-1.00000000e-01	-2.14860000e-09	4.65419343e+07	1	9.00000000e-01	4.92040000e-09	1.82911958e+08
2.26193496e+00	2023-07-12T17:39:41.461569	-1.00000000e-01	-9.16760000e-10	1.09079803e+08	1	8.75000000e-01	3.14640000e-09	2.78095601e+08
3.19583163e+00	2023-07-12T17:39:42.402123	-1.00000000e-01	-8.11840000e-10	1.23176981e+08	1	8.50000000e-01	2.48200000e-09	3.42465753e+08
3.56509164e+00	2023-07-12T17:39:42.772322	-1.00000000e-01	-5.60930000e-10	1.78275364e+08	1	8.25000000e-01	2.56230000e-09	3.21976349e+08
3.92392170e+00	2023-07-12T17:39:43.122671	-1.00000000e-01	-2.86150000e-10	3.49467063e+08	1	8.00000000e-01	1.63170000e-09	4.90286205e+08
4.29500325e+00	2023-07-12T17:39:43.502596	-1.00000000e-01	-4.23430000e-10	2.36166545e+08	1	7.75000000e-01	1.55060000e-09	4.99806527e+08
4.67164335e+00	2023-07-12T17:39:43.879040	-1.00000000e-01	2.88200000e-11	-3.46981263e+09	1	7.50000000e-01	1.18170000e-09	6.34678853e+08
5.48902688e+00	2023-07-12T17:39:44.696258	-1.00000000e-01	-4.42190000e-10	2.26147131e+08	1	7.25000000e-01	1.25230000e-09	5.78934760e+08
5.78614294e+00	2023-07-12T17:39:44.993150	-1.00000000e-01	1.22830000e-10	-8.14133355e+08	1	7.00000000e-01	7.93220000e-10	8.82479010e+08
6.48686524e+00	2023-07-12T17:39:45.693933	-1.00000000e-01	-8.99500000e-11	1.11172874e+09	1	6.75000000e-01	5.93480000e-10	1.13735930e+09
7.07012507e+00	2023-07-12T17:39:46.277705	-1.00000000e-01	7.49900000e-11	-1.33351113e+09	1	6.50000000e-01	3.89430000e-10	1.66910613e+09
7.78237392e+00	2023-07-12T17:39:46.989981	-1.00000000e-01	-6.19000000e-11	1.61550889e+09	1	6.25000000e-01	2.26520000e-10	2.75913827e+09
8.35696012e+00	2023-07-12T17:39:47.564067	-1.00000000e-01	1.83700000e-10	-5.44365814e+08	1	6.00000000e-01	1.02600000e-10	5.84795322e+09
