Time elapsed	Time stamp	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A		V	A	V/A

6.15594604e-01	2023-07-17T12:06:25.129804	-1.00000000e-01	-4.29640000e-08	2.32753003e+06	1	1.00000000e+00	3.64180000e-07	2.74589489e+06
9.81139259e-01	2023-07-17T12:06:25.499770	-1.00000000e-01	-9.07500000e-08	1.10192837e+06	1	9.75000000e-01	1.61490000e-07	6.03752554e+06
1.29522621e+00	2023-07-17T12:06:25.809850	-1.00000000e-01	-4.94330000e-08	2.02294014e+06	1	9.50000000e-01	1.08240000e-07	8.77679231e+06
1.57996379e+00	2023-07-17T12:06:26.099817	-1.00000000e-01	-3.57290000e-08	2.79884688e+06	1	9.25000000e-01	8.57400000e-08	1.07884301e+07
1.86916004e+00	2023-07-17T12:06:26.389821	-1.00000000e-01	-3.01060000e-08	3.32159702e+06	1	9.00000000e-01	6.84400000e-08	1.31502046e+07
2.16927857e+00	2023-07-17T12:06:26.689818	-1.00000000e-01	-2.16990000e-08	4.60850730e+06	1	8.75000000e-01	5.77800000e-08	1.51436483e+07
2.45877677e+00	2023-07-17T12:06:26.979823	-1.00000000e-01	-1.90080000e-08	5.26094276e+06	1	8.50000000e-01	4.99770000e-08	1.70078236e+07
2.74797672e+00	2023-07-17T12:06:27.259937	-1.00000000e-01	-1.84330000e-08	5.42505289e+06	1	8.25000000e-01	4.03080000e-08	2.04674010e+07
3.02912332e+00	2023-07-17T12:06:27.549819	-1.00000000e-01	-1.97330000e-08	5.06765317e+06	1	8.00000000e-01	3.46840000e-08	2.30653904e+07
3.31946501e+00	2023-07-17T12:06:27.839820	-1.00000000e-01	-1.75180000e-08	5.70841420e+06	1	7.75000000e-01	2.92000000e-08	2.65410959e+07
3.60908383e+00	2023-07-17T12:06:28.129643	-1.00000000e-01	-9.96100000e-09	1.00391527e+07	1	7.50000000e-01	2.34360000e-08	3.20020481e+07
3.89441546e+00	2023-07-17T12:06:28.415135	-1.00000000e-01	-9.70700000e-09	1.03018440e+07	1	7.25000000e-01	2.06240000e-08	3.51532196e+07
4.17858525e+00	2023-07-17T12:06:28.698719	-1.00000000e-01	-7.94600000e-09	1.25849484e+07	1	7.00000000e-01	1.86940000e-08	3.74451696e+07
4.46599401e+00	2023-07-17T12:06:28.986086	-1.00000000e-01	-6.55210000e-09	1.52622823e+07	1	6.75000000e-01	1.41760000e-08	4.76156885e+07
4.75977529e+00	2023-07-17T12:06:29.280611	-1.00000000e-01	-5.15980000e-09	1.93805961e+07	1	6.50000000e-01	1.16130000e-08	5.59717558e+07
5.06731988e+00	2023-07-17T12:06:29.588021	-1.00000000e-01	-3.20140000e-09	3.12363341e+07	1	6.25000000e-01	7.45620000e-09	8.38228588e+07
5.35975101e+00	2023-07-17T12:06:29.880061	-1.00000000e-01	-2.04350000e-09	4.89356496e+07	1	6.00000000e-01	5.57600000e-09	1.07604017e+08
