Time elapsed	Time stamp	Source Voltage	Source Current	Drain Voltage	Drain Current	Loop1 Index	Gate Voltage	Gate Current
s		V	A	V	A		V	A

1.15149620e+00	23-05-19 16:28:19	6.46068300e-05	-2.45579000e-07	-4.99927900e-01	-5.44496400e-07	1	1.00016700e+00	6.95376800e-07
3.24878960e+00	23-05-19 16:28:21	6.65307700e-05	-1.41330900e-07	-4.99927400e-01	-4.25433000e-07	1	9.00123000e-01	5.53642700e-07
4.36275320e+00	23-05-19 16:28:22	6.70328100e-05	-9.94855700e-08	-4.99929300e-01	-3.40974900e-07	1	8.00110000e-01	4.37485100e-07
5.73496680e+00	23-05-19 16:28:24	6.72839200e-05	-6.31712800e-08	-4.99928000e-01	-2.73695300e-07	1	7.00157200e-01	3.41392800e-07
7.10588230e+00	23-05-19 16:28:25	6.49412900e-05	-2.85925100e-08	-4.99928300e-01	-2.30028100e-07	1	6.00117100e-01	2.60303400e-07
8.74593610e+00	23-05-19 16:28:27	6.92915300e-05	6.50089700e-09	-4.99928700e-01	-1.95515200e-07	1	5.00117800e-01	2.00269900e-07
1.01211531e+01	23-05-19 16:28:28	7.08808700e-05	1.53842900e-08	-4.99928800e-01	-1.60910000e-07	1	4.00153400e-01	1.62862900e-07
1.14958341e+01	23-05-19 16:28:30	7.08807400e-05	1.00080800e-08	-4.99928200e-01	-1.27428600e-07	1	3.00101500e-01	1.28069100e-07
1.28715610e+01	23-05-19 16:28:31	7.02116200e-05	7.49975600e-09	-4.99927900e-01	-9.47368800e-08	1	2.00060300e-01	9.16722000e-08
1.42466479e+01	23-05-19 16:28:32	6.99608000e-05	6.87202500e-09	-4.99928000e-01	-4.65137800e-08	1	1.00065900e-01	4.44491300e-08
1.56231681e+01	23-05-19 16:28:34	7.03790000e-05	1.14465500e-08	-4.99927100e-01	-4.63094500e-10	1	6.70523400e-05	1.32511000e-09
1.73124060e+01	23-05-19 16:28:35	7.65690700e-05	4.90276600e-07	-4.99928800e-01	-7.41634800e-07	1	-9.99386700e-02	-5.16090300e-09
1.91993013e+01	23-05-19 16:28:37	7.07973700e-05	1.08859300e-05	-4.99929700e-01	-1.50093300e-05	1	-1.99933000e-01	-1.01030300e-08
2.12319772e+01	23-05-19 16:28:39	7.19686200e-05	6.65692300e-05	-4.99929500e-01	-6.79303900e-05	1	-2.99961100e-01	-1.44068500e-08
2.30305710e+01	23-05-19 16:28:41	7.24707200e-05	1.67852000e-04	-4.99931200e-01	-1.70771700e-04	1	-3.99967900e-01	-1.83007600e-08
2.43863118e+01	23-05-19 16:28:42	7.41439300e-05	3.10841200e-04	-4.99932000e-01	-3.14867800e-04	1	-4.99952900e-01	-1.58591400e-08
2.57318755e+01	23-05-19 16:28:44	7.55664100e-05	4.79783300e-04	-4.99932900e-01	-4.85226100e-04	1	-5.99942800e-01	-2.53972200e-08
2.70896093e+01	23-05-19 16:28:45	7.88287400e-05	6.57080000e-04	-4.99931900e-01	-6.74328800e-04	1	-6.99974100e-01	-4.61856000e-08
2.86207112e+01	23-05-19 16:28:47	7.97491200e-05	8.22255200e-04	-4.99931900e-01	-8.25565600e-04	1	-7.99924700e-01	-6.98609500e-08
2.99334995e+01	23-05-19 16:28:48	8.22586600e-05	9.16464400e-04	-4.99931500e-01	-9.18542400e-04	1	-8.99961700e-01	-1.08014200e-07
3.12464500e+01	23-05-19 16:28:49	8.21750200e-05	9.54406500e-04	-4.99931100e-01	-9.54523600e-04	1	-9.99966900e-01	-2.39172000e-07
3.25494688e+01	23-05-19 16:28:51	8.21750200e-05	9.50244100e-04	-4.99931600e-01	-9.50101700e-04	1	-9.99967700e-01	-2.37990800e-07
3.31675460e+01	23-05-19 16:28:51	8.16731700e-05	9.12836700e-04	-4.99932000e-01	-9.13251600e-04	1	-8.99961700e-01	-8.04960600e-08
3.44975168e+01	23-05-19 16:28:53	8.10039100e-05	8.29459800e-04	-4.99931400e-01	-8.29800700e-04	1	-7.99918500e-01	-2.14109200e-08
3.58584339e+01	23-05-19 16:28:54	7.98325600e-05	6.95652200e-04	-4.99931400e-01	-6.92798800e-04	1	-6.99971100e-01	-5.85669100e-09
3.72144633e+01	23-05-19 16:28:55	7.71556500e-05	5.19699800e-04	-4.99931400e-01	-5.16187600e-04	1	-5.99939900e-01	3.32479100e-09
3.85744425e+01	23-05-19 16:28:57	7.51477200e-05	3.40592200e-04	-4.99931400e-01	-3.34966400e-04	1	-4.99950000e-01	7.69099300e-09
4.01575791e+01	23-05-19 16:28:58	7.32236900e-05	1.87070800e-04	-4.99930900e-01	-1.83813200e-04	1	-3.99966500e-01	8.93178300e-09
4.14962129e+01	23-05-19 16:29:00	7.13831100e-05	7.48592500e-05	-4.99930100e-01	-7.30924800e-05	1	-2.99959100e-01	1.09930500e-08
4.28552368e+01	23-05-19 16:29:01	7.06299300e-05	1.52706600e-05	-4.99929900e-01	-1.48279300e-05	1	-1.99929500e-01	1.27519200e-08
4.46562319e+01	23-05-19 16:29:03	6.87895200e-05	7.69531800e-07	-4.99928600e-01	-7.50439300e-07	1	-9.99365800e-02	1.57390100e-08
4.64815074e+01	23-05-19 16:29:05	6.51923500e-05	-1.41236300e-08	-4.99929300e-01	-1.86607300e-08	1	6.81399700e-05	2.41847600e-08
4.88865104e+01	23-05-19 16:29:07	6.44395800e-05	-2.09618000e-08	-4.99928300e-01	-7.87977600e-08	1	1.00066000e-01	7.56411600e-08
5.05113749e+01	23-05-19 16:29:09	6.55268600e-05	-1.56916800e-08	-4.99929400e-01	-1.60796200e-07	1	2.00061500e-01	1.41559100e-07
5.18914552e+01	23-05-19 16:29:10	6.52760200e-05	-1.47090600e-08	-4.99928000e-01	-1.92234500e-07	1	3.00103300e-01	1.78935700e-07
5.32612657e+01	23-05-19 16:29:11	6.57778600e-05	-1.47353100e-08	-4.99929200e-01	-2.26011600e-07	1	4.00154900e-01	2.13316500e-07
5.46361758e+01	23-05-19 16:29:13	6.53595500e-05	-2.01537500e-08	-4.99929900e-01	-2.54496400e-07	1	5.00118400e-01	2.46163400e-07
5.60113108e+01	23-05-19 16:29:14	6.78692000e-05	-4.89150600e-08	-4.99928900e-01	-2.68620000e-07	1	6.00118300e-01	2.95649400e-07
5.76215298e+01	23-05-19 16:29:16	6.69489400e-05	-1.21542400e-07	-4.99929400e-01	-3.27484500e-07	1	7.00157100e-01	4.02011300e-07
5.89958562e+01	23-05-19 16:29:17	6.59451400e-05	-1.45430000e-07	-4.99931400e-01	-4.37125500e-07	1	8.00111300e-01	5.03146800e-07
6.01377342e+01	23-05-19 16:29:18	6.61961100e-05	-1.69378600e-07	-4.99930700e-01	-4.76200900e-07	1	9.00122200e-01	5.78102200e-07
6.12768269e+01	23-05-19 16:29:19	6.43557900e-05	-2.08779900e-07	-4.99928100e-01	-4.84067400e-07	1	1.00016700e+00	6.31965000e-07
6.26053460e+01	23-05-19 16:29:21	6.56941500e-05	-1.72644900e-07	-4.99928200e-01	-4.45348400e-07	2	1.00016800e+00	6.09196900e-07
6.32313810e+01	23-05-19 16:29:21	6.61125800e-05	-1.19517400e-07	-4.99929900e-01	-3.60244200e-07	2	9.00121900e-01	4.85966800e-07
6.46205847e+01	23-05-19 16:29:23	6.66145100e-05	-8.59704300e-08	-4.99929100e-01	-2.93091100e-07	2	8.00115700e-01	3.88511800e-07
6.59817948e+01	23-05-19 16:29:24	6.73673100e-05	-5.20399100e-08	-4.99929400e-01	-2.47426800e-07	2	7.00156900e-01	3.08990900e-07
6.73551068e+01	23-05-19 16:29:25	6.58615000e-05	-2.09377500e-08	-4.99928800e-01	-2.16682100e-07	2	6.00116900e-01	2.41972700e-07
6.89955865e+01	23-05-19 16:29:27	6.92910700e-05	4.03710500e-09	-4.99928800e-01	-1.85478300e-07	2	5.00116300e-01	1.91102600e-07
7.03709875e+01	23-05-19 16:29:28	7.11315600e-05	1.02096100e-08	-4.99928700e-01	-1.52481000e-07	2	4.00152700e-01	1.55762000e-07
7.17455657e+01	23-05-19 16:29:30	6.99603700e-05	6.78936400e-09	-4.99928700e-01	-1.21779500e-07	2	3.00102000e-01	1.23245000e-07
7.31205726e+01	23-05-19 16:29:31	6.98767900e-05	5.79594200e-09	-4.99927900e-01	-9.26003100e-08	2	2.00061200e-01	9.09919700e-08
7.44956570e+01	23-05-19 16:29:33	6.98768700e-05	6.41160300e-09	-4.99927700e-01	-4.70246400e-08	2	1.00064800e-01	4.67907800e-08
7.58704944e+01	23-05-19 16:29:34	6.97933400e-05	1.24242100e-08	-4.99926200e-01	-2.78014500e-10	2	6.65503500e-05	2.20088500e-09
7.75636034e+01	23-05-19 16:29:36	7.13828500e-05	1.98767400e-07	-4.99928900e-01	-8.27031400e-07	2	-9.99386400e-02	-2.73376800e-09
8.02488368e+01	23-05-19 16:29:38	7.05461100e-05	1.09069800e-05	-4.99929400e-01	-1.47655700e-05	2	-1.99931600e-01	-9.48054800e-09
8.22797599e+01	23-05-19 16:29:40	7.07974000e-05	6.55453500e-05	-4.99930100e-01	-6.68255500e-05	2	-2.99959500e-01	-1.59214900e-08
8.40737070e+01	23-05-19 16:29:42	7.23030200e-05	1.67149700e-04	-4.99930700e-01	-1.69941100e-04	2	-3.99968300e-01	-2.13707700e-08
8.54486708e+01	23-05-19 16:29:44	7.38090900e-05	3.12206100e-04	-4.99931700e-01	-3.16376000e-04	2	-4.99954300e-01	-2.09673800e-08
8.68100929e+01	23-05-19 16:29:45	7.67371100e-05	4.84636900e-04	-4.99932700e-01	-4.88907600e-04	2	-5.99944700e-01	-4.43337100e-08
8.81205902e+01	23-05-19 16:29:46	7.89121200e-05	6.59953500e-04	-4.99931500e-01	-6.64025400e-04	2	-6.99975300e-01	-7.42275500e-08
8.96517757e+01	23-05-19 16:29:48	8.08362700e-05	7.98636200e-04	-4.99931100e-01	-8.00426900e-04	2	-7.99924900e-01	-1.12785700e-07
9.09643861e+01	23-05-19 16:29:49	8.19238500e-05	8.83342000e-04	-4.99931700e-01	-8.84103500e-04	2	-8.99963200e-01	-1.86637400e-07
9.22796218e+01	23-05-19 16:29:50	8.21747700e-05	9.17540600e-04	-4.99932000e-01	-9.16022600e-04	2	-9.99965400e-01	-4.04517700e-07
9.33556608e+01	23-05-19 16:29:51	8.17565300e-05	9.10749900e-04	-4.99931900e-01	-9.11099900e-04	2	-9.99970100e-01	-3.92144200e-07
