Time elapsed	Time stamp	Source Voltage	Source Current	Drain Voltage	Drain Current	Loop1 Index	Gate Voltage	Gate Current
s		V	A	V	A		V	A

4.87255705e+02	23-06-02 16:00:24	6.59430200e-05	-1.91726100e-07	-9.99439500e-02	-1.82261500e-07	1	1.00017100e+00	3.65178700e-07
4.88618354e+02	23-06-02 16:00:25	6.65286800e-05	-1.52863600e-07	-9.99427200e-02	-1.53335500e-07	1	9.50158600e-01	3.03203200e-07
4.89980661e+02	23-06-02 16:00:26	6.61942700e-05	-1.26993600e-07	-9.99427900e-02	-1.30200900e-07	1	9.00124900e-01	2.60159200e-07
4.91335269e+02	23-06-02 16:00:28	6.68633400e-05	-1.10816700e-07	-9.99433100e-02	-1.10634800e-07	1	8.50135400e-01	2.23809700e-07
4.92708709e+02	23-06-02 16:00:29	6.76160500e-05	-9.55099100e-08	-9.99419600e-02	-9.28164500e-08	1	8.00112100e-01	1.89945900e-07
4.94076279e+02	23-06-02 16:00:31	6.76162000e-05	-8.07081400e-08	-9.99427000e-02	-7.75830300e-08	1	7.50113800e-01	1.59929900e-07
4.95427395e+02	23-06-02 16:00:32	6.79507200e-05	-6.51531600e-08	-9.99428300e-02	-6.37648100e-08	1	7.00155300e-01	1.31861200e-07
4.96786873e+02	23-06-02 16:00:33	6.75327300e-05	-4.86246900e-08	-9.99413800e-02	-5.12441500e-08	1	6.50135400e-01	1.04842600e-07
4.98146107e+02	23-06-02 16:00:35	6.46043900e-05	-3.59262800e-08	-9.99451500e-02	-3.94551000e-08	1	6.00114900e-01	7.86547200e-08
5.00052407e+02	23-06-02 16:00:37	6.61103100e-05	-2.04217500e-08	-9.99428800e-02	-2.55068500e-08	1	5.50121300e-01	5.11392000e-08
5.01411825e+02	23-06-02 16:00:38	6.72815900e-05	-1.11134600e-08	-9.99414900e-02	-1.39241600e-08	1	5.00119700e-01	3.06482700e-08
5.02841453e+02	23-06-02 16:00:39	6.73652600e-05	-6.11486400e-09	-9.99416100e-02	-6.29100200e-09	1	4.50126900e-01	1.67502100e-08
5.04260652e+02	23-06-02 16:00:41	6.85363800e-05	-3.25391300e-09	-9.99415600e-02	-2.46403500e-09	1	4.00153600e-01	9.19184400e-09
5.05677371e+02	23-06-02 16:00:42	6.86201700e-05	-1.25834000e-09	-9.99408200e-02	-7.53430200e-10	1	3.50122800e-01	5.24243300e-09
5.07107112e+02	23-06-02 16:00:44	6.83691500e-05	6.37050300e-10	-9.99415000e-02	1.79159100e-10	1	3.00100100e-01	2.61802500e-09
5.08527276e+02	23-06-02 16:00:45	6.92892400e-05	2.80945900e-09	-9.99420500e-02	8.15547200e-10	1	2.50111000e-01	1.57811300e-09
5.09943070e+02	23-06-02 16:00:46	6.82855600e-05	4.96947500e-09	-9.99413400e-02	1.32488900e-09	1	2.00059300e-01	8.61530000e-10
5.11367607e+02	23-06-02 16:00:48	6.91220000e-05	6.60768100e-09	-9.99414400e-02	1.77065700e-09	1	1.50066600e-01	3.30886800e-10
5.12791274e+02	23-06-02 16:00:49	6.98748100e-05	7.12096000e-09	-9.99419600e-02	2.05067400e-09	1	1.00066600e-01	-5.88792800e-10
5.14210095e+02	23-06-02 16:00:51	6.90383600e-05	4.66391500e-09	-9.99410200e-02	2.38056300e-09	1	5.00659800e-02	-1.08697500e-09
5.15649748e+02	23-06-02 16:00:52	7.07114800e-05	7.23443200e-09	-9.99407700e-02	2.77204600e-09	1	6.57142600e-05	-2.36051400e-09
5.17052437e+02	23-06-02 16:00:54	7.07951600e-05	2.37412400e-08	-9.99407100e-02	3.38312100e-09	1	-4.99366900e-02	-7.72994800e-09
5.18474609e+02	23-06-02 16:00:55	6.99585100e-05	9.03032100e-08	-9.99411800e-02	-1.23470100e-07	1	-9.99400400e-02	-5.74431900e-09
5.20386250e+02	23-06-02 16:00:57	7.03769600e-05	1.06560300e-06	-9.99424200e-02	-1.18404800e-06	1	-1.49936800e-01	-8.42788900e-09
5.22224283e+02	23-06-02 16:00:59	7.32215400e-05	4.34482200e-06	-9.99451600e-02	-4.57342100e-06	1	-1.99932900e-01	-1.21371100e-08
5.23587901e+02	23-06-02 16:01:00	6.96242500e-05	1.05797800e-05	-9.99434700e-02	-1.37212700e-05	1	-2.49945300e-01	-1.45398200e-08
5.25380502e+02	23-06-02 16:01:02	7.23849600e-05	2.50995500e-05	-9.99442400e-02	-2.74654200e-05	1	-2.99961600e-01	-2.02167500e-08
5.26740320e+02	23-06-02 16:01:03	7.60657400e-05	4.19906300e-05	-9.99466200e-02	-4.80822300e-05	1	-3.49946100e-01	-2.50747200e-08
5.28100883e+02	23-06-02 16:01:05	7.15482800e-05	7.38221000e-05	-9.99442700e-02	-7.47981300e-05	1	-3.99970700e-01	-2.39354700e-08
5.29903763e+02	23-06-02 16:01:06	7.19665800e-05	9.58227800e-05	-9.99435400e-02	-1.01363400e-04	1	-4.49972100e-01	-2.77827200e-08
5.31256925e+02	23-06-02 16:01:08	7.28033200e-05	1.20206400e-04	-9.99442000e-02	-1.26946500e-04	1	-4.99958300e-01	-3.01821800e-08
5.32616887e+02	23-06-02 16:01:09	7.11303700e-05	1.42765000e-04	-9.99437400e-02	-1.48487700e-04	1	-5.49926100e-01	-3.27508700e-08
5.33989886e+02	23-06-02 16:01:10	7.26358300e-05	1.61164800e-04	-9.99445300e-02	-1.64540600e-04	1	-5.99943800e-01	-5.39261400e-08
5.35302373e+02	23-06-02 16:01:12	7.28869100e-05	1.75303600e-04	-9.99452100e-02	-1.75243200e-04	1	-6.49960900e-01	-1.01390900e-07
5.36614787e+02	23-06-02 16:01:13	7.28869600e-05	1.81591400e-04	-9.99447000e-02	-1.81241700e-04	1	-6.99977400e-01	-1.95593400e-07
5.37942885e+02	23-06-02 16:01:14	7.27195300e-05	1.83999100e-04	-9.99441400e-02	-1.83244800e-04	1	-7.49961200e-01	-4.14462200e-07
5.39036621e+02	23-06-02 16:01:15	7.31379200e-05	1.83117100e-04	-9.99453000e-02	-1.82065800e-04	1	-7.99923600e-01	-4.61860400e-07
5.40114832e+02	23-06-02 16:01:17	7.31377800e-05	1.81685000e-04	-9.99441300e-02	-1.80976600e-04	1	-7.99924200e-01	-4.10148600e-07
5.40740240e+02	23-06-02 16:01:17	7.37232700e-05	1.78925200e-04	-9.99453400e-02	-1.78876500e-04	1	-6.99976000e-01	-1.28229600e-07
5.42053032e+02	23-06-02 16:01:19	7.28867900e-05	1.64738000e-04	-9.99441900e-02	-1.64540300e-04	1	-5.99940400e-01	4.55882500e-09
5.43414800e+02	23-06-02 16:01:20	7.16321000e-05	1.44797700e-04	-9.99452100e-02	-1.32669800e-04	1	-4.99956100e-01	4.08120700e-08
5.44990403e+02	23-06-02 16:01:21	7.15482500e-05	9.90550900e-05	-9.99435500e-02	-8.34714000e-05	1	-3.99967700e-01	4.59523600e-08
5.46308788e+02	23-06-02 16:01:23	7.44760400e-05	3.48035600e-05	-9.99454700e-02	-3.42714800e-05	1	-2.99966900e-01	4.07598800e-08
5.48335891e+02	23-06-02 16:01:25	6.97076000e-05	1.26400900e-05	-9.99426800e-02	-7.65313600e-06	1	-1.99928700e-01	4.75686700e-08
5.49662296e+02	23-06-02 16:01:26	7.08790100e-05	2.61385400e-07	-9.99441400e-02	-3.00145800e-07	1	-9.99292800e-02	2.70201700e-08
5.52193883e+02	23-06-02 16:01:29	6.56921800e-05	-1.73694900e-07	-9.99423500e-02	-8.77315800e-09	1	7.28259700e-05	2.71354500e-08
5.54067827e+02	23-06-02 16:01:31	6.76163400e-05	-9.04352800e-08	-9.99430500e-02	-9.68809300e-09	1	1.00066800e-01	3.46058500e-08
5.55693526e+02	23-06-02 16:01:32	6.67797900e-05	-1.09624500e-07	-9.99434700e-02	-1.11191200e-08	1	2.00063400e-01	4.04085500e-08
5.57318498e+02	23-06-02 16:01:34	6.68634900e-05	-9.33156100e-08	-9.99435900e-02	-1.78171000e-08	1	3.00102700e-01	4.54766100e-08
5.58695450e+02	23-06-02 16:01:35	6.71979500e-05	-8.95149800e-08	-9.99472600e-02	-4.07633700e-08	1	4.00155500e-01	6.72862300e-08
5.60067838e+02	23-06-02 16:01:37	6.63613600e-05	-1.75895800e-07	-9.99423800e-02	-5.49567000e-08	1	5.00116900e-01	1.09538200e-07
5.61667473e+02	23-06-02 16:01:38	6.61106000e-05	-1.68554300e-07	-9.99426900e-02	-7.99478500e-08	1	6.00116700e-01	1.55090900e-07
5.63040852e+02	23-06-02 16:01:40	6.64450900e-05	-1.62473000e-07	-9.99432800e-02	-9.30586100e-08	1	7.00157700e-01	1.94977400e-07
5.64395825e+02	23-06-02 16:01:41	6.67795900e-05	-1.51415500e-07	-9.99429100e-02	-1.22691700e-07	1	8.00113600e-01	2.38459000e-07
5.65755381e+02	23-06-02 16:01:42	6.54412200e-05	-1.69216300e-07	-9.99425500e-02	-1.58782800e-07	1	9.00125900e-01	3.01247400e-07
5.67114585e+02	23-06-02 16:01:44	6.53574500e-05	-2.20030600e-07	-9.99434500e-02	-1.95713900e-07	1	1.00017300e+00	3.82173500e-07
5.68481944e+02	23-06-02 16:01:45	6.58595600e-05	-1.95340300e-07	-9.99423400e-02	-1.82258200e-07	2	1.00017200e+00	3.73081300e-07
5.69148137e+02	23-06-02 16:01:46	6.58593400e-05	-1.59447800e-07	-9.99419600e-02	-1.55772200e-07	2	9.50158100e-01	3.16137000e-07
5.70510126e+02	23-06-02 16:01:47	6.66124000e-05	-1.35380000e-07	-9.99422800e-02	-1.34177200e-07	2	9.00127000e-01	2.71675500e-07
5.71864640e+02	23-06-02 16:01:48	6.82853900e-05	-1.15943100e-07	-9.99424500e-02	-1.15391500e-07	2	8.50135800e-01	2.33027100e-07
5.73239648e+02	23-06-02 16:01:50	6.58595600e-05	-9.89862500e-08	-9.99423200e-02	-9.82316100e-08	2	8.00113400e-01	1.98403500e-07
5.74599008e+02	23-06-02 16:01:51	6.90379500e-05	-8.34877500e-08	-9.99417300e-02	-8.23863100e-08	2	7.50113500e-01	1.68139400e-07
5.75973946e+02	23-06-02 16:01:52	6.89546100e-05	-6.73887700e-08	-9.99422200e-02	-6.78076400e-08	2	7.00155900e-01	1.38482800e-07
5.77334883e+02	23-06-02 16:01:54	6.85363500e-05	-5.01992500e-08	-9.99419500e-02	-5.42237800e-08	2	6.50137100e-01	1.10849300e-07
