Time elapsed	Time stamp	Source Voltage	Source Current	Drain Voltage	Drain Current	Loop1 Index	Gate Voltage	Gate Current
s		V	A	V	A		V	A

1.15118580e+00	23-06-02 16:12:15	6.41029700e-05	-3.35596700e-07	-9.99435700e-02	-2.83170500e-07	1	1.00016900e+00	5.21218500e-07
3.48217490e+00	23-06-02 16:12:17	6.51070200e-05	-2.09239800e-07	-9.99434700e-02	-2.29775900e-07	1	9.50155900e-01	4.26458800e-07
4.62118200e+00	23-06-02 16:12:19	6.66962300e-05	-1.67904800e-07	-9.99427600e-02	-1.93678100e-07	1	9.00126300e-01	3.57547500e-07
5.98427880e+00	23-06-02 16:12:20	6.66963200e-05	-1.38203000e-07	-9.99431100e-02	-1.63602400e-07	1	8.50135400e-01	3.00946900e-07
7.33962010e+00	23-06-02 16:12:21	6.77000800e-05	-1.15358700e-07	-9.99436800e-02	-1.37039800e-07	1	8.00114900e-01	2.53531700e-07
8.69923360e+00	23-06-02 16:12:23	6.82855600e-05	-9.56746300e-08	-9.99425200e-02	-1.13271300e-07	1	7.50113400e-01	2.12136500e-07
1.00748746e+01	23-06-02 16:12:24	6.74493500e-05	-7.63508100e-08	-9.99423200e-02	-9.21961800e-08	1	7.00155900e-01	1.72914900e-07
1.14341034e+01	23-06-02 16:12:25	6.68638400e-05	-5.51093100e-08	-9.99415600e-02	-7.38235000e-08	1	6.50136000e-01	1.34640000e-07
1.28085510e+01	23-06-02 16:12:27	6.41028400e-05	-3.72966200e-08	-9.99418700e-02	-5.69285500e-08	1	6.00114400e-01	9.76817500e-08
1.44490526e+01	23-06-02 16:12:28	6.79508700e-05	-1.79572700e-08	-9.99446000e-02	-4.01441200e-08	1	5.50121800e-01	6.34784400e-08
1.60897493e+01	23-06-02 16:12:30	6.82019700e-05	-7.81928300e-09	-9.99426300e-02	-2.29830600e-08	1	5.00119600e-01	3.68624300e-08
1.75133652e+01	23-06-02 16:12:32	6.97076300e-05	-2.33229000e-09	-9.99417000e-02	-1.10821400e-08	1	4.50126400e-01	1.78498500e-08
1.89351279e+01	23-06-02 16:12:33	7.02934000e-05	3.16235500e-10	-9.99410000e-02	-5.41405500e-09	1	4.00152600e-01	7.99175300e-09
2.03561832e+01	23-06-02 16:12:34	6.95405400e-05	2.09180800e-09	-9.99410900e-02	-2.80311600e-09	1	3.50121300e-01	3.89369000e-09
2.17835131e+01	23-06-02 16:12:36	6.97077800e-05	3.76768200e-09	-9.99404200e-02	-1.03622500e-09	1	3.00099600e-01	1.76157900e-09
2.32007065e+01	23-06-02 16:12:37	6.92060300e-05	5.24495600e-09	-9.99404400e-02	2.99136700e-10	1	2.50114400e-01	9.60036900e-10
2.46258561e+01	23-06-02 16:12:39	7.06279500e-05	6.22631400e-09	-9.99406700e-02	1.13565500e-09	1	2.00060500e-01	-1.15974700e-10
2.60427774e+01	23-06-02 16:12:40	6.91223500e-05	7.41648100e-09	-9.99399000e-02	1.57455300e-09	1	1.50064900e-01	-5.81164200e-10
2.74707670e+01	23-06-02 16:12:41	7.04607200e-05	7.84840300e-09	-9.99407500e-02	1.78841300e-09	1	1.00066200e-01	-7.61634000e-10
2.88865998e+01	23-06-02 16:12:43	6.97915700e-05	5.34683400e-09	-9.99406400e-02	2.10096600e-09	1	5.00659900e-02	-1.16066300e-09
3.00895448e+01	23-06-02 16:12:44	7.15482200e-05	1.17297100e-08	-9.99410800e-02	2.81396600e-09	1	6.51284800e-05	-3.33353100e-09
3.15118098e+01	23-06-02 16:12:46	7.28028300e-05	2.69420400e-08	-9.99401600e-02	3.58733600e-09	1	-4.99352600e-02	-1.05644400e-08
3.29373257e+01	23-06-02 16:12:47	7.04604900e-05	8.48027900e-08	-9.99421400e-02	-1.06607100e-07	1	-9.99409000e-02	-8.90821000e-09
3.48396718e+01	23-06-02 16:12:49	6.95407300e-05	9.76252000e-07	-9.99426000e-02	-1.05303900e-06	1	-1.49937200e-01	-1.00553600e-08
3.66677526e+01	23-06-02 16:12:51	7.30544600e-05	3.97414900e-06	-9.99442800e-02	-4.17824700e-06	1	-1.99932900e-01	-1.83574900e-08
3.80304357e+01	23-06-02 16:12:52	7.12137300e-05	1.05870400e-05	-9.99424500e-02	-1.25190400e-05	1	-2.49947900e-01	-2.26061600e-08
3.98240895e+01	23-06-02 16:12:54	7.31379500e-05	2.22302700e-05	-9.99435200e-02	-2.54581800e-05	1	-2.99964100e-01	-3.35317700e-08
4.11835994e+01	23-06-02 16:12:55	7.57313700e-05	3.88801800e-05	-9.99461000e-02	-4.49823000e-05	1	-3.49943600e-01	-4.35142400e-08
4.24958134e+01	23-06-02 16:12:57	7.16322900e-05	6.97938400e-05	-9.99443100e-02	-7.06699400e-05	1	-3.99967500e-01	-4.20904400e-08
4.42462600e+01	23-06-02 16:12:58	7.20506100e-05	9.55695600e-05	-9.99436600e-02	-9.63595500e-05	1	-4.49968300e-01	-4.71481000e-08
4.55583276e+01	23-06-02 16:13:00	7.34726800e-05	1.20317700e-04	-9.99439000e-02	-1.21088300e-04	1	-4.99954500e-01	-4.88734700e-08
4.69232718e+01	23-06-02 16:13:01	7.23016000e-05	1.41199100e-04	-9.99443300e-02	-1.41728600e-04	1	-5.49920800e-01	-5.80130100e-08
4.82458774e+01	23-06-02 16:13:02	7.27200200e-05	1.56766800e-04	-9.99436000e-02	-1.56985500e-04	1	-5.99943800e-01	-8.77652000e-08
4.95594616e+01	23-06-02 16:13:04	7.34727400e-05	1.67183900e-04	-9.99434400e-02	-1.67055200e-04	1	-6.49960000e-01	-1.77456700e-07
5.08874932e+01	23-06-02 16:13:05	7.28033200e-05	1.73189000e-04	-9.99440400e-02	-1.72569000e-04	1	-6.99977000e-01	-3.00178400e-07
5.21988520e+01	23-06-02 16:13:06	7.39744000e-05	1.75447200e-04	-9.99446900e-02	-1.74534400e-04	1	-7.49960900e-01	-5.35415600e-07
5.30943882e+01	23-06-02 16:13:07	7.28035800e-05	1.74457400e-04	-9.99443900e-02	-1.73195300e-04	1	-7.99924800e-01	-5.68259900e-07
5.41681328e+01	23-06-02 16:13:08	7.23852800e-05	1.72732600e-04	-9.99453900e-02	-1.71898700e-04	1	-7.99923000e-01	-5.09380800e-07
5.47824884e+01	23-06-02 16:13:09	7.27198800e-05	1.70671300e-04	-9.99447300e-02	-1.70541000e-04	1	-6.99976400e-01	-1.84671100e-07
5.60923746e+01	23-06-02 16:13:10	7.31382800e-05	1.57689100e-04	-9.99451400e-02	-1.57434000e-04	1	-5.99940800e-01	-4.92764500e-09
5.74488365e+01	23-06-02 16:13:11	7.24687100e-05	1.38025600e-04	-9.99441300e-02	-1.27594500e-04	1	-4.99958400e-01	4.14428000e-08
5.90303383e+01	23-06-02 16:13:13	7.16322300e-05	9.73026700e-05	-9.99436700e-02	-8.05856600e-05	1	-3.99966800e-01	5.17472500e-08
6.03419509e+01	23-06-02 16:13:14	7.35562400e-05	3.35515000e-05	-9.99448500e-02	-3.29927400e-05	1	-2.99957300e-01	4.75500800e-08
6.21052794e+01	23-06-02 16:13:16	6.95406600e-05	7.72855700e-06	-9.99420600e-02	-7.21755800e-06	1	-1.99929100e-01	5.64528300e-08
6.34179092e+01	23-06-02 16:13:17	7.08793900e-05	2.60708100e-07	-9.99449100e-02	-3.10890200e-07	1	-9.99368400e-02	4.09122600e-08
6.57001770e+01	23-06-02 16:13:20	6.61945600e-05	-1.05085600e-07	-9.99420200e-02	-1.14699200e-08	1	6.70528300e-05	4.39160500e-08
6.73239921e+01	23-06-02 16:13:21	6.63618000e-05	-8.57334800e-08	-9.99419900e-02	-1.19590500e-08	1	1.00065800e-01	4.46937600e-08
6.86853363e+01	23-06-02 16:13:23	6.65289700e-05	-8.02560800e-08	-9.99425200e-02	-1.16925700e-08	1	2.00059400e-01	4.49340000e-08
7.00455120e+01	23-06-02 16:13:24	6.75328800e-05	-7.99897700e-08	-9.99450500e-02	-2.41893000e-08	1	3.00102300e-01	5.33070500e-08
7.14219842e+01	23-06-02 16:13:25	6.68638600e-05	-9.84529000e-08	-9.99436300e-02	-4.05575400e-08	1	4.00153900e-01	6.79106400e-08
7.32930831e+01	23-06-02 16:13:27	6.56924700e-05	-1.96264000e-07	-9.99412200e-02	-7.78163500e-08	1	5.00117800e-01	1.34036900e-07
7.49019877e+01	23-06-02 16:13:29	6.46886400e-05	-2.07144000e-07	-9.99417600e-02	-1.12693400e-07	1	6.00119000e-01	2.04576700e-07
7.62655652e+01	23-06-02 16:13:30	6.54413300e-05	-1.93107800e-07	-9.99423300e-02	-1.44039400e-07	1	7.00158900e-01	2.65547900e-07
7.76206835e+01	23-06-02 16:13:32	6.68634600e-05	-1.85981600e-07	-9.99426900e-02	-1.89131300e-07	1	8.00115600e-01	3.30198300e-07
7.89801024e+01	23-06-02 16:13:33	6.60268900e-05	-2.17794900e-07	-9.99432100e-02	-2.35819200e-07	1	9.00123400e-01	4.17064700e-07
8.01206203e+01	23-06-02 16:13:34	6.53575400e-05	-2.80708500e-07	-9.99439000e-02	-2.78222700e-07	1	1.00016900e+00	5.11409800e-07
8.12465076e+01	23-06-02 16:13:35	6.64449800e-05	-2.45240100e-07	-9.99433300e-02	-2.55873300e-07	2	1.00016900e+00	4.93841100e-07
8.19018314e+01	23-06-02 16:13:36	6.60270500e-05	-1.99686200e-07	-9.99429800e-02	-2.19338900e-07	2	9.50155200e-01	4.17877500e-07
8.30435135e+01	23-06-02 16:13:37	6.71980400e-05	-1.66634800e-07	-9.99427200e-02	-1.91130700e-07	2	9.00126200e-01	3.59333100e-07
8.44039413e+01	23-06-02 16:13:38	6.66963200e-05	-1.40611200e-07	-9.99427900e-02	-1.66606000e-07	2	8.50137000e-01	3.08308300e-07
8.57611963e+01	23-06-02 16:13:40	6.70309200e-05	-1.18571400e-07	-9.99429900e-02	-1.43612200e-07	2	8.00114300e-01	2.64533900e-07
8.71208844e+01	23-06-02 16:13:41	6.75328400e-05	-9.92680300e-08	-9.99425500e-02	-1.22182900e-07	2	7.50113900e-01	2.24308400e-07
8.84798816e+01	23-06-02 16:13:42	6.78674000e-05	-8.01990900e-08	-9.99425900e-02	-1.01544000e-07	2	7.00156400e-01	1.85229200e-07
8.98443970e+01	23-06-02 16:13:44	6.75328800e-05	-5.86408300e-08	-9.99425500e-02	-8.20558900e-08	2	6.50136000e-01	1.46343100e-07
