Time elapsed	Time stamp	Source Voltage	Source Current	Drain Voltage	Drain Current	Loop1 Index	Gate Voltage	Gate Current
s		V	A	V	A		V	A

1.14683040e+00	23-06-16 12:08:50	6.51085600e-05	4.26666300e-05	-9.99422100e-02	-8.19942100e-09	1	1.00017200e+00	1.28618200e-08
3.88325700e+00	23-06-16 12:08:53	6.81202200e-05	-2.47056500e-10	-9.99399900e-02	-1.67581300e-09	1	9.00124000e-01	4.66544600e-09
5.31140060e+00	23-06-16 12:08:55	6.79529300e-05	2.47319800e-09	-9.99416000e-02	1.42776700e-10	1	8.00113000e-01	1.81910200e-09
6.72772970e+00	23-06-16 12:08:56	6.82876000e-05	4.12881500e-09	-9.99404800e-02	1.25796200e-09	1	7.00156900e-01	1.18762700e-10
8.14860250e+00	23-06-16 12:08:57	6.97095300e-05	9.85466700e-09	-9.99399300e-02	2.53396400e-09	1	6.00116200e-01	-2.11633400e-09
9.57081830e+00	23-06-16 12:08:59	6.96260000e-05	1.25156800e-07	-9.99406200e-02	-2.12246100e-07	1	5.00117200e-01	-3.62003500e-09
1.14762529e+01	23-06-16 12:09:01	6.86223800e-05	1.11517300e-06	-9.99419200e-02	-2.85791200e-06	1	4.00152500e-01	-4.54027200e-09
1.33091819e+01	23-06-16 12:09:03	6.93750600e-05	1.05565400e-05	-9.99426000e-02	-1.64786300e-05	1	3.00101300e-01	-5.56741800e-09
1.48835575e+01	23-06-16 12:09:04	7.32235000e-05	3.30796700e-05	-9.99456900e-02	-3.94700200e-05	1	2.00059400e-01	-6.89502100e-09
1.62448532e+01	23-06-16 12:09:05	7.03792300e-05	7.04642400e-05	-9.99435100e-02	-7.09481900e-05	1	1.00066100e-01	-5.60560200e-09
1.80412220e+01	23-06-16 12:09:07	7.06302500e-05	9.20199600e-05	-9.99432100e-02	-1.01820200e-04	1	6.74705400e-05	-6.37516900e-09
1.94031876e+01	23-06-16 12:09:09	7.12159300e-05	1.19233200e-04	-9.99443700e-02	-1.30337600e-04	1	-9.99369700e-02	-6.97930900e-09
2.07581214e+01	23-06-16 12:09:10	7.17178900e-05	1.47986800e-04	-9.99443200e-02	-1.55129200e-04	1	-1.99929900e-01	-7.66556100e-09
2.21257845e+01	23-06-16 12:09:11	7.10488000e-05	1.67754500e-04	-9.99442800e-02	-1.74958000e-04	1	-2.99958300e-01	-8.57781000e-09
2.34765474e+01	23-06-16 12:09:13	7.19688000e-05	1.84881000e-04	-9.99436600e-02	-1.89967500e-04	1	-3.99965900e-01	-9.58175000e-09
2.48505053e+01	23-06-16 12:09:14	7.14669900e-05	1.98489600e-04	-9.99450000e-02	-2.00624500e-04	1	-4.99953600e-01	-1.08772300e-08
2.62125010e+01	23-06-16 12:09:15	7.29723900e-05	2.04676800e-04	-9.99450500e-02	-2.07382400e-04	1	-5.99943700e-01	-1.26569900e-08
2.75694753e+01	23-06-16 12:09:17	7.19689400e-05	2.10813600e-04	-9.99440000e-02	-2.11364100e-04	1	-6.99974400e-01	-1.42347900e-08
2.89444196e+01	23-06-16 12:09:18	7.30560800e-05	2.12843800e-04	-9.99444600e-02	-2.12971400e-04	1	-7.99924000e-01	-1.21172700e-08
3.02875711e+01	23-06-16 12:09:20	7.26380900e-05	2.11832300e-04	-9.99442400e-02	-2.11537100e-04	1	-7.99922900e-01	-9.41766200e-09
3.09295234e+01	23-06-16 12:09:20	7.25545700e-05	2.08301400e-04	-9.99439500e-02	-2.07765700e-04	1	-6.99973400e-01	-3.79785400e-09
3.22883012e+01	23-06-16 12:09:22	7.18853200e-05	2.01249300e-04	-9.99441900e-02	-1.99919900e-04	1	-5.99941500e-01	4.08017700e-11
3.36493355e+01	23-06-16 12:09:23	7.27216300e-05	1.89859100e-04	-9.99445200e-02	-1.87968700e-04	1	-4.99952600e-01	1.66764800e-09
3.50069950e+01	23-06-16 12:09:24	7.19688000e-05	1.74454800e-04	-9.99440500e-02	-1.73125200e-04	1	-3.99964300e-01	2.21362500e-09
3.63696404e+01	23-06-16 12:09:26	7.24707000e-05	1.56644400e-04	-9.99441700e-02	-1.54705500e-04	1	-2.99956700e-01	2.64439900e-09
3.77303594e+01	23-06-16 12:09:27	7.18850900e-05	1.33217200e-04	-9.99441200e-02	-1.32019900e-04	1	-1.99928800e-01	3.13480800e-09
3.91006501e+01	23-06-16 12:09:28	7.11322300e-05	1.06582000e-04	-9.99444300e-02	-1.05648800e-04	1	-9.99359500e-02	3.65988000e-09
4.04599841e+01	23-06-16 12:09:30	7.16340200e-05	7.85578700e-05	-9.99436600e-02	-7.74866000e-05	1	6.67174800e-05	4.09192500e-09
4.18043360e+01	23-06-16 12:09:31	6.99609200e-05	5.22278400e-05	-9.99436400e-02	-5.03963800e-05	1	1.00067500e-01	4.46809600e-09
4.31688881e+01	23-06-16 12:09:32	7.25541300e-05	2.74823300e-05	-9.99448900e-02	-2.79203200e-05	1	2.00061600e-01	3.54265400e-09
4.49603941e+01	23-06-16 12:09:34	6.97934300e-05	1.21807000e-05	-9.99420700e-02	-1.17688400e-05	1	3.00103700e-01	4.46854600e-09
4.63193547e+01	23-06-16 12:09:36	7.26377700e-05	3.34993500e-06	-9.99437900e-02	-3.30685300e-06	1	4.00153500e-01	4.40174600e-09
4.81474110e+01	23-06-16 12:09:37	6.94588000e-05	5.90599100e-07	-9.99421800e-02	-5.23522500e-07	1	5.00118000e-01	6.10626400e-09
4.95226146e+01	23-06-16 12:09:39	7.10482200e-05	2.01764100e-08	-9.99435900e-02	-1.87695300e-08	1	6.00116100e-01	5.33295300e-09
5.19163842e+01	23-06-16 12:09:41	6.59452600e-05	-1.12957500e-08	-9.99427200e-02	-7.58099500e-09	1	7.00155000e-01	7.48568200e-09
5.33348652e+01	23-06-16 12:09:43	6.55270800e-05	-1.02213200e-08	-9.99418800e-02	-7.05023700e-09	1	8.00113400e-01	8.44016800e-09
5.47603902e+01	23-06-16 12:09:44	6.57780900e-05	-1.11520100e-08	-9.99425200e-02	-7.31216300e-09	1	9.00124000e-01	9.29507300e-09
5.61785547e+01	23-06-16 12:09:45	6.61124600e-05	-1.17516300e-08	-9.99421000e-02	-8.76352400e-09	1	1.00017000e+00	1.16641400e-08
5.75853201e+01	23-06-16 12:09:47	6.66980900e-05	-5.12358100e-09	-9.99417500e-02	-5.64021000e-09	2	1.00016900e+00	1.00300400e-08
5.82726265e+01	23-06-16 12:09:48	6.83711500e-05	1.32311700e-09	-9.99417900e-02	-1.09747800e-09	2	9.00123000e-01	3.34998900e-09
5.96951072e+01	23-06-16 12:09:49	6.84547100e-05	4.27193100e-09	-9.99416900e-02	5.74299600e-10	2	8.00113300e-01	1.01086200e-09
6.11193539e+01	23-06-16 12:09:50	6.79529300e-05	4.57453400e-09	-9.99406700e-02	1.37386400e-09	2	7.00155200e-01	-2.55939300e-10
6.25394081e+01	23-06-16 12:09:52	6.84548300e-05	7.72962300e-09	-9.99416000e-02	2.48998300e-09	2	6.00116100e-01	-1.90804400e-09
6.39598177e+01	23-06-16 12:09:53	6.56112100e-05	2.52330600e-08	-9.99381000e-02	-2.78566700e-08	2	5.00118000e-01	-4.61007500e-09
6.51647947e+01	23-06-16 12:09:54	7.02952300e-05	1.75059800e-07	-9.99421200e-02	-1.05613800e-06	2	4.00152500e-01	-2.56717500e-09
6.72781292e+01	23-06-16 12:09:57	6.85385600e-05	8.21986700e-06	-9.99422800e-02	-8.98685100e-06	2	3.00101800e-01	-3.58421300e-09
6.93086191e+01	23-06-16 12:09:59	7.15503400e-05	2.34252200e-05	-9.99440900e-02	-2.55686200e-05	2	2.00060500e-01	-5.05924200e-09
7.06631165e+01	23-06-16 12:10:00	7.43947100e-05	4.03495500e-05	-9.99437300e-02	-5.04854200e-05	2	1.00066000e-01	-5.45899800e-09
7.22612406e+01	23-06-16 12:10:02	7.01283000e-05	7.91169300e-05	-9.99443100e-02	-7.87548500e-05	2	6.93112900e-05	-5.70093800e-09
7.38530092e+01	23-06-16 12:10:03	7.14667000e-05	1.02363700e-04	-9.99435400e-02	-1.07781300e-04	2	-9.99374600e-02	-6.47738400e-09
7.52139961e+01	23-06-16 12:10:04	7.12995200e-05	1.29800100e-04	-9.99442700e-02	-1.34909700e-04	2	-1.99930300e-01	-6.97007800e-09
7.65691997e+01	23-06-16 12:10:06	7.17178300e-05	1.54397600e-04	-9.99438500e-02	-1.58626200e-04	2	-2.99958500e-01	-7.44863000e-09
7.79442782e+01	23-06-16 12:10:07	7.18850000e-05	1.68329700e-04	-9.99445800e-02	-1.77589800e-04	2	-3.99966300e-01	-8.29864900e-09
7.93151074e+01	23-06-16 12:10:09	7.30561800e-05	1.88469800e-04	-9.99451100e-02	-1.92371600e-04	2	-4.99953200e-01	-9.01627400e-09
8.06628854e+01	23-06-16 12:10:10	7.22197300e-05	1.99727400e-04	-9.99452500e-02	-2.02547500e-04	2	-5.99943200e-01	-1.01481200e-08
8.20380627e+01	23-06-16 12:10:11	7.32235000e-05	2.06847700e-04	-9.99447300e-02	-2.08786900e-04	2	-6.99975100e-01	-1.18432000e-08
8.34032529e+01	23-06-16 12:10:13	7.25543700e-05	2.11380200e-04	-9.99446100e-02	-2.11420200e-04	2	-7.99923000e-01	-9.66526300e-09
8.47416666e+01	23-06-16 12:10:14	7.23868800e-05	2.09830200e-04	-9.99449700e-02	-2.09562400e-04	2	-7.99922400e-01	-7.90449900e-09
8.53656545e+01	23-06-16 12:10:15	7.29725000e-05	2.06100600e-04	-9.99452000e-02	-2.05609700e-04	2	-6.99972700e-01	-3.15966700e-09
8.67254024e+01	23-06-16 12:10:16	7.28887100e-05	1.98488800e-04	-9.99442100e-02	-1.97201200e-04	2	-5.99941200e-01	1.03292400e-10
8.81001752e+01	23-06-16 12:10:17	7.19688000e-05	1.85449400e-04	-9.99451800e-02	-1.83631500e-04	2	-4.99952400e-01	1.70931800e-09
8.94597399e+01	23-06-16 12:10:19	7.09649700e-05	1.68760100e-04	-9.99441000e-02	-1.66443800e-04	2	-3.99963700e-01	2.21652700e-09
9.08196100e+01	23-06-16 12:10:20	7.15504300e-05	1.48270100e-04	-9.99450500e-02	-1.45703400e-04	2	-2.99956900e-01	2.58246000e-09
9.21965377e+01	23-06-16 12:10:21	7.09650000e-05	1.22495400e-04	-9.99442400e-02	-1.21285500e-04	2	-1.99928000e-01	3.21946200e-09
