Time elapsed	Time stamp	Source Voltage	Source Current	Drain Voltage	Drain Current	Loop1 Index	Gate Voltage	Gate Current
s		V	A	V	A		V	A

1.15600230e+00	23-06-16 10:47:20	6.57776500e-05	-1.88096000e-08	-9.99424100e-02	-2.63558100e-08	1	1.00017200e+00	2.96889700e-08
4.25233270e+00	23-06-16 10:47:23	6.87891500e-05	-3.35049200e-09	-9.99410900e-02	-1.00066000e-08	1	9.00125200e-01	1.49661900e-08
5.67217550e+00	23-06-16 10:47:24	6.89565700e-05	6.32021800e-10	-9.99403600e-02	-5.43989700e-09	1	8.00113400e-01	9.16215800e-09
7.09413740e+00	23-06-16 10:47:26	6.95420600e-05	3.82831500e-09	-9.99408600e-02	-2.83410800e-09	1	7.00156400e-01	5.63489700e-09
8.51927880e+00	23-06-16 10:47:27	6.94585300e-05	5.74515400e-09	-9.99397900e-02	-1.11393200e-09	1	6.00115100e-01	3.33812100e-09
9.94099550e+00	23-06-16 10:47:28	6.99603100e-05	8.10931100e-09	-9.99403500e-02	-2.17777700e-10	1	5.00118000e-01	1.73465800e-09
1.13746520e+01	23-06-16 10:47:30	7.22189700e-05	2.18803400e-08	-9.99402400e-02	-1.25012100e-09	1	4.00153300e-01	-4.61320500e-10
1.27824443e+01	23-06-16 10:47:31	7.09642800e-05	1.45084900e-07	-9.99418900e-02	-1.06406000e-06	1	3.00102900e-01	1.40166800e-09
1.49012232e+01	23-06-16 10:47:33	6.97931400e-05	9.99772500e-06	-9.99421200e-02	-1.05479400e-05	1	2.00061500e-01	-7.57936500e-10
1.69285815e+01	23-06-16 10:47:35	7.10482700e-05	2.25286300e-05	-9.99450500e-02	-3.18268200e-05	1	1.00067000e-01	-4.88272500e-09
1.82852099e+01	23-06-16 10:47:37	7.00444200e-05	5.92927800e-05	-9.99423300e-02	-5.62637000e-05	1	6.83910200e-05	-8.10349300e-09
2.00808856e+01	23-06-16 10:47:39	7.17174000e-05	7.00238200e-05	-9.99437200e-02	-7.91106700e-05	1	-9.99386500e-02	-1.35790700e-08
2.14535297e+01	23-06-16 10:47:40	7.07973700e-05	8.57408500e-05	-9.99444400e-02	-9.49566100e-05	1	-1.99930400e-01	-1.67499800e-08
2.28285236e+01	23-06-16 10:47:41	7.15502800e-05	9.93449200e-05	-9.99437200e-02	-1.08313200e-04	1	-2.99959200e-01	-1.96016900e-08
2.41894050e+01	23-06-16 10:47:43	7.23031400e-05	1.11903600e-04	-9.99440200e-02	-1.23182700e-04	1	-3.99966800e-01	-1.59768000e-08
2.55475893e+01	23-06-16 10:47:44	7.25538400e-05	1.17113300e-04	-9.99430600e-02	-1.14677300e-04	1	-4.99953000e-01	-9.70325100e-09
2.69253557e+01	23-06-16 10:47:45	7.23868800e-05	1.15205300e-04	-9.99429700e-02	-1.14753400e-04	1	-5.99943500e-01	-1.00720900e-08
2.82854322e+01	23-06-16 10:47:47	7.25540500e-05	1.17134400e-04	-9.99438500e-02	-1.17319500e-04	1	-6.99974500e-01	-1.06629400e-08
2.96409494e+01	23-06-16 10:47:48	7.26377200e-05	1.20891200e-04	-9.99441400e-02	-1.21300100e-04	1	-7.99924000e-01	-1.24039700e-08
3.10098380e+01	23-06-16 10:47:50	7.26376000e-05	1.26777500e-04	-9.99432600e-02	-1.28247700e-04	1	-8.99961800e-01	-1.98555900e-08
3.23661755e+01	23-06-16 10:47:51	7.29721200e-05	1.38069100e-04	-9.99443100e-02	-1.41294500e-04	1	-9.99968400e-01	-3.67904300e-08
3.37183048e+01	23-06-16 10:47:52	7.37250400e-05	1.48067500e-04	-9.99429800e-02	-1.48764700e-04	1	-9.99967700e-01	-3.29679500e-08
3.43595135e+01	23-06-16 10:47:53	7.30560600e-05	1.47033400e-04	-9.99432500e-02	-1.45910100e-04	1	-8.99960400e-01	-1.03111300e-08
3.57346422e+01	23-06-16 10:47:54	7.26376600e-05	1.42259400e-04	-9.99438900e-02	-1.41888100e-04	1	-7.99921700e-01	-3.99214800e-09
3.70987264e+01	23-06-16 10:47:56	7.33067900e-05	1.38169900e-04	-9.99443700e-02	-1.37994600e-04	1	-6.99972700e-01	-1.52148500e-09
3.84534073e+01	23-06-16 10:47:57	7.29723000e-05	1.33053700e-04	-9.99430000e-02	-1.32975800e-04	1	-5.99941700e-01	1.32815500e-10
3.98283446e+01	23-06-16 10:47:58	7.29722400e-05	1.27248100e-04	-9.99428900e-02	-1.28044400e-04	1	-4.99953600e-01	1.16428800e-09
4.11878028e+01	23-06-16 10:48:00	7.21357700e-05	1.20369200e-04	-9.99442100e-02	-1.21314700e-04	1	-3.99965300e-01	2.76754600e-09
4.25486145e+01	23-06-16 10:48:01	7.24702500e-05	1.03164300e-04	-9.99444700e-02	-1.02278300e-04	1	-2.99956600e-01	1.14829600e-08
4.39272895e+01	23-06-16 10:48:02	7.20519700e-05	7.47167700e-05	-9.99430700e-02	-7.02990000e-05	1	-1.99927600e-01	1.58210500e-08
4.52862661e+01	23-06-16 10:48:04	7.18846300e-05	5.03335200e-05	-9.99427800e-02	-4.81812900e-05	1	-9.99349500e-02	1.50498900e-08
4.66450123e+01	23-06-16 10:48:05	7.24703400e-05	2.99213200e-05	-9.99437000e-02	-3.23468400e-05	1	6.75542500e-05	1.34002900e-08
4.84407707e+01	23-06-16 10:48:07	7.16334100e-05	1.74266800e-05	-9.99425600e-02	-1.45503100e-05	1	1.00068900e-01	1.43472100e-08
4.97980503e+01	23-06-16 10:48:08	7.29720900e-05	4.71601600e-06	-9.99427200e-02	-3.64414700e-06	1	2.00062700e-01	1.22075700e-08
5.16312276e+01	23-06-16 10:48:10	7.04623000e-05	6.81447100e-07	-9.99411500e-02	-4.45873400e-07	1	3.00103800e-01	1.26917200e-08
5.29958905e+01	23-06-16 10:48:12	6.86219100e-05	-1.77141600e-09	-9.99417700e-02	-1.21275200e-08	1	4.00155500e-01	1.03788300e-08
5.53966684e+01	23-06-16 10:48:14	6.70324300e-05	-1.51160500e-08	-9.99417200e-02	-1.24039600e-08	1	5.00118700e-01	1.23760300e-08
5.68127250e+01	23-06-16 10:48:15	6.68650900e-05	-1.00344200e-08	-9.99426800e-02	-1.21572700e-08	1	6.00118000e-01	1.30348900e-08
5.82350611e+01	23-06-16 10:48:17	6.66979100e-05	-1.13195000e-08	-9.99416000e-02	-1.23581000e-08	1	7.00158000e-01	1.39893500e-08
5.96584887e+01	23-06-16 10:48:18	6.63631100e-05	-1.27187900e-08	-9.99420300e-02	-1.26278900e-08	1	8.00115800e-01	1.51832200e-08
6.10812468e+01	23-06-16 10:48:20	6.70323800e-05	-1.26908100e-08	-9.99433600e-02	-1.36890600e-08	1	9.00126100e-01	1.69801400e-08
6.25000442e+01	23-06-16 10:48:21	6.67814500e-05	-1.28990600e-08	-9.99415700e-02	-1.76354000e-08	1	1.00017100e+00	2.10743900e-08
6.39069603e+01	23-06-16 10:48:22	6.66143000e-05	-7.20128600e-09	-9.99413300e-02	-1.24821000e-08	2	1.00017200e+00	1.87225000e-08
6.46107127e+01	23-06-16 10:48:23	6.83708300e-05	-1.61952300e-09	-9.99414900e-02	-4.98199900e-09	2	9.00124500e-01	9.48347200e-09
6.60348433e+01	23-06-16 10:48:25	6.88726400e-05	1.89808800e-09	-9.99403900e-02	-2.04279300e-09	2	8.00113200e-01	5.36359700e-09
6.74543421e+01	23-06-16 10:48:26	6.88729300e-05	4.45025300e-09	-9.99399000e-02	-1.93104200e-10	2	7.00156500e-01	2.79709500e-09
6.88750444e+01	23-06-16 10:48:27	7.04621200e-05	6.24802000e-09	-9.99397000e-02	9.05824300e-10	2	6.00115700e-01	1.18450300e-09
7.03007932e+01	23-06-16 10:48:29	7.08804000e-05	1.12899100e-08	-9.99402400e-02	1.08221900e-09	2	5.00117800e-01	-2.83210700e-10
7.17223663e+01	23-06-16 10:48:30	6.92077400e-05	3.24792800e-08	-9.99311200e-02	-2.12999500e-08	2	4.00152300e-01	-5.88076100e-10
7.31427153e+01	23-06-16 10:48:32	7.16332600e-05	1.83780700e-07	-9.99417000e-02	-1.09975900e-06	2	3.00103300e-01	3.91042600e-10
7.52501033e+01	23-06-16 10:48:34	7.05460200e-05	1.05598300e-05	-9.99428900e-02	-1.71338800e-05	2	2.00060900e-01	-1.93949400e-09
7.72836373e+01	23-06-16 10:48:36	7.43942000e-05	3.19128700e-05	-9.99456300e-02	-4.02394000e-05	2	1.00066800e-01	-6.87286700e-09
7.86574876e+01	23-06-16 10:48:37	7.11317400e-05	6.67765400e-05	-9.99423700e-02	-6.28210500e-05	2	6.77217200e-05	-1.01167800e-08
8.04533796e+01	23-06-16 10:48:39	7.20520000e-05	7.54266200e-05	-9.99432000e-02	-8.41623700e-05	2	-9.99394100e-02	-1.54790300e-08
8.18334765e+01	23-06-16 10:48:40	7.15501400e-05	9.00644500e-05	-9.99436600e-02	-9.90323800e-05	2	-1.99931500e-01	-1.81218200e-08
8.31889807e+01	23-06-16 10:48:42	7.11318600e-05	1.00198600e-04	-9.99436000e-02	-1.11773900e-04	2	-2.99959700e-01	-2.00540000e-08
8.45494548e+01	23-06-16 10:48:43	7.15501400e-05	1.16205200e-04	-9.99438600e-02	-1.25635200e-04	2	-3.99967900e-01	-1.80663200e-08
8.59284862e+01	23-06-16 10:48:44	7.07972500e-05	1.22768100e-04	-9.99440500e-02	-1.20388300e-04	2	-4.99953900e-01	-1.04796600e-08
8.72724353e+01	23-06-16 10:48:46	7.13827000e-05	1.20549800e-04	-9.99444200e-02	-1.20065200e-04	2	-5.99943200e-01	-1.05434100e-08
8.86255688e+01	23-06-16 10:48:47	7.21355000e-05	1.22504400e-04	-9.99435100e-02	-1.22685400e-04	2	-6.99974400e-01	-1.10076800e-08
8.99862197e+01	23-06-16 10:48:49	7.16337000e-05	1.26137300e-04	-9.99435100e-02	-1.26487400e-04	2	-7.99922200e-01	-1.22607400e-08
9.13593179e+01	23-06-16 10:48:50	7.10481300e-05	1.31564500e-04	-9.99433200e-02	-1.32797000e-04	2	-8.99961600e-01	-1.87947000e-08
9.27347837e+01	23-06-16 10:48:51	7.11319100e-05	1.41900600e-04	-9.99445000e-02	-1.44781400e-04	2	-9.99968000e-01	-3.49106700e-08
9.40770004e+01	23-06-16 10:48:53	7.06301700e-05	1.51072100e-04	-9.99445600e-02	-1.51803500e-04	2	-9.99967500e-01	-3.12241900e-08
