Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

2.06163479e+02	2022-11-15T11:00:45.183010	8.47119800e-05	7.92236500e-04	1.06927641e-01	-4.99988600e-01	-7.91826700e-04	6.31436904e+02	-8.99941400e-01	-2.51173400e-08	3.58294867e+07
2.06741374e+02	2022-11-15T11:00:45.761046	8.47135600e-05	7.86958100e-04	1.07646849e-01	-4.99955100e-01	-7.85735300e-04	6.36289473e+02	-8.49891100e-01	-1.46469100e-08	5.80252831e+07
2.07617672e+02	2022-11-15T11:00:46.637101	6.79754600e-05	7.79018900e-04	8.72577803e-02	-4.99981800e-01	-7.74771900e-04	6.45327741e+02	-7.99897700e-01	3.27115800e-09	-2.44530438e+08
2.08491390e+02	2022-11-15T11:00:47.511156	7.63491200e-05	7.66910600e-04	9.95541332e-02	-4.99953300e-01	-7.65085800e-04	6.53460435e+02	-7.49908400e-01	1.13500600e-08	-6.60708754e+07
2.09350745e+02	2022-11-15T11:00:48.370210	6.79774800e-05	7.56885100e-04	8.98121525e-02	-4.99960100e-01	-7.52418300e-04	6.64470947e+02	-6.99919900e-01	1.49547400e-08	-4.68025455e+07
2.10210153e+02	2022-11-15T11:00:49.229264	7.63447300e-05	7.41800500e-04	1.02918143e-01	-4.99968400e-01	-7.37217100e-04	6.78183401e+02	-6.49863100e-01	2.25659400e-08	-2.87984059e+07
2.11085235e+02	2022-11-15T11:00:50.104319	6.79754600e-05	7.12573100e-04	9.53943673e-02	-4.99966700e-01	-7.07516800e-04	7.06649934e+02	-5.99855500e-01	2.64014000e-08	-2.27205944e+07
2.11944612e+02	2022-11-15T11:00:50.964373	7.63432700e-05	6.84168200e-04	1.11585528e-01	-4.99950100e-01	-6.79041600e-04	7.36258427e+02	-5.49885300e-01	3.22097400e-08	-1.70720192e+07
2.12803867e+02	2022-11-15T11:00:51.823427	7.63440100e-05	6.47361300e-04	1.17931069e-01	-4.99996800e-01	-6.41960600e-04	7.78859014e+02	-4.99854900e-01	4.55143300e-08	-1.09823631e+07
2.13663336e+02	2022-11-15T11:00:52.682481	7.63440100e-05	6.10945600e-04	1.24960406e-01	-4.99945000e-01	-6.08016400e-04	8.22255781e+02	-4.49919600e-01	3.28930900e-07	-1.36782406e+06
2.14335213e+02	2022-11-15T11:00:53.354524	7.63440100e-05	5.84199200e-04	1.30681470e-01	-4.99948300e-01	-5.85533400e-04	8.53833957e+02	-3.99885500e-01	1.16019900e-06	-3.44669751e+05
2.14975717e+02	2022-11-15T11:00:53.995563	6.79768000e-05	5.46138000e-04	1.24468175e-01	-4.99914800e-01	-5.44036600e-04	9.18899206e+02	-3.49883500e-01	4.71651200e-07	-7.41826799e+05
2.15635067e+02	2022-11-15T11:00:54.654606	6.79747800e-05	4.93898300e-04	1.37629103e-01	-4.99991800e-01	-4.91603500e-04	1.01706314e+03	-2.99917200e-01	2.96431500e-07	-1.01175887e+06
2.16303728e+02	2022-11-15T11:00:55.322646	7.63425300e-05	4.38660500e-04	1.74035570e-01	-4.99960000e-01	-4.35752900e-04	1.14734750e+03	-2.49928400e-01	2.69900900e-07	-9.26000617e+05
2.16976436e+02	2022-11-15T11:00:55.995689	6.79761400e-05	3.85733900e-04	1.76225476e-01	-4.99991800e-01	-3.84234300e-04	1.30126800e+03	-1.99899500e-01	2.37856200e-07	-8.40421650e+05
2.17929052e+02	2022-11-15T11:00:56.948749	1.01448300e-04	3.33149800e-04	3.04512565e-01	-4.99976800e-01	-3.33125900e-04	1.50086439e+03	-1.49953200e-01	2.57858500e-07	-5.81532895e+05
2.18602213e+02	2022-11-15T11:00:57.621791	6.79747800e-05	2.81917000e-04	2.41116286e-01	-4.99986800e-01	-2.81686100e-04	1.77497860e+03	-9.99257900e-02	3.08600100e-07	-3.23803492e+05
2.19272777e+02	2022-11-15T11:00:58.291833	8.47104100e-05	2.33502300e-04	3.62781908e-01	-4.99950000e-01	-2.33653200e-04	2.13970962e+03	-4.99441300e-02	3.40435100e-07	-1.46706758e+05
2.19946932e+02	2022-11-15T11:00:58.965876	6.79761400e-05	1.87857400e-04	3.61849680e-01	-4.99978500e-01	-1.87811200e-04	2.66213357e+03	7.86831100e-05	4.45961500e-07	1.76434760e+02
