Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	out_gate Voltage	out_gate Current	out_gate Resistance	out_drain Voltage	out_drain Current	out_drain Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

7.77628479e+01	2022-11-15T10:56:42.978358	9.30800700e-05	-1.14310400e-07	-8.14274729e+02	6.00171800e-01	4.83847400e-07	1.24041547e+06	1.23476700e-04	-3.44113200e-07	-3.58825817e+02
7.89506258e+01	2022-11-15T10:56:44.165944	5.12407300e-05	-2.39187800e-07	-2.14228025e+02	6.00150700e-01	4.14395600e-07	1.44825548e+06	5.00471100e-02	-1.98652900e-07	-2.51932441e+05
7.96427813e+01	2022-11-15T10:56:44.857988	6.79768000e-05	-2.22883500e-07	-3.04988032e+02	6.00171800e-01	4.22368800e-07	1.42096623e+06	5.00725400e-02	-1.98523000e-07	-2.52225384e+05
7.98104926e+01	2022-11-15T10:56:45.025998	5.96090000e-05	-1.56273700e-07	-3.81439743e+02	6.00167700e-01	5.03028100e-07	1.19310969e+06	9.83912000e-05	-3.27722100e-07	-3.00227540e+02
8.04975888e+01	2022-11-15T10:56:45.713041	6.79768000e-05	-1.35745600e-07	-5.00766139e+02	6.00134300e-01	5.57746700e-07	1.07599794e+06	-4.99093300e-02	-4.04474400e-07	1.23393050e+05
8.11874912e+01	2022-11-15T10:56:46.403085	4.28757300e-05	-1.37700300e-07	-3.11369910e+02	6.00118100e-01	6.10243000e-07	9.83408413e+05	-9.99491700e-02	-4.73667800e-07	2.11011114e+05
8.17008629e+01	2022-11-15T10:56:46.916117	5.96090000e-05	-1.41666800e-07	-4.20769016e+02	6.00163300e-01	7.53955300e-07	7.96019738e+05	-1.49964600e-01	-5.81137300e-07	2.58053648e+05
8.23745649e+01	2022-11-15T10:56:47.590159	8.47119800e-05	-1.43745400e-07	-5.89319589e+02	6.00142900e-01	8.19277000e-07	7.32527460e+05	-1.99937900e-01	-6.49395000e-07	3.07883338e+05
8.30289171e+01	2022-11-15T10:56:48.244200	5.12435500e-05	-1.44113500e-07	-3.55577722e+02	6.00163300e-01	8.76874900e-07	6.84434347e+05	-2.49914500e-01	-7.47106000e-07	3.34510096e+05
8.37008943e+01	2022-11-15T10:56:48.916243	9.40532100e-06	-1.43393300e-07	-6.55910771e+01	6.00138300e-01	1.01832100e-06	5.89340984e+05	-2.99934300e-01	-8.30783000e-07	3.61026044e+05
8.43725821e+01	2022-11-15T10:56:49.588284	6.79768000e-05	-1.45339500e-07	-4.67710430e+02	6.00192000e-01	1.10214700e-06	5.44566197e+05	-3.49945700e-01	-9.33278800e-07	3.74963730e+05
8.50493824e+01	2022-11-15T10:56:50.264327	7.63447300e-05	-1.38670900e-07	-5.50546149e+02	6.00171400e-01	1.17484400e-06	5.10851994e+05	-3.99877900e-01	-1.02324700e-06	3.90793132e+05
8.57006243e+01	2022-11-15T10:56:50.916368	5.12412900e-05	-1.42763200e-07	-3.58925059e+02	6.00138600e-01	1.28062400e-06	4.68629824e+05	-4.49961300e-01	-1.12347100e-06	4.00509938e+05
8.63722902e+01	2022-11-15T10:56:51.587410	5.96083700e-05	-1.45303300e-07	-4.10234110e+02	6.00138300e-01	1.39110000e-06	4.31412767e+05	-4.99931600e-01	-1.23816400e-06	4.03768483e+05
8.70286928e+01	2022-11-15T10:56:52.244452	5.96096200e-05	-1.43555500e-07	-4.15237452e+02	6.00192300e-01	1.49997600e-06	4.00134602e+05	-5.49975900e-01	-1.37306800e-06	4.00545275e+05
8.77030089e+01	2022-11-15T10:56:52.918494	9.30783900e-05	-1.41151600e-07	-6.59421431e+02	6.00130200e-01	1.68922800e-06	3.55268916e+05	-5.99973300e-01	-1.58104200e-06	3.79479672e+05
8.83544952e+01	2022-11-15T10:56:53.569535	7.63440100e-05	-1.45572800e-07	-5.24438700e+02	6.00129900e-01	1.72899400e-06	3.47097734e+05	-5.99947900e-01	-1.59708100e-06	3.75652769e+05
8.85127297e+01	2022-11-15T10:56:53.727544	3.45080300e-05	-1.47736100e-07	-2.33578861e+02	6.00146700e-01	1.60525000e-06	3.73864943e+05	-5.49976800e-01	-1.47418200e-06	3.73072524e+05
8.91847684e+01	2022-11-15T10:56:54.399586	6.79774800e-05	-1.41621000e-07	-4.79995763e+02	6.00155300e-01	1.47351600e-06	4.07294729e+05	-4.99931600e-01	-1.36018500e-06	3.67546768e+05
