Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	out_gate Voltage	out_gate Current	out_gate Resistance	out_drain Voltage	out_drain Current	out_drain Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

2.06848475e+01	2022-11-15T10:44:48.148339	9.30792300e-05	1.46400900e-05	6.35783182e+00	-1.99880100e-01	3.96793900e-08	-5.03737835e+06	5.65631800e-05	-1.45201800e-05	-3.89548752e+00
2.15568934e+01	2022-11-15T10:44:49.020394	7.63440100e-05	-4.10068100e-05	-1.86173979e+00	-1.99940200e-01	-3.59658000e-09	5.55917566e+07	5.00892800e-02	4.15203900e-05	1.20637788e+03
2.24766439e+01	2022-11-15T10:44:49.940452	5.96077600e-05	-4.13321600e-05	-1.44216416e+00	-1.99914900e-01	3.01885900e-09	-6.62220064e+07	5.00999800e-02	4.15077800e-05	1.20700216e+03
2.26349092e+01	2022-11-15T10:44:50.098461	8.47112000e-05	1.42435900e-05	5.94732087e+00	-1.99876000e-01	8.27681100e-09	-2.41489144e+07	4.82029600e-05	-1.44892600e-05	-3.32680620e+00
2.35719240e+01	2022-11-15T10:44:51.035520	8.47127700e-05	6.61842400e-05	1.27995381e+00	-1.99975000e-01	-1.59399500e-09	1.25455224e+08	-4.99257200e-02	-6.62004900e-05	7.54159373e+02
2.42599715e+01	2022-11-15T10:44:51.723564	8.47112000e-05	1.16603100e-04	7.26491834e-01	-1.99850900e-01	3.24221900e-08	-6.16401606e+06	-9.99421500e-02	-1.13140900e-04	8.83342363e+02
2.52128321e+01	2022-11-15T10:44:52.676623	6.79741100e-05	1.59823200e-04	4.25308153e-01	-1.99856300e-01	4.41475900e-08	-4.52700363e+06	-1.49942500e-01	-1.54830500e-04	9.68429993e+02
2.61031799e+01	2022-11-15T10:44:53.566679	1.01445600e-04	1.98530000e-04	5.10983730e-01	-1.99915100e-01	6.13722200e-08	-3.25742005e+06	-1.99931200e-01	-1.91128800e-04	1.04605481e+03
2.68066099e+01	2022-11-15T10:44:54.270723	6.79727500e-05	2.25506100e-04	3.01423110e-01	-1.99884100e-01	4.11473400e-07	-4.85776480e+05	-2.49971300e-01	-2.27537900e-04	1.09859193e+03
2.74784633e+01	2022-11-15T10:44:54.941765	7.63440100e-05	2.67451500e-04	2.85449923e-01	-1.99923500e-01	1.41466600e-07	-1.41322051e+06	-2.99940700e-01	-2.67339700e-04	1.12194597e+03
2.81683362e+01	2022-11-15T10:44:55.631809	7.63440100e-05	2.88237500e-04	2.64864946e-01	-1.99924800e-01	2.00056100e-07	-9.99343684e+05	-3.49946800e-01	-2.88764100e-04	1.21187779e+03
2.87139138e+01	2022-11-15T10:44:56.177843	6.79754600e-05	3.02780300e-04	2.24504236e-01	-1.99903800e-01	1.40189800e-07	-1.42595110e+06	-3.99914000e-01	-3.03594100e-04	1.31726539e+03
2.92594589e+01	2022-11-15T10:44:56.722877	1.26548200e-04	3.13597000e-04	4.03537661e-01	-1.99909500e-01	8.68559900e-08	-2.30162019e+06	-4.49931600e-01	-3.14250500e-04	1.43176097e+03
2.98162079e+01	2022-11-15T10:44:57.279912	6.79761400e-05	3.21157600e-04	2.11659758e-01	-1.99915100e-01	8.76543700e-08	-2.28072029e+06	-4.99960100e-01	-3.21334400e-04	1.55588726e+03
3.03531520e+01	2022-11-15T10:44:57.816946	8.47096200e-05	3.27101200e-04	2.58970679e-01	-1.99899800e-01	1.39219000e-07	-1.43586579e+06	-5.49948900e-01	-3.26563500e-04	1.68404889e+03
3.09053582e+01	2022-11-15T10:44:58.368981	6.79754600e-05	3.30321000e-04	2.05786069e-01	-1.99906800e-01	2.20757900e-07	-9.05547661e+05	-5.99923400e-01	-3.30777200e-04	1.81367821e+03
3.14314313e+01	2022-11-15T10:44:58.895014	1.09812800e-04	3.32106400e-04	3.30655477e-01	-1.99930300e-01	2.11349700e-07	-9.45969169e+05	-5.99964800e-01	-3.31808000e-04	1.80816858e+03
3.15717871e+01	2022-11-15T10:44:59.036022	9.30792300e-05	3.26272600e-04	2.85280560e-01	-1.99955600e-01	2.59377900e-07	-7.70904537e+05	-5.49961100e-01	-3.25995900e-04	1.68701846e+03
3.21190331e+01	2022-11-15T10:44:59.583057	1.01444700e-04	3.20158900e-04	3.16857348e-01	-1.99986100e-01	2.31931500e-07	-8.62263642e+05	-4.99958300e-01	-3.18952100e-04	1.56750277e+03
