Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	out_gate Voltage	out_gate Current	out_gate Resistance	out_drain Voltage	out_drain Current	out_drain Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

4.01053367e+01	2022-11-15T10:45:07.569558	7.63440100e-05	1.03931500e-05	7.34560841e+00	6.19623500e-05	1.58914800e-07	3.89909247e+02	3.98328400e-05	-1.00786500e-05	-3.95219995e+00
4.07907069e+01	2022-11-15T10:45:08.254601	8.47143600e-05	-2.96193600e-05	-2.86010096e+00	6.19654300e-05	9.43335200e-09	6.56876050e+03	4.99691600e-02	2.95968700e-05	1.68832583e+03
4.16326396e+01	2022-11-15T10:45:09.096654	5.12407300e-05	-2.96576500e-05	-1.72774073e+00	4.52294200e-05	2.03192000e-08	2.22594492e+03	5.00564800e-02	2.96088700e-05	1.69059069e+03
4.17752749e+01	2022-11-15T10:45:09.238663	5.96083700e-05	1.03493400e-05	5.75963008e+00	7.03180600e-05	9.37183600e-08	7.50312532e+02	7.32912400e-05	-1.00429100e-05	-7.29780910e+00
4.24805703e+01	2022-11-15T10:45:09.944708	8.47104100e-05	4.43950800e-05	1.90810356e+00	7.87010000e-05	3.59134400e-07	2.19140801e+02	-4.99508200e-02	-4.55608500e-05	1.09635400e+03
4.32129512e+01	2022-11-15T10:45:10.676753	5.12407300e-05	7.73172800e-05	6.62733221e-01	3.68775800e-05	1.86410500e-07	1.97829951e+02	-9.99555000e-02	-7.70907000e-05	1.29659609e+03
4.39004215e+01	2022-11-15T10:45:11.363796	6.79768000e-05	9.97496000e-05	6.81474412e-01	4.52422500e-05	2.40952900e-07	1.87763874e+02	-1.49940500e-01	-1.00399400e-04	1.49344020e+03
4.44473286e+01	2022-11-15T10:45:11.910831	5.96108500e-05	1.16270500e-04	5.12691095e-01	3.41882700e-06	2.16870600e-07	1.57643636e+01	-1.99925800e-01	-1.16886000e-04	1.71043410e+03
4.49946390e+01	2022-11-15T10:45:12.458865	7.63425300e-05	1.27622400e-04	5.98190678e-01	1.17766900e-05	2.04792000e-07	5.75056155e+01	-2.49973100e-01	-1.28580300e-04	1.94410108e+03
4.55456304e+01	2022-11-15T10:45:13.009900	8.47119800e-05	1.35019300e-04	6.27406452e-01	5.35911600e-05	1.87657700e-07	2.85579329e+02	-2.99951000e-01	-1.36285200e-04	2.20090663e+03
4.60876526e+01	2022-11-15T10:45:13.551933	4.28747200e-05	1.40344300e-04	3.05496696e-01	8.70627400e-05	1.68794300e-07	5.15791943e+02	-3.49940800e-01	-1.41096600e-04	2.48015048e+03
4.66530462e+01	2022-11-15T10:45:14.116969	7.63440100e-05	1.43352100e-04	5.32562899e-01	9.54131200e-05	2.92188400e-07	3.26546571e+02	-3.99933200e-01	-1.43903900e-04	2.77916860e+03
4.71972024e+01	2022-11-15T10:45:14.661003	7.63418000e-05	1.45047800e-04	5.26321668e-01	7.03241300e-05	3.13007000e-07	2.24672707e+02	-4.49946800e-01	-1.45718600e-04	3.08777877e+03
4.77440299e+01	2022-11-15T10:45:15.208038	8.47104100e-05	1.45886800e-04	5.80658497e-01	7.03241300e-05	3.41161100e-07	2.06131737e+02	-4.99948300e-01	-1.46699500e-04	3.40797549e+03
4.82905434e+01	2022-11-15T10:45:15.754072	7.63396100e-05	1.46989800e-04	5.19353112e-01	3.68677700e-05	4.14489000e-07	8.89475233e+01	-5.50002900e-01	-1.47394300e-04	3.73150726e+03
4.88389413e+01	2022-11-15T10:45:16.303107	5.96090000e-05	1.47859300e-04	4.03146775e-01	5.36006400e-05	4.74485200e-07	1.12965884e+02	-5.99952200e-01	-1.48672800e-04	4.03538643e+03
4.93687499e+01	2022-11-15T10:45:16.832140	7.63432700e-05	1.48184700e-04	5.15189962e-01	3.68677700e-05	4.10092700e-07	8.99010638e+01	-5.99973600e-01	-1.48249000e-04	4.04706676e+03
4.95091668e+01	2022-11-15T10:45:16.973148	8.47096200e-05	1.48374900e-04	5.70916105e-01	5.36006400e-05	3.72023200e-07	1.44078756e+02	-5.49979600e-01	-1.46838500e-04	3.74547275e+03
5.00586847e+01	2022-11-15T10:45:17.522182	8.47127700e-05	1.46060200e-04	5.79985307e-01	1.17732600e-05	3.31016500e-07	3.55669884e+01	-4.99960100e-01	-1.45431700e-04	3.43776563e+03
5.06032963e+01	2022-11-15T10:45:18.067217	8.47112000e-05	1.44402600e-04	5.86632097e-01	2.85095900e-05	2.97931700e-07	9.56916971e+01	-4.49959700e-01	-1.43670700e-04	3.13188214e+03
