Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

5.25202192e+01	2022-11-15T10:58:11.538783	4.28732000e-05	5.69481800e-04	7.52845833e-02	-1.99947900e-01	-5.67869800e-04	3.52101661e+02	-8.99873900e-01	-1.95663200e-07	4.59909630e+06
5.31836573e+01	2022-11-15T10:58:12.201824	6.79774800e-05	5.69481800e-04	1.19367256e-01	-1.99931200e-01	-5.66990700e-04	3.52618129e+02	-8.49918300e-01	-8.60683500e-08	9.87492266e+06
5.38507593e+01	2022-11-15T10:58:12.868866	5.12435500e-05	5.70529500e-04	8.98175292e-02	-1.99926800e-01	-5.68466100e-04	3.51695202e+02	-7.99928800e-01	-3.57892600e-08	2.23510852e+07
5.47105294e+01	2022-11-15T10:58:13.728920	9.30800700e-05	5.67405500e-04	1.64045061e-01	-1.99906100e-01	-5.64555700e-04	3.54094556e+02	-7.49925100e-01	-6.51758100e-09	1.15061876e+08
5.55858569e+01	2022-11-15T10:58:14.603975	7.63440100e-05	5.68086100e-04	1.34388097e-01	-1.99957600e-01	-5.67025100e-04	3.52643296e+02	-6.99933400e-01	1.24018900e-08	-5.64376397e+07
5.62886964e+01	2022-11-15T10:58:15.307019	7.63440100e-05	5.65394300e-04	1.35027909e-01	-1.99925500e-01	-5.62824200e-04	3.55218379e+02	-6.49883900e-01	1.63008500e-08	-3.98680989e+07
5.71638235e+01	2022-11-15T10:58:16.182074	9.30800700e-05	5.59811500e-04	1.66270379e-01	-1.99911400e-01	-5.58286900e-04	3.58080048e+02	-5.99918300e-01	2.16089100e-08	-2.77625433e+07
5.80230045e+01	2022-11-15T10:58:17.041128	5.96114700e-05	5.51850800e-04	1.08020990e-01	-1.99940800e-01	-5.49537400e-04	3.63834745e+02	-5.49918700e-01	2.12678400e-08	-2.58568195e+07
5.88824647e+01	2022-11-15T10:58:17.901181	9.30800700e-05	5.41377800e-04	1.71931819e-01	-1.99911400e-01	-5.37894000e-04	3.71655754e+02	-4.99918300e-01	2.61356500e-08	-1.91278311e+07
5.97845373e+01	2022-11-15T10:58:18.803238	5.12435500e-05	5.26653100e-04	9.73003862e-02	-1.99932500e-01	-5.23552500e-04	3.81876698e+02	-4.49922000e-01	2.65119300e-08	-1.69705487e+07
6.06182992e+01	2022-11-15T10:58:19.636290	6.79761400e-05	5.07102000e-04	1.34048259e-01	-1.99925500e-01	-5.03405300e-04	3.97146196e+02	-3.99877100e-01	2.76913000e-08	-1.44405319e+07
6.14761200e+01	2022-11-15T10:58:20.494344	7.63432700e-05	4.81066400e-04	1.58695910e-01	-1.99919800e-01	-4.77504800e-04	4.18676001e+02	-3.49897900e-01	2.81843100e-08	-1.24146342e+07
6.23683994e+01	2022-11-15T10:58:21.386400	6.79761400e-05	4.55030900e-04	1.49387965e-01	-1.99925500e-01	-4.50613300e-04	4.43674210e+02	-2.99923300e-01	3.24776000e-08	-9.23477412e+06
6.32256300e+01	2022-11-15T10:58:22.244454	7.63440100e-05	4.22220800e-04	1.80815370e-01	-1.99926800e-01	-4.17392700e-04	4.78989690e+02	-2.49911600e-01	3.64503700e-08	-6.85621573e+06
6.41011745e+01	2022-11-15T10:58:23.119509	8.47104100e-05	3.76492000e-04	2.24999230e-01	-1.99949200e-01	-3.73130700e-04	5.35869067e+02	-1.99910800e-01	3.66600200e-08	-5.45310123e+06
6.52417843e+01	2022-11-15T10:58:24.260581	7.63425300e-05	3.36653700e-04	2.26768724e-01	-1.99893400e-01	-3.35646900e-04	5.95546689e+02	-1.49888400e-01	4.13025200e-07	-3.62903765e+05
6.57576515e+01	2022-11-15T10:58:24.775613	6.79734300e-05	3.24558600e-04	2.09433458e-01	-1.99910100e-01	-3.29585100e-04	6.06550782e+02	-9.99230800e-02	5.68947900e-07	-1.75627821e+05
6.63982155e+01	2022-11-15T10:58:25.416654	8.47112000e-05	2.85263400e-04	2.96957829e-01	-1.99932500e-01	-2.84275500e-04	7.03305420e+02	-4.99357600e-02	2.67463300e-07	-1.86701353e+05
6.72106301e+01	2022-11-15T10:58:26.228704	5.96083700e-05	2.30929100e-04	2.58124117e-01	-1.99903100e-01	-2.30811900e-04	8.66086627e+02	7.03210800e-05	2.54267600e-07	2.76563274e+02
