Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	out_gate Voltage	out_gate Current	out_gate Resistance	out_drain Voltage	out_drain Current	out_drain Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

6.33143387e+01	2022-11-15T10:56:28.529451	5.96108500e-05	9.31447200e-06	6.39980989e+00	4.00124500e-01	1.95286100e-07	2.04891439e+06	5.65631800e-05	-8.50421500e-06	-6.65119356e+00
6.39973113e+01	2022-11-15T10:56:29.212494	5.96083700e-05	-2.77217100e-05	-2.15024145e+00	4.00124500e-01	1.62663900e-07	2.45982360e+06	5.00896000e-02	2.81576500e-05	1.77889845e+03
6.46517618e+01	2022-11-15T10:56:29.866535	1.01448300e-04	-2.82009000e-05	-3.59734264e+00	4.00124500e-01	1.70133600e-07	2.35182527e+06	5.00725400e-02	2.78967900e-05	1.79492121e+03
6.48103885e+01	2022-11-15T10:56:30.025545	5.12412900e-05	8.24918000e-06	6.21168286e+00	4.00060600e-01	2.87621600e-07	1.39092683e+06	6.49236300e-05	-8.03546100e-06	-8.07963974e+00
6.53567459e+01	2022-11-15T10:56:30.571579	8.47127700e-05	3.07885400e-05	2.75143836e+00	4.00132500e-01	2.33907000e-07	1.71064782e+06	-4.99166800e-02	-2.96475600e-05	1.68366908e+03
6.59036400e+01	2022-11-15T10:56:31.118614	9.30758600e-05	4.30066400e-05	2.16422069e+00	4.00141200e-01	3.00785600e-07	1.33032033e+06	-9.99491700e-02	-4.13521800e-05	2.41702300e+03
6.63122723e+01	2022-11-15T10:56:31.527639	8.47104100e-05	4.80902300e-05	1.76148898e+00	4.00124500e-01	3.40187000e-07	1.17618986e+06	-1.49941500e-01	-4.61661100e-05	3.24786949e+03
6.67163628e+01	2022-11-15T10:56:31.931664	7.63440100e-05	4.81435800e-05	1.58575681e+00	4.00119100e-01	3.55873100e-07	1.12433084e+06	-1.99932500e-01	-4.63178100e-05	4.31653612e+03
6.71232284e+01	2022-11-15T10:56:32.338690	9.30767000e-05	4.67328000e-05	1.99167822e+00	4.00146600e-01	4.12942900e-07	9.69011938e+05	-2.49926200e-01	-4.45891300e-05	5.60509254e+03
6.75291167e+01	2022-11-15T10:56:32.744715	6.79754600e-05	4.42869900e-05	1.53488553e+00	4.00121500e-01	4.55641700e-07	8.78149432e+05	-2.99953100e-01	-4.31256900e-05	6.95532292e+03
6.79360468e+01	2022-11-15T10:56:33.150741	9.30783900e-05	4.21205300e-05	2.20981051e+00	4.00135600e-01	4.98692600e-07	8.02369235e+05	-3.49936100e-01	-4.07326200e-05	8.59105307e+03
6.84869713e+01	2022-11-15T10:56:33.701776	9.30775400e-05	4.06066300e-05	2.29217593e+00	4.00113700e-01	5.98708400e-07	6.68294783e+05	-3.99933500e-01	-3.96201300e-05	1.00941996e+04
6.89980169e+01	2022-11-15T10:56:34.212808	1.01444700e-04	3.92668600e-05	2.58346860e+00	4.00074600e-01	6.37620500e-07	6.27449400e+05	-4.49948300e-01	-3.85653400e-05	1.16671680e+04
6.95176865e+01	2022-11-15T10:56:34.732840	7.63432700e-05	3.81200000e-05	2.00270908e+00	4.00132800e-01	7.22426500e-07	5.53873370e+05	-4.99958300e-01	-3.78155700e-05	1.32209643e+04
7.00297311e+01	2022-11-15T10:56:35.244872	5.96071300e-05	3.74116800e-05	1.59327595e+00	4.00099400e-01	8.63113800e-07	4.63553473e+05	-5.49972200e-01	-3.71289700e-05	1.48124820e+04
7.05292041e+01	2022-11-15T10:56:35.743903	5.12407300e-05	3.68779000e-05	1.38946985e+00	4.00116100e-01	1.00168000e-06	3.99445032e+05	-5.99969200e-01	-3.64912100e-05	1.64414718e+04
7.10269332e+01	2022-11-15T10:56:36.241935	5.96077600e-05	3.54380600e-05	1.68202661e+00	4.00113100e-01	1.00066800e-06	3.99846003e+05	-5.99969800e-01	-3.60304900e-05	1.66517247e+04
7.11533702e+01	2022-11-15T10:56:36.368942	7.63447300e-05	3.43610900e-05	2.22183668e+00	4.00121500e-01	8.58897500e-07	4.65854773e+05	-5.50009300e-01	-3.50881900e-05	1.56750548e+04
7.16718940e+01	2022-11-15T10:56:36.886975	1.18180000e-04	3.32490700e-05	3.55438513e+00	4.00060600e-01	8.03296800e-07	4.98023396e+05	-4.99960000e-01	-3.41541500e-05	1.46383382e+04
7.22027218e+01	2022-11-15T10:56:37.418009	1.01444700e-04	3.25549200e-05	3.11610964e+00	4.00104800e-01	8.04151700e-07	4.97548908e+05	-4.49941500e-01	-3.35909000e-05	1.33947438e+04
