Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

1.67999136e+02	2023-01-20T17:42:28.103270	5.12401700e-05	4.93684800e-05	1.03791265e+00	3.00114100e-01	1.24728000e-04	2.40614858e+03	-9.99953600e-01	-1.74092900e-04	5.74379311e+03
1.68508320e+02	2023-01-20T17:42:28.612302	5.96083700e-05	6.05202400e-06	9.84932809e+00	3.00113800e-01	7.89294300e-05	3.80230543e+03	-8.99888300e-01	-7.79891400e-05	1.15386360e+04
1.69177818e+02	2023-01-20T17:42:29.282344	7.63418000e-05	-1.08102300e-05	-7.06199591e+00	3.00032700e-01	4.25762600e-05	7.04694823e+03	-7.99909700e-01	-2.88996300e-05	2.76788907e+04
1.70099047e+02	2023-01-20T17:42:30.203402	7.63418000e-05	-4.75997500e-05	-1.60382775e+00	3.00076600e-01	2.67798300e-05	1.12053213e+04	-6.99908400e-01	-4.81728700e-06	1.45290991e+05
1.71021435e+02	2023-01-20T17:42:31.125461	2.61384700e-05	-1.76305800e-05	-1.48256439e+00	3.00101700e-01	1.97863900e-05	1.51670770e+04	-5.99972300e-01	-3.63204100e-06	1.65188746e+05
1.71677404e+02	2023-01-20T17:42:31.781502	6.79747800e-05	-1.85756300e-05	-3.65935260e+00	3.00118100e-01	1.49130800e-05	2.01244880e+04	-4.99925000e-01	1.50824500e-06	-3.31461401e+05
1.72333502e+02	2023-01-20T17:42:32.437544	6.79754600e-05	-2.37130400e-05	-2.86658564e+00	3.00103700e-01	2.14635100e-06	1.39820421e+05	-3.99871500e-01	7.51281200e-06	-5.32252770e+04
1.73009503e+02	2023-01-20T17:42:33.113581	6.79768000e-05	-1.75169100e-05	-3.88063877e+00	3.00116100e-01	1.50508100e-05	1.99401959e+04	-2.99877400e-01	2.04937700e-06	-1.46326127e+05
1.73822550e+02	2023-01-20T17:42:33.926632	6.79761400e-05	-1.88012000e-05	-3.61552135e+00	3.00093300e-01	1.38267800e-05	2.17037734e+04	-1.99916500e-01	2.98426000e-06	-6.69903092e+04
1.74458766e+02	2023-01-20T17:42:34.562673	6.79761400e-05	-2.40698200e-05	-2.82412332e+00	3.00097400e-01	1.22450400e-05	2.45076700e+04	-9.99224000e-02	5.91946400e-06	-1.68803121e+04
1.74973997e+02	2023-01-20T17:42:35.078705	7.63432700e-05	-3.14178200e-05	-2.42993530e+00	3.00078600e-01	1.25272000e-05	2.39541637e+04	6.19623500e-05	1.05444500e-05	5.87629985e+00
1.75491748e+02	2023-01-20T17:42:35.595738	2.61404400e-05	-8.09047900e-05	-3.23101265e-01	3.00097400e-01	1.28648900e-05	2.33268532e+04	1.00086300e-01	5.20104100e-06	1.92435130e+04
1.76145990e+02	2023-01-20T17:42:36.249779	7.63447300e-05	-1.84545400e-05	-4.13690777e+00	3.00126500e-01	1.10270300e-05	2.72173468e+04	2.00036600e-01	4.77547000e-06	4.18883586e+04
1.76802350e+02	2023-01-20T17:42:36.906821	5.96096200e-05	-2.04723300e-05	-2.91171645e+00	3.00097400e-01	4.40748300e-06	6.80881583e+04	3.00080200e-01	1.25279700e-05	2.39528192e+04
1.77474134e+02	2023-01-20T17:42:37.578863	5.12418500e-05	-2.37234500e-05	-2.15996619e+00	3.00070200e-01	-9.97387800e-06	-3.00856096e+04	4.00102400e-01	7.68515900e-06	5.20616945e+04
1.78130277e+02	2023-01-20T17:42:38.234904	4.28726800e-05	-1.96793000e-05	-2.17856733e+00	3.00063900e-01	1.15071100e-05	2.60763910e+04	5.00098800e-01	6.30639000e-06	7.93003287e+04
1.78646980e+02	2023-01-20T17:42:38.750938	6.79761400e-05	-1.97194300e-05	-3.44716556e+00	3.00107700e-01	9.62810900e-06	3.11699525e+04	6.00150700e-01	8.38316300e-06	7.15900073e+04
1.79161902e+02	2023-01-20T17:42:39.265970	8.47119800e-05	-1.98948900e-05	-4.25797680e+00	3.00132800e-01	6.96776400e-06	4.30744784e+04	7.00127900e-01	9.41972200e-06	7.43257497e+04
1.79677716e+02	2023-01-20T17:42:39.782003	6.79768000e-05	-1.96360100e-05	-3.46184383e+00	3.00085000e-01	9.25969400e-06	3.24076584e+04	8.00110400e-01	8.17970500e-06	9.78165349e+04
