Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

1.85548642e+02	2023-01-20T17:53:29.600144	5.12407300e-05	1.47882000e-06	3.46497410e+01	-4.99956700e-01	-2.58140300e-06	1.93676346e+05	9.54160100e-05	1.27494900e-06	7.48390798e+01
1.86190902e+02	2023-01-20T17:53:30.242186	8.47088300e-05	1.29663000e-06	6.53299939e+01	-4.99963300e-01	-2.89149500e-06	1.72908236e+05	5.00319600e-02	1.53512000e-06	3.25915629e+04
1.86845261e+02	2023-01-20T17:53:30.896226	7.63410700e-05	1.23984700e-06	6.15729763e+01	-4.99953300e-01	-3.03631200e-06	1.64658079e+05	1.00087600e-01	1.66581500e-06	6.00832625e+04
1.87501867e+02	2023-01-20T17:53:31.553268	6.79747800e-05	1.25818900e-06	5.40258896e+01	-4.99951600e-01	-3.10229700e-06	1.61155299e+05	1.50092000e-01	1.74332600e-06	8.60951996e+04
1.88142480e+02	2023-01-20T17:53:32.193308	5.96102300e-05	1.23231100e-06	4.83727160e+01	-4.99941600e-01	-3.17818200e-06	1.57304270e+05	2.00115900e-01	1.82684300e-06	1.09541926e+05
1.88798501e+02	2023-01-20T17:53:32.849350	6.79761400e-05	1.26899500e-06	5.35669092e+01	-4.99975100e-01	-3.20994100e-06	1.55758346e+05	2.50097800e-01	1.82308700e-06	1.37183689e+05
1.89441160e+02	2023-01-20T17:53:33.492391	4.28716700e-05	1.24791000e-06	3.43547772e+01	-4.99956600e-01	-3.23311800e-06	1.54636051e+05	3.00086300e-01	1.87903900e-06	1.59702007e+05
1.90101820e+02	2023-01-20T17:53:34.152723	1.09812800e-04	1.21165900e-06	9.06301195e+01	-4.99965100e-01	-3.23424400e-06	1.54584843e+05	3.50097500e-01	1.93238000e-06	1.81174251e+05
1.90751840e+02	2023-01-20T17:53:34.802829	1.09811800e-04	1.22335000e-06	8.97631912e+01	-4.99966600e-01	-3.31097700e-06	1.51002740e+05	4.00105100e-01	1.97015300e-06	2.03083263e+05
1.91408431e+02	2023-01-20T17:53:35.459871	1.01444700e-04	1.20981700e-06	8.38512767e+01	-4.99931500e-01	-3.40479300e-06	1.46831687e+05	4.50132400e-01	1.99668400e-06	2.25439979e+05
1.92048931e+02	2023-01-20T17:53:36.099911	6.79761400e-05	1.22829400e-06	5.53419133e+01	-4.99983500e-01	-3.44962300e-06	1.44938592e+05	5.00115400e-01	2.04302100e-06	2.44792100e+05
1.92709999e+02	2023-01-20T17:53:36.760954	8.47112000e-05	1.19569800e-06	7.08466519e+01	-4.99998400e-01	-3.48575300e-06	1.43440571e+05	5.50106700e-01	2.12769300e-06	2.58546087e+05
1.93345765e+02	2023-01-20T17:53:37.396994	7.63425300e-05	1.22111500e-06	6.25187063e+01	-4.99995200e-01	-3.64951500e-06	1.37003191e+05	6.00138300e-01	2.26332100e-06	2.65158278e+05
1.94023080e+02	2023-01-20T17:53:38.074038	9.30775400e-05	1.23182700e-06	7.55605617e+01	-4.99948300e-01	-3.71218000e-06	1.34677817e+05	6.50101300e-01	2.27883500e-06	2.85277916e+05
1.94658379e+02	2023-01-20T17:53:38.709077	8.47096200e-05	1.24018700e-06	6.83039090e+01	-4.99906600e-01	-3.84188100e-06	1.30120272e+05	7.00162500e-01	2.41284800e-06	2.90180940e+05
1.95298735e+02	2023-01-20T17:53:39.350118	7.63447300e-05	1.19529800e-06	6.38708757e+01	-4.99943300e-01	-3.94021600e-06	1.26882206e+05	7.50116400e-01	2.57553900e-06	2.91246376e+05
1.95940884e+02	2023-01-20T17:53:39.992159	6.79781600e-05	1.18881500e-06	5.71814454e+01	-4.99955000e-01	-4.16484100e-06	1.20041798e+05	8.00132400e-01	2.83514300e-06	2.82219415e+05
1.96597085e+02	2023-01-20T17:53:40.648201	4.28721800e-05	1.19965400e-06	3.57371209e+01	-4.99940000e-01	-4.63051800e-06	1.07966323e+05	8.50123800e-01	3.36703700e-06	2.52484247e+05
1.97236268e+02	2023-01-20T17:53:41.287241	5.96096200e-05	1.18617300e-06	5.02537320e+01	-4.99956600e-01	-5.57318600e-06	8.97075030e+04	9.00158600e-01	4.37387200e-06	2.05803599e+05
1.97913313e+02	2023-01-20T17:53:41.964284	5.96096200e-05	1.14032500e-06	5.22742376e+01	-4.99935000e-01	-7.76707100e-06	6.43659624e+04	9.50145700e-01	6.60894200e-06	1.43766688e+05
