Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

5.11745278e-01	2023-01-20T17:39:40.611586	5.96071300e-05	1.13932100e-05	5.23181175e+00	-2.99938700e-01	-8.22693500e-06	3.64581342e+04	-9.99928400e-01	-1.33189700e-06	7.50755051e+05
1.84956384e+00	2023-01-20T17:39:41.951597	6.79768000e-05	9.60796200e-06	7.07504880e+00	-2.99967800e-01	-9.21024200e-06	3.25689379e+04	-8.99917100e-01	-3.77880300e-07	2.38148721e+06
2.69310111e+00	2023-01-20T17:39:42.791603	5.96090000e-05	9.42754000e-06	6.32285835e+00	-2.99961700e-01	-9.35664000e-06	3.20586984e+04	-7.99959800e-01	-1.26864200e-07	6.30563863e+06
3.36498665e+00	2023-01-20T17:39:43.461608	7.63447300e-05	9.36902000e-06	8.14863561e+00	-2.99957100e-01	-9.52587600e-06	3.14886631e+04	-6.99915600e-01	-2.94434400e-08	2.37715294e+07
4.22436075e+00	2023-01-20T17:39:44.321615	6.79747800e-05	9.05954700e-06	7.50311025e+00	-2.99938700e-01	-1.00135400e-05	2.99533132e+04	-5.99868500e-01	1.67241500e-07	-3.58683999e+06
4.91185751e+00	2023-01-20T17:39:45.011620	6.79741100e-05	8.83869400e-06	7.69051514e+00	-2.99930000e-01	-1.14934300e-05	2.60957782e+04	-4.99888300e-01	5.02649300e-07	-9.94507105e+05
5.59076905e+00	2023-01-20T17:39:45.693749	7.63454700e-05	8.71390300e-06	8.76134035e+00	-2.99947300e-01	-1.15043600e-05	2.60724890e+04	-3.99913300e-01	8.28009400e-07	-4.82981594e+05
6.25559377e+00	2023-01-20T17:39:46.358790	5.12390400e-05	7.67589700e-06	6.67531625e+00	-2.99932600e-01	-1.41431800e-05	2.12068714e+04	-2.99929900e-01	2.53965100e-06	-1.18098865e+05
6.92745234e+00	2023-01-20T17:39:47.030834	6.79734300e-05	5.66973800e-06	1.19888132e+01	-2.99999500e-01	-3.20928300e-05	9.34786680e+03	-1.99883000e-01	2.03557300e-06	-9.81949554e+04
7.63167307e+00	2023-01-20T17:39:47.734879	5.96071300e-05	5.41376400e-06	1.10102934e+01	-2.99982800e-01	-1.25037200e-05	2.39914841e+04	-9.99147200e-02	5.29060600e-06	-1.88853073e+04
8.16693894e+00	2023-01-20T17:39:48.269913	1.09812800e-04	1.47972200e-06	7.42117776e+01	-2.99955700e-01	-1.55316900e-05	1.93124959e+04	7.03271600e-05	7.08223200e-06	9.93008419e+00
8.96066134e+00	2023-01-20T17:39:49.063963	8.47112000e-05	8.77710700e-06	9.65138057e+00	-2.99995200e-01	-1.10460200e-05	2.71586689e+04	1.00096000e-01	1.62524200e-06	6.15883665e+04
9.78130811e+00	2023-01-20T17:39:49.884015	9.30767000e-05	8.24329200e-06	1.12912050e+01	-2.99945000e-01	-1.12938400e-05	2.65582831e+04	2.00072700e-01	2.31910200e-06	8.62716258e+04
1.04768412e+01	2023-01-20T17:39:50.580058	8.47104100e-05	8.10807200e-06	1.04476638e+01	-2.99949300e-01	-1.14186600e-05	2.62683450e+04	3.00098700e-01	2.59607000e-06	1.15597307e+05
1.11620463e+01	2023-01-20T17:39:51.265102	9.30758600e-05	8.18273100e-06	1.13746694e+01	-2.99921900e-01	-1.14045900e-05	2.62983501e+04	4.00118800e-01	2.82306600e-06	1.41732003e+05
1.18221316e+01	2023-01-20T17:39:51.925144	6.79761400e-05	8.13910100e-06	8.35179954e+00	-2.99940700e-01	-1.15527900e-05	2.59626203e+04	5.00043500e-01	3.01609200e-06	1.65791859e+05
1.25101792e+01	2023-01-20T17:39:52.613187	5.96090000e-05	8.10702800e-06	7.35275615e+00	-2.99940700e-01	-1.16929800e-05	2.56513481e+04	6.00188500e-01	3.15478400e-06	1.90247098e+05
1.31930492e+01	2023-01-20T17:39:53.296231	6.79768000e-05	8.06292300e-06	8.43078869e+00	-2.99960000e-01	-1.17906200e-05	2.54405621e+04	7.00110200e-01	3.39588800e-06	2.06164102e+05
1.38491829e+01	2023-01-20T17:39:53.952272	7.63432700e-05	7.96104000e-06	9.58961015e+00	-2.99957700e-01	-1.19051800e-05	2.51955619e+04	8.00160500e-01	3.64522800e-06	2.19509040e+05
