Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

1.13318349e+02	2023-01-20T17:41:33.421800	8.47080500e-05	6.76661700e-05	1.25185229e+00	1.00111600e-01	8.19910700e-05	1.22100614e+03	-9.99932000e-01	-1.37846000e-04	7.25397908e+03
1.13833460e+02	2023-01-20T17:41:33.936832	6.79747800e-05	1.39567700e-05	4.87038047e+00	1.00094200e-01	4.35687700e-05	2.29738411e+03	-8.99896600e-01	-5.35319400e-05	1.68104612e+04
1.14505122e+02	2023-01-20T17:41:34.608875	6.79774800e-05	-2.11569300e-06	-3.21301247e+01	1.00104600e-01	1.57749500e-05	6.34579507e+03	-7.99912700e-01	-1.34481700e-05	5.94811562e+04
1.15302255e+02	2023-01-20T17:41:35.405925	5.12401700e-05	-4.02900600e-05	-1.27178192e+00	1.00112900e-01	6.78997300e-06	1.47442265e+04	-6.99923000e-01	2.27778800e-05	-3.07281889e+04
1.15963250e+02	2023-01-20T17:41:36.066967	8.47096200e-05	-1.17366900e-05	-7.21750511e+00	1.00078100e-01	-1.62902800e-05	-6.14342418e+03	-5.99910000e-01	1.89828700e-05	-3.16027029e+04
1.16489681e+02	2023-01-20T17:41:36.594001	8.47096200e-05	-8.55251800e-06	-9.90464095e+00	1.00071800e-01	3.67598600e-06	2.72231178e+04	-4.99931700e-01	2.09286700e-06	-2.38874090e+05
1.17311330e+02	2023-01-20T17:41:37.415053	6.79774800e-05	-1.05063200e-05	-6.47015130e+00	1.00111600e-01	2.65025600e-06	3.77743131e+04	-3.99885500e-01	5.09549800e-06	-7.84781978e+04
1.17822362e+02	2023-01-20T17:41:37.926085	6.79754600e-05	-1.01583900e-05	-6.69155841e+00	1.00094200e-01	8.41958300e-07	1.18882610e+05	-2.99933900e-01	5.36657000e-06	-5.58893110e+04
1.18353383e+02	2023-01-20T17:41:38.457119	5.96077600e-05	-9.45579500e-06	-6.30383379e+00	1.00113600e-01	2.24222500e-06	4.46492212e+04	-1.99894100e-01	4.23516900e-06	-4.71986124e+04
1.18876516e+02	2023-01-20T17:41:38.980153	5.96096200e-05	-1.32184300e-05	-4.50958397e+00	1.00094900e-01	2.67586400e-06	3.74065722e+04	-9.99160700e-02	4.91808300e-06	-2.03160601e+04
1.19400421e+02	2023-01-20T17:41:39.504186	5.12407300e-05	-2.04428800e-05	-2.50653186e+00	1.00115000e-01	2.80421100e-06	3.57016644e+04	3.68775800e-05	8.65749500e-06	4.25961320e+00
1.20229491e+02	2023-01-20T17:41:40.333238	6.79761400e-05	-1.02616500e-05	-6.62428947e+00	1.00087800e-01	-1.31252900e-06	-7.62556865e+04	1.00078600e-01	7.17792600e-06	1.39425511e+04
1.21036654e+02	2023-01-20T17:41:41.140289	5.96071300e-05	-1.18393800e-05	-5.03464962e+00	1.00103900e-01	-3.67654100e-05	-2.72277393e+03	2.00081100e-01	2.94786000e-06	6.78733386e+04
1.21833528e+02	2023-01-20T17:41:41.937340	9.30800700e-05	-9.00502900e-06	-1.03364542e+01	1.00094200e-01	3.73264100e-06	2.68159193e+04	3.00090300e-01	3.16228000e-06	9.48968150e+04
1.22650634e+02	2023-01-20T17:41:42.754393	5.96065100e-05	-9.71262000e-06	-6.13701658e+00	1.00122700e-01	2.67193700e-06	3.74719539e+04	4.00099700e-01	4.97128300e-06	8.04821814e+04
1.23177221e+02	2023-01-20T17:41:43.281425	5.96077600e-05	-9.08811500e-06	-6.55886947e+00	1.00123300e-01	2.27300000e-06	4.40489661e+04	5.00108700e-01	5.46293400e-06	9.15458067e+04
1.23692881e+02	2023-01-20T17:41:43.796457	7.63454700e-05	-9.05723900e-06	-8.42922109e+00	1.00105200e-01	2.74261800e-06	3.64998698e+04	6.00147200e-01	5.42501700e-06	1.10625865e+05
1.24208516e+02	2023-01-20T17:41:44.312490	9.30800700e-05	-9.16068400e-06	-1.01608210e+01	1.00058700e-01	2.88932100e-06	3.46305239e+04	7.00109100e-01	5.35059200e-06	1.30847035e+05
1.24724015e+02	2023-01-20T17:41:44.827523	4.28742100e-05	-9.05398900e-06	-4.73539453e+00	1.00111600e-01	2.92575900e-06	3.42173091e+04	8.00130000e-01	5.34000700e-06	1.49836882e+05
