Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

1.43057092e+02	2023-01-26T12:38:28.619254	4.11037800e-04	-3.94935100e-09	-1.04077303e+05	-9.99582100e-02	-6.13405000e-10	1.62956301e+08	-5.99700600e-01	-1.35195400e-08	4.43580625e+07
1.43823089e+02	2023-01-26T12:38:29.385304	1.68387200e-04	-1.38064900e-08	-1.21962352e+04	-9.99575300e-02	6.74601700e-10	-1.48172662e+08	-5.79715100e-01	-6.33130300e-09	9.15633164e+07
1.44744808e+02	2023-01-26T12:38:30.307362	-4.07969000e-05	-9.10429800e-09	4.48105939e+03	-9.99421500e-02	7.12031600e-10	-1.40361959e+08	-5.59748000e-01	-1.22855700e-09	4.55614188e+08
1.45666440e+02	2023-01-26T12:38:31.228421	-6.58985700e-05	-2.37242900e-09	2.77768355e+04	-9.99324300e-02	3.84447200e-10	-2.59937984e+08	-5.40155700e-01	1.54350600e-08	-3.49953742e+07
1.46432180e+02	2023-01-26T12:38:31.994469	-1.57940200e-04	1.34972500e-08	-1.17016577e+04	-9.99163700e-02	-4.75897100e-10	2.09953727e+08	-5.20151700e-01	9.38671600e-09	-5.54135973e+07
1.47354070e+02	2023-01-26T12:38:32.916529	3.45071300e-05	1.15772800e-08	2.98059043e+03	-9.99575300e-02	-7.88324600e-10	1.26797426e+08	-5.00038800e-01	3.02979200e-09	-1.65040636e+08
1.48275950e+02	2023-01-26T12:38:33.838587	2.35313500e-04	6.77851200e-09	3.47146247e+04	-9.99588900e-02	-5.09107200e-10	1.96341537e+08	-4.80000700e-01	-7.95466200e-10	6.03420610e+08
1.49199592e+02	2023-01-26T12:38:34.761647	3.77565800e-04	-7.33105400e-09	-5.15022533e+04	-9.98946600e-02	-2.04248600e-10	4.89083695e+08	-4.60354700e-01	-1.30652700e-08	3.52349932e+07
1.50119814e+02	2023-01-26T12:38:35.682704	2.85517500e-04	-7.18453600e-09	-3.97405622e+04	-9.99478100e-02	-4.51500600e-12	2.21368056e+10	-4.39769900e-01	-6.95400900e-09	6.32397657e+07
1.50885339e+02	2023-01-26T12:38:36.447754	-5.75314800e-05	-9.24989100e-09	6.21969275e+03	-9.99588900e-02	7.24226400e-10	-1.38021605e+08	-4.19798700e-01	-1.29962600e-09	3.23015006e+08
1.51807351e+02	2023-01-26T12:38:37.369812	-7.42658400e-05	-2.96040300e-09	2.50863953e+04	-9.99136800e-02	4.31135300e-10	-2.31745533e+08	-4.00117000e-01	1.51931700e-08	-2.63353204e+07
1.52572961e+02	2023-01-26T12:38:38.135862	-1.57938400e-04	1.33950900e-08	-1.17907681e+04	-9.99337800e-02	-3.96852500e-10	2.51815927e+08	-3.80108500e-01	1.06030600e-08	-3.58489436e+07
1.53494561e+02	2023-01-26T12:38:39.056920	7.63410700e-05	1.24943100e-08	6.11006690e+03	-9.99631900e-02	4.72070200e-11	-2.11754925e+09	-3.60072800e-01	7.51946700e-09	-4.78854153e+07
1.54276375e+02	2023-01-26T12:38:39.838970	1.60014600e-04	9.08735200e-09	1.76084959e+04	-9.99498300e-02	-7.28202800e-10	1.37255487e+08	-3.40013800e-01	1.65891600e-09	-2.04961433e+08
1.55199430e+02	2023-01-26T12:38:40.762029	2.35317100e-04	-2.78292600e-09	-8.45574406e+04	-9.99407900e-02	-3.88862800e-10	2.57007844e+08	-3.19741100e-01	-1.24617900e-08	2.56577185e+07
1.55963585e+02	2023-01-26T12:38:41.526078	2.60422300e-04	-1.34775700e-08	-1.93226450e+04	-9.98933000e-02	3.70153000e-10	-2.69870297e+08	-2.99726900e-01	-1.08795200e-08	2.75496437e+07
1.56885544e+02	2023-01-26T12:38:42.448163	1.18181000e-04	-1.25038400e-08	-9.45157648e+03	-9.99414700e-02	7.33877400e-10	-1.36182787e+08	-2.79748000e-01	-5.21180700e-09	5.36758172e+07
1.57807205e+02	2023-01-26T12:38:43.369849	-9.93680700e-05	-8.35067700e-09	1.18994029e+04	-9.99602300e-02	6.83862400e-10	-1.46170092e+08	-2.59814800e-01	-1.15328300e-09	2.25282780e+08
1.58744613e+02	2023-01-26T12:38:44.306908	3.02258200e-04	-1.36404900e-08	-2.21588961e+04	-9.98885800e-02	4.99247300e-10	-2.00078358e+08	-2.39675000e-01	-9.43285300e-09	2.54085376e+07
