Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

5.17328643e-01	2023-01-26T12:36:06.070101	3.94297400e-04	1.23117500e-08	3.20261051e+04	-2.99911500e-01	-7.08864000e-10	4.23087503e+08	-6.00127400e-01	1.21180500e-08	-4.95234299e+07
2.51012139e+00	2023-01-26T12:36:08.070117	4.28762400e-05	1.29983000e-08	3.29860366e+03	-2.99953300e-01	-7.14330600e-10	4.19908233e+08	-5.79759800e-01	-1.45650400e-09	3.98048890e+08
3.46349730e+00	2023-01-26T12:36:09.020124	-9.93680700e-05	-3.30370500e-09	3.00777672e+04	-2.99955400e-01	4.07995200e-10	-7.35193453e+08	-5.60110600e-01	1.52861000e-08	-3.66418249e+07
4.24538628e+00	2023-01-26T12:36:09.800131	-1.99774700e-04	5.68084900e-09	-3.51663457e+04	-2.99976400e-01	1.85975900e-10	-1.61298534e+09	-5.40132100e-01	1.23530300e-08	-4.37246651e+07
5.01130394e+00	2023-01-26T12:36:10.570136	5.12418500e-05	1.25037300e-08	4.09812512e+03	-2.99966000e-01	6.27636100e-11	-4.77929807e+09	-5.20077200e-01	7.96141200e-09	-6.53247439e+07
5.79145861e+00	2023-01-26T12:36:11.352562	2.35318900e-04	9.68848700e-09	2.42885086e+04	-2.99984800e-01	-1.00810600e-10	2.97572676e+09	-4.99934900e-01	1.40504800e-08	-3.55813396e+07
6.58834647e+00	2023-01-26T12:36:12.149613	-7.42655600e-05	1.29626300e-08	-5.72920464e+03	-2.99951400e-01	-2.74473700e-10	1.09282383e+09	-4.80130800e-01	1.13929900e-08	-4.21426509e+07
7.51020979e+00	2023-01-26T12:36:13.071672	3.45057800e-05	1.29660000e-08	2.66125096e+03	-2.99957400e-01	-6.95398800e-10	4.31345869e+08	-4.60142200e-01	7.96666300e-09	-5.77584617e+07
8.29175403e+00	2023-01-26T12:36:13.853722	2.60426200e-04	9.83360200e-09	2.64832968e+04	-2.99982800e-01	-8.86144700e-11	3.38525751e+09	-4.40149800e-01	1.52527700e-08	-2.88570404e+07
9.24638229e+00	2023-01-26T12:36:14.807783	-1.91408600e-04	3.29919500e-09	-5.80167586e+04	-2.99966000e-01	1.65368300e-10	-1.81392685e+09	-4.19762400e-01	-4.83686400e-09	8.67839989e+07
1.01823369e+01	2023-01-26T12:36:15.743843	-1.16102100e-04	-8.25587200e-09	1.40629724e+04	-2.99961700e-01	6.44754900e-10	-4.65233688e+08	-3.99760000e-01	-4.09884900e-10	9.75298187e+08
1.11039230e+01	2023-01-26T12:36:16.665901	-1.41203200e-04	-9.68865700e-10	1.45740736e+05	-2.99968100e-01	3.18008300e-10	-9.43271292e+08	-3.79676800e-01	-7.39733300e-09	5.13261739e+07
1.20415577e+01	2023-01-26T12:36:17.602961	-1.24469400e-04	-1.04686900e-08	1.18896825e+04	-2.99923900e-01	1.05236400e-10	-2.85000152e+09	-3.59995100e-01	-7.29428200e-10	4.93530549e+08
1.29947882e+01	2023-01-26T12:36:18.556022	3.52461400e-04	-1.34446700e-09	-2.62156974e+05	-2.99955400e-01	-2.05936200e-10	1.45654528e+09	-3.40050400e-01	5.93994900e-09	-5.72480336e+07
1.39322467e+01	2023-01-26T12:36:19.494082	2.26951800e-04	8.67436000e-09	2.61635210e+04	-2.99951400e-01	-1.14685700e-10	2.61542110e+09	-3.20199000e-01	9.80866700e-09	-3.26444970e+07
1.48696574e+01	2023-01-26T12:36:20.431141	-6.58985700e-05	1.33195900e-08	-4.94749238e+03	-2.99936600e-01	-5.69679700e-10	5.26500418e+08	-3.00163800e-01	8.78493200e-09	-3.41680277e+07
1.57917754e+01	2023-01-26T12:36:21.353201	2.35320700e-04	1.03675900e-08	2.26977244e+04	-2.99984800e-01	-7.26353800e-11	4.13000937e+09	-2.80089100e-01	4.87161400e-09	-5.74941077e+07
1.65729298e+01	2023-01-26T12:36:22.134250	2.52058900e-04	7.17245300e-09	3.51426353e+04	-2.99924200e-01	-1.63044800e-10	1.83952018e+09	-2.60156400e-01	1.31940200e-08	-1.97177509e+07
1.75146546e+01	2023-01-26T12:36:23.076310	-3.24295200e-05	1.36974600e-08	-2.36755720e+03	-2.99902900e-01	-7.71084200e-10	3.88936643e+08	-2.40172000e-01	9.70172900e-09	-2.47555874e+07
