Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

5.38188646e+01	2023-01-26T12:14:15.245490	1.26546100e-04	3.14629200e-07	4.02207106e+02	-2.99882100e-01	-1.23325300e-08	2.43163487e+07	-7.99879200e-01	-2.77658300e-07	2.88080421e+06
5.47287164e+01	2023-01-26T12:14:16.155542	1.43280400e-04	1.70517300e-07	8.40268993e+02	-2.99957400e-01	-1.10180900e-08	2.72240833e+07	-7.49966900e-01	-1.51393600e-07	4.95375564e+06
5.54478827e+01	2023-01-26T12:14:16.874583	1.01439300e-04	1.02900900e-07	9.85796043e+02	-2.99961700e-01	-1.25345300e-08	2.39308295e+07	-7.00017000e-01	-1.01257200e-07	6.91325654e+06
5.61664212e+01	2023-01-26T12:14:17.593624	1.34914400e-04	4.73115800e-08	2.85161476e+03	-2.99976100e-01	-9.26546800e-09	3.23757095e+07	-6.49867600e-01	-6.68865700e-08	9.71596540e+06
5.68850406e+01	2023-01-26T12:14:18.311665	6.79768000e-05	9.67580200e-09	7.02544347e+03	-2.99940700e-01	-1.26035000e-08	2.37982068e+07	-6.00177700e-01	-2.24772900e-08	2.67015152e+07
5.79787807e+01	2023-01-26T12:14:19.405728	1.77733100e-05	-3.97962700e-08	-4.46607433e+02	-2.99934600e-01	-1.01130200e-08	2.96582623e+07	-5.50099000e-01	-9.46981400e-09	5.80897365e+07
5.89005457e+01	2023-01-26T12:14:20.326781	-7.32845000e-06	-3.88550700e-08	1.88609878e+02	-2.99970400e-01	-1.41357900e-08	2.12206322e+07	-5.00043800e-01	-6.71251300e-09	7.44942766e+07
5.98246779e+01	2023-01-26T12:14:21.251834	1.03880300e-06	-4.25432400e-08	-2.44175808e+01	-2.99938700e-01	-9.86042700e-09	3.04184291e+07	-4.49775100e-01	1.02359500e-09	-4.39407285e+08
6.05880324e+01	2023-01-26T12:14:22.014878	9.30792300e-05	-4.39655000e-08	-2.11709704e+03	-2.99963700e-01	-1.01133000e-08	2.96603186e+07	-3.99777000e-01	1.07348100e-08	-3.72411808e+07
6.18701377e+01	2023-01-26T12:14:23.296952	1.01444700e-04	-4.68880400e-08	-2.16355173e+03	-2.99970400e-01	-8.10012000e-09	3.70328341e+07	-3.49752300e-01	2.44117100e-08	-1.43272348e+07
6.26350603e+01	2023-01-26T12:14:24.061995	1.09808000e-04	-7.23187200e-08	-1.51838971e+03	-2.99943000e-01	-1.36999700e-08	2.18936976e+07	-3.00159500e-01	2.31669400e-08	-1.29563723e+07
