Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

1.11833099e+02	2023-01-26T11:59:59.367214	1.34913200e-04	2.83757800e-07	4.75451952e+02	-9.99093600e-02	-1.75503700e-11	5.69272101e+09	-8.00065100e-01	-2.95530500e-07	2.70721668e+06
1.12582965e+02	2023-01-26T12:00:00.117267	-3.24295200e-05	9.32311800e-08	-3.47839854e+02	-9.98906000e-02	-1.80637600e-09	5.52988968e+07	-7.49766200e-01	-1.23566300e-07	6.06772397e+06
1.13301872e+02	2023-01-26T12:00:00.836317	2.61408300e-05	4.08513500e-08	6.39901252e+02	-9.98926200e-02	-7.84970800e-10	1.27256479e+08	-6.99927600e-01	-4.07317400e-08	1.71838375e+07
1.14366097e+02	2023-01-26T12:00:01.900392	5.96108500e-05	1.14604200e-07	5.20145422e+02	-9.99177200e-02	-2.80628300e-11	3.56050049e+09	-6.49654100e-01	-8.20990800e-08	7.91304970e+06
1.16129928e+02	2023-01-26T12:00:03.664516	6.79781600e-05	6.00698800e-08	1.13165134e+03	-9.99274400e-02	6.67041900e-10	-1.49806841e+08	-5.99775900e-01	-4.00297000e-08	1.49832724e+07
1.16848530e+02	2023-01-26T12:00:04.382566	1.60014600e-04	9.29892500e-09	1.72078600e+04	-9.99414700e-02	-5.74982100e-11	1.73816663e+09	-5.49396400e-01	-1.11425800e-07	4.93060315e+06
1.17942757e+02	2023-01-26T12:00:05.476643	6.79761400e-05	-3.38178700e-08	-2.01006568e+03	-1.00000700e-01	-2.12241400e-10	4.71164909e+08	-4.99518500e-01	3.34863200e-08	-1.49170915e+07
1.19037829e+02	2023-01-26T12:00:06.571720	2.35320700e-04	-3.60499200e-08	-6.52763446e+03	-9.99331100e-02	1.67329000e-09	-5.97225287e+07	-4.49231400e-01	-1.18420500e-08	3.79352730e+07
1.19959535e+02	2023-01-26T12:00:07.493785	2.01853500e-04	-8.31839500e-08	-2.42659191e+03	-9.99394500e-02	-2.04938900e-11	4.87654857e+09	-3.99648300e-01	4.72682400e-08	-8.45490122e+06
1.21223695e+02	2023-01-26T12:00:08.757874	-1.56951400e-05	-2.19314200e-08	7.15646319e+02	-9.98508100e-02	-1.82231900e-09	5.47932662e+07	-3.49840700e-01	4.38126500e-08	-7.98492445e+06
1.22161181e+02	2023-01-26T12:00:09.694939	1.76748900e-04	-1.13144200e-07	-1.56215608e+03	-9.99240600e-02	2.38120700e-10	-4.19636176e+08	-2.99898200e-01	2.62191500e-08	-1.14381359e+07
1.23098548e+02	2023-01-26T12:00:10.633005	1.34913200e-04	-8.22241000e-08	-1.64079874e+03	-9.99658900e-02	-2.84992800e-10	3.50766370e+08	-2.50177600e-01	4.37009000e-08	-5.72476997e+06
1.24004912e+02	2023-01-26T12:00:11.539069	-6.58992500e-05	-1.21288300e-07	5.43327345e+02	-9.99157000e-02	-1.03518400e-09	9.65197491e+07	-1.99811800e-01	6.97202400e-08	-2.86590809e+06
1.24926845e+02	2023-01-26T12:00:12.461134	-3.24295200e-05	-1.32481600e-07	2.44785087e+02	-9.99227100e-02	-3.65732300e-10	2.73212702e+08	-1.49704300e-01	1.04085800e-07	-1.43827784e+06
1.25645590e+02	2023-01-26T12:00:13.180185	-3.24295200e-05	-1.68429600e-07	1.92540504e+02	-9.99170500e-02	-9.51088400e-10	1.05055482e+08	-9.99056700e-02	1.37911500e-07	-7.24418703e+05
1.26367513e+02	2023-01-26T12:00:13.902235	-7.32794300e-06	-1.80473100e-07	4.06040734e+01	-9.99227100e-02	-1.60661500e-09	6.21945581e+07	-5.01180900e-02	9.30752400e-08	-5.38468555e+05
1.27083782e+02	2023-01-26T12:00:14.618286	5.96083700e-05	-1.87574500e-07	-3.17785040e+02	-9.98829100e-02	-1.77649700e-09	5.62246432e+07	2.54355700e-04	1.08919100e-07	2.33527178e+03
1.27803308e+02	2023-01-26T12:00:15.337337	8.47088300e-05	-2.52594900e-07	-3.35354475e+02	-9.99491700e-02	-9.91826800e-10	1.00772806e+08	5.00409900e-02	1.05132500e-07	4.75980215e+05
1.28520577e+02	2023-01-26T12:00:16.054386	1.01443800e-04	-1.58682200e-07	-6.39289095e+02	-9.99344600e-02	-3.51008100e-10	2.84706991e+08	1.00013000e-01	7.17345000e-08	1.39421060e+06
