Time elapsed	Time stamp	source Voltage	source Current	source Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gatee Voltage	trans_gatee Current	trans_gatee Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

8.82172135e-01	2023-02-13T18:10:15.132609	7.19893000e-05	1.02733400e-06	7.00739000e+01	-2.99968000e-01	-7.60748400e-11	3.94306449e+09	-5.99918600e-01	-2.06410800e-08	2.90643028e+07
3.20018200e+00	2023-02-13T18:10:17.449646	6.54631300e-05	-4.64329900e-09	-1.40984093e+04	-2.99967700e-01	-7.31229600e-11	4.10223684e+09	-5.72008600e-01	9.04076000e-10	-6.32699685e+08
4.90293543e+00	2023-02-13T18:10:19.154868	5.97737600e-05	-2.78641500e-08	-2.14518512e+03	-2.99967200e-01	-7.60285400e-11	3.94545522e+09	-5.37573100e-01	9.49055600e-10	-5.66429512e+08
6.34054843e+00	2023-02-13T18:10:20.594870	6.17817900e-05	-3.42347900e-08	-1.80464931e+03	-2.99967800e-01	-1.02372300e-10	2.93016568e+09	-4.50314600e-01	1.35653000e-09	-3.31960664e+08
7.77793786e+00	2023-02-13T18:10:22.024870	6.24511600e-05	-3.46129000e-08	-1.80427413e+03	-2.99967400e-01	-1.07300500e-10	2.79558250e+09	-4.29215400e-01	1.10494400e-09	-3.88449912e+08
9.22094256e+00	2023-02-13T18:10:23.475378	6.08615000e-05	-3.00677300e-08	-2.02414682e+03	-2.99967400e-01	-5.03954300e-11	5.95227385e+09	-3.83715400e-01	1.09947800e-09	-3.48997797e+08
1.06529642e+01	2023-02-13T18:10:24.907458	6.24511600e-05	-2.07420900e-08	-3.01084221e+03	-2.99968200e-01	-1.06118900e-10	2.82671796e+09	-3.30813900e-01	1.19556300e-09	-2.76701353e+08
1.27157801e+01	2023-02-13T18:10:26.970575	5.74310200e-05	-2.50675000e-08	-2.29105495e+03	-2.99967500e-01	-1.00370800e-10	2.98859330e+09	-2.86208900e-01	1.79838800e-09	-1.59147470e+08
1.41593466e+01	2023-02-13T18:10:28.413656	4.73907600e-05	-9.54668400e-09	-4.96410691e+03	-2.99967900e-01	-1.32580400e-10	2.26253579e+09	-2.39092100e-01	1.97752400e-09	-1.20904778e+08
1.55985263e+01	2023-02-13T18:10:29.852739	6.08615300e-05	-2.62856200e-08	-2.31539260e+03	-2.99967600e-01	-1.06631900e-10	2.81311315e+09	-1.89998400e-01	2.35681900e-09	-8.06164580e+07
1.70285262e+01	2023-02-13T18:10:31.282819	6.22838700e-05	-3.18990300e-08	-1.95253179e+03	-2.99968200e-01	-8.75836200e-11	3.42493494e+09	-1.48565600e-01	2.17116700e-09	-6.84266111e+07
1.90964154e+01	2023-02-13T18:10:33.350936	6.37062400e-05	-3.05887100e-08	-2.08267168e+03	-2.99967600e-01	-1.08932000e-10	2.75371424e+09	-9.37118500e-02	2.01714800e-09	-4.64575976e+07
2.11623299e+01	2023-02-13T18:10:35.417053	6.27858800e-05	-3.16517700e-08	-1.98364515e+03	-2.99968100e-01	-1.01047700e-10	2.96857920e+09	-4.38373600e-02	1.70624200e-09	-2.56923461e+07
2.32234667e+01	2023-02-13T18:10:37.478170	5.84351700e-05	-4.95296600e-08	-1.17980156e+03	-2.99967900e-01	-1.13435400e-10	2.64439408e+09	-8.96273300e-04	2.69777600e-09	-3.32226730e+05
2.46536192e+01	2023-02-13T18:10:38.908251	6.16981800e-05	-3.40101400e-08	-1.81411132e+03	-2.99967500e-01	-8.10576200e-11	3.70066997e+09	3.76065900e-02	3.55657700e-09	1.05738158e+07
2.67158364e+01	2023-02-13T18:10:40.970367	6.20329400e-05	-3.89379000e-08	-1.59312495e+03	-2.99967800e-01	-1.40388900e-10	2.13669172e+09	7.01558300e-02	4.96439100e-09	1.41318099e+07
2.81539525e+01	2023-02-13T18:10:42.408449	6.08615600e-05	-4.49888300e-08	-1.35281491e+03	-2.99968100e-01	-2.62911500e-10	1.14094705e+09	9.79899700e-02	6.44918500e-09	1.51941633e+07
2.95917246e+01	2023-02-13T18:10:43.846530	5.98575700e-05	-4.24598500e-08	-1.40974521e+03	-2.99968000e-01	-2.85302500e-10	1.05140334e+09	1.43309400e-01	6.62039800e-09	2.16466442e+07
3.10323567e+01	2023-02-13T18:10:45.286613	6.67182500e-05	-4.46349700e-08	-1.49475288e+03	-2.99968800e-01	-4.52413800e-10	6.63040783e+08	3.00075900e-01	5.27576600e-08	5.68781671e+06
