Time elapsed	Time stamp	source Voltage	source Current	source Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gatee Voltage	trans_gatee Current	trans_gatee Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

3.01405102e+02	2023-02-13T18:55:07.814869	4.70559500e-05	-2.46406200e-05	-1.90969018e+00	3.00079000e-01	4.07113700e-08	7.37088926e+06	-9.99953300e-01	-8.63543000e-07	1.15796585e+06
3.02796674e+02	2023-02-13T18:55:09.205966	6.78895300e-05	5.14197800e-07	1.32029989e+02	3.00074700e-01	4.93835200e-08	6.07641375e+06	-9.49912400e-01	-6.35966100e-07	1.49365257e+06
3.04404933e+02	2023-02-13T18:55:10.814077	7.09851200e-05	3.46630800e-07	2.04785957e+02	3.00074200e-01	5.53588600e-08	5.42052708e+06	-8.99909700e-01	-4.68245400e-07	1.92187622e+06
3.05781589e+02	2023-02-13T18:55:12.191173	6.87261300e-05	2.01109700e-07	3.41734536e+02	3.00075200e-01	4.90798800e-08	6.11401658e+06	-8.49919800e-01	-2.94430500e-07	2.88665678e+06
3.06936756e+02	2023-02-13T18:55:13.346254	6.73875200e-05	9.12381100e-08	7.38589609e+02	3.00078200e-01	2.88549400e-08	1.03995434e+07	-7.99917800e-01	-1.19464900e-07	6.69583953e+06
3.08360978e+02	2023-02-13T18:55:14.770353	6.73875300e-05	6.98728400e-09	9.64430958e+03	3.00074200e-01	1.26029200e-11	2.38098948e+10	-7.46078900e-01	-7.89197600e-10	9.45363873e+08
3.10060736e+02	2023-02-13T18:55:16.470471	6.60488000e-05	-6.39338200e-08	-1.03308077e+03	3.00073400e-01	1.31832200e-11	2.27617684e+10	-6.99932600e-01	4.28484300e-08	-1.63350816e+07
3.11734602e+02	2023-02-13T18:55:18.143588	6.49611700e-05	-1.23335400e-07	-5.26703363e+02	3.00073800e-01	1.27543300e-11	2.35272100e+10	-6.49908700e-01	8.27087800e-08	-7.85779575e+06
3.12889326e+02	2023-02-13T18:55:19.298667	6.46265100e-05	-1.62310000e-07	-3.98167149e+02	3.00073400e-01	1.35826800e-11	2.20923559e+10	-5.99916400e-01	1.08136300e-07	-5.54777998e+06
3.14050424e+02	2023-02-13T18:55:20.459749	6.32041400e-05	-2.23130700e-07	-2.83260618e+02	3.00073600e-01	2.82369200e-11	1.06269947e+10	-5.49920300e-01	1.36746700e-07	-4.02145207e+06
3.15207455e+02	2023-02-13T18:55:21.616829	6.27858700e-05	-2.70544100e-07	-2.32072590e+02	3.00073900e-01	1.56291600e-13	1.91996179e+12	-4.99926200e-01	1.70254200e-07	-2.93635164e+06
3.16373765e+02	2023-02-13T18:55:22.782894	6.12798000e-05	-3.03796600e-07	-2.01713252e+02	3.00073800e-01	-1.41978200e-09	-2.11352024e+08	-4.49941500e-01	1.93703700e-07	-2.32283379e+06
3.17530125e+02	2023-02-13T18:55:23.939974	6.05267300e-05	-3.54815400e-07	-1.70586536e+02	3.00072800e-01	-2.06256900e-09	-1.45484975e+08	-3.99910000e-01	1.66684900e-07	-2.39919753e+06
3.18686147e+02	2023-02-13T18:55:25.096055	6.23674700e-05	-2.41364900e-07	-2.58394945e+02	3.00073700e-01	-5.50215800e-10	-5.45374560e+08	-3.49912800e-01	1.58351200e-07	-2.20972623e+06
3.19842415e+02	2023-02-13T18:55:26.252136	6.33714600e-05	-2.34150400e-07	-2.70644253e+02	3.00073700e-01	-3.61474500e-10	-8.30137949e+08	-2.99924800e-01	1.38613200e-07	-2.16375352e+06
3.20998625e+02	2023-02-13T18:55:27.408216	6.41244900e-05	-2.05219300e-07	-3.12468126e+02	3.00074400e-01	-3.28604600e-10	-9.13177722e+08	-2.49930300e-01	1.21531200e-07	-2.05651141e+06
3.22155029e+02	2023-02-13T18:55:28.564296	6.36224800e-05	-2.86160300e-07	-2.22331609e+02	3.00073700e-01	-3.56516800e-10	-8.41681795e+08	-1.99931400e-01	1.23869100e-07	-1.61405387e+06
3.23327423e+02	2023-02-13T18:55:29.737378	6.33714500e-05	-1.91060700e-07	-3.31682287e+02	3.00072700e-01	-5.59033600e-10	-5.36770420e+08	-1.49937900e-01	1.18943600e-07	-1.26057980e+06
3.24483143e+02	2023-02-13T18:55:30.892459	6.43754800e-05	-1.82439400e-07	-3.52859525e+02	3.00073500e-01	-5.10983900e-10	-5.87246487e+08	-9.99401700e-02	1.13681800e-07	-8.79121988e+05
