Time elapsed	Time stamp	source Voltage	source Current	source Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gatee Voltage	trans_gatee Current	trans_gatee Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

1.18171560e+02	2023-02-13T20:46:37.795908	6.83077900e-05	8.74503900e-08	7.81103320e+02	-9.99447900e-02	-1.01171900e-08	9.87871039e+06	-5.99919300e-01	-5.52848700e-08	1.08514192e+07
1.19593993e+02	2023-02-13T20:46:39.217998	7.81807900e-05	-2.98882300e-08	-2.61577183e+03	-9.99509100e-02	-9.67036200e-09	1.03357982e+07	-5.49922000e-01	-7.98997400e-09	6.88265068e+07
1.21296128e+02	2023-02-13T20:46:40.920105	5.88532900e-05	-1.87479300e-08	-3.13918870e+03	-9.99397900e-02	-8.60160600e-09	1.16187361e+07	-4.99925200e-01	1.12998800e-09	-4.42416380e+08
1.23603571e+02	2023-02-13T20:46:43.227251	5.88532900e-05	-1.39900400e-08	-4.20679927e+03	-9.99435600e-02	-4.94260200e-09	2.02208391e+07	-4.49939200e-01	1.91856800e-09	-2.34518245e+08
1.25890042e+02	2023-02-13T20:46:45.514395	6.06940100e-05	-1.19339000e-08	-5.08584872e+03	-9.99445500e-02	-8.29467800e-09	1.20492381e+07	-3.99908800e-01	3.38465500e-09	-1.18153490e+08
1.28188976e+02	2023-02-13T20:46:47.813541	5.72635900e-05	4.99300000e-07	1.14687743e+02	-9.99445600e-02	-8.09227000e-09	1.23506210e+07	-3.49916100e-01	1.00217400e-08	-3.49157033e+07
1.29879500e+02	2023-02-13T20:46:49.503647	7.25749900e-05	2.23324200e-07	3.24975932e+02	-9.99447100e-02	-6.83352800e-09	1.46256385e+07	-2.99925700e-01	1.28277300e-08	-2.33810425e+07
1.31311832e+02	2023-02-13T20:46:50.935737	3.69320600e-05	1.95828600e-07	1.88593801e+02	-9.99461400e-02	-7.19933700e-09	1.38826867e+07	-2.49933200e-01	1.46736400e-08	-1.70328017e+07
1.32733772e+02	2023-02-13T20:46:52.357827	6.86425400e-05	9.12266700e-08	7.52439391e+02	-9.99357400e-02	-2.37253300e-09	4.21219599e+07	-1.99937600e-01	1.85943200e-08	-1.07526169e+07
1.34171272e+02	2023-02-13T20:46:53.795917	6.23673700e-05	8.96426800e-08	6.95732992e+02	-9.99337300e-02	-7.59401500e-09	1.31595381e+07	-1.49943800e-01	2.32243600e-08	-6.45631570e+06
1.35593095e+02	2023-02-13T20:46:55.217007	6.30367200e-05	4.46598500e-08	1.41148526e+03	-9.99454700e-02	-3.06700100e-09	3.25873614e+07	-9.99466800e-02	2.72887400e-08	-3.66256119e+06
1.37030750e+02	2023-02-13T20:46:56.655098	4.84783700e-05	-1.99653500e-08	-2.42812523e+03	-9.99442100e-02	-7.50433600e-09	1.33181950e+07	-4.99320300e-02	1.95218300e-08	-2.55775355e+06
1.39358980e+02	2023-02-13T20:46:58.983245	6.61325000e-05	-5.13432800e-08	-1.28804587e+03	-9.99451700e-02	-7.87095200e-09	1.26979773e+07	5.43660400e-05	3.30296500e-08	1.64597687e+03
1.41155979e+02	2023-02-13T20:47:00.780358	6.42917900e-05	-1.30867900e-07	-4.91272421e+02	-9.99446800e-02	-8.59820700e-09	1.16238979e+07	5.00525200e-02	5.38037700e-08	9.30279049e+05
1.42311618e+02	2023-02-13T20:47:01.935431	6.52958400e-05	-1.16469700e-07	-5.60625124e+02	-9.99441800e-02	-1.10825300e-08	9.01817365e+06	1.00053400e-01	7.57546900e-08	1.32075519e+06
1.43483499e+02	2023-02-13T20:47:03.107505	6.50448000e-05	-1.04059600e-07	-6.25072555e+02	-9.99443400e-02	-1.42516600e-08	7.01282096e+06	1.50052200e-01	8.16524700e-08	1.83769334e+06
1.44640211e+02	2023-02-13T20:47:04.264578	6.43754400e-05	-1.05306100e-07	-6.11317293e+02	-9.99438600e-02	-1.73705900e-08	5.75362495e+06	2.00045500e-01	8.47849300e-08	2.35944643e+06
1.45796641e+02	2023-02-13T20:47:05.420652	6.57141600e-05	-1.15620300e-07	-5.68361784e+02	-9.99445500e-02	-2.23843600e-08	4.46492774e+06	2.50077100e-01	1.02406600e-07	2.44200179e+06
1.46973981e+02	2023-02-13T20:47:06.598726	6.48774900e-05	-1.40646200e-07	-4.61281499e+02	-9.99441100e-02	-2.67226300e-08	3.74005515e+06	3.00075900e-01	1.38712200e-07	2.16329854e+06
