Time elapsed	Time stamp	source Voltage	source Current	source Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gatee Voltage	trans_gatee Current	trans_gatee Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

1.22175874e+02	2023-02-13T20:35:17.073246	6.83077800e-05	5.62241300e-08	1.21491929e+03	-9.99436400e-02	1.45499900e-11	-6.86898342e+09	-5.99918300e-01	-4.49692500e-08	1.33406339e+07
1.23644351e+02	2023-02-13T20:35:18.542348	6.45426600e-05	-6.09245100e-09	-1.05938743e+04	-9.99432400e-02	9.10032800e-12	-1.09823778e+10	-5.49924400e-01	-9.03357400e-09	6.08756180e+07
1.25347176e+02	2023-02-13T20:35:20.244467	6.10286600e-05	-1.57004400e-08	-3.88706686e+03	-9.99431800e-02	4.05858700e-12	-2.46251171e+10	-4.99926400e-01	2.10053900e-09	-2.37999104e+08
1.27195096e+02	2023-02-13T20:35:22.092595	6.06940100e-05	-1.66024300e-08	-3.65573052e+03	-9.99441900e-02	5.46306000e-12	-1.82945437e+10	-4.49942100e-01	4.91449400e-09	-9.15541051e+07
1.29254752e+02	2023-02-13T20:35:24.152739	6.01919700e-05	-1.53149800e-08	-3.93026762e+03	-9.99445000e-02	4.31930500e-12	-2.31390235e+10	-3.99912400e-01	6.17893600e-09	-6.47218874e+07
1.31315902e+02	2023-02-13T20:35:26.213882	6.07776500e-05	-1.50358800e-08	-4.04217445e+03	-9.99437800e-02	8.72191200e-12	-1.14589301e+10	-3.49916100e-01	6.88844000e-09	-5.07975826e+07
1.33383350e+02	2023-02-13T20:35:28.281026	6.17816800e-05	-1.53710100e-08	-4.01936372e+03	-9.99441700e-02	8.51162500e-12	-1.17420786e+10	-2.99927200e-01	7.61062900e-09	-3.94089897e+07
1.35440853e+02	2023-02-13T20:35:30.338169	6.20326500e-05	-1.60656000e-08	-3.86120967e+03	-9.99433400e-02	4.39918200e-12	-2.27186191e+10	-2.49933000e-01	8.54599300e-09	-2.92456359e+07
1.37503487e+02	2023-02-13T20:35:32.401313	6.07776900e-05	-1.80455200e-08	-3.36802098e+03	-9.99438600e-02	3.23861400e-12	-3.08600716e+10	-1.99935300e-01	9.63959500e-09	-2.07410477e+07
1.39571766e+02	2023-02-13T20:35:34.469499	6.27020300e-05	-1.99906200e-08	-3.13657255e+03	-9.99431700e-02	3.67173600e-12	-2.72195959e+10	-1.49940800e-01	1.15819900e-08	-1.29460309e+07
1.41632862e+02	2023-02-13T20:35:36.530642	6.09450400e-05	-2.34190500e-08	-2.60237029e+03	-9.99443400e-02	3.74744000e-12	-2.66700307e+10	-9.99404200e-02	1.35630500e-08	-7.36858008e+06
1.43691035e+02	2023-02-13T20:35:38.588785	6.24510900e-05	-2.76950500e-08	-2.25495495e+03	-9.99442900e-02	9.83203100e-12	-1.01651724e+10	-4.99405700e-02	1.49792300e-08	-3.33398780e+06
1.45753520e+02	2023-02-13T20:35:40.651928	6.53794600e-05	-4.18898300e-08	-1.56074780e+03	-9.99438200e-02	8.80598600e-12	-1.13495320e+10	5.61228900e-05	1.61505700e-08	3.47497890e+03
1.47695236e+02	2023-02-13T20:35:42.593064	6.56304600e-05	-2.64988300e-08	-2.47673048e+03	-9.99452400e-02	5.92561400e-12	-1.68666471e+10	5.00542900e-02	1.46625000e-08	3.41376232e+06
1.49754028e+02	2023-02-13T20:35:44.652207	6.20327700e-05	-3.53123400e-08	-1.75668817e+03	-9.99433700e-02	2.94849600e-12	-3.38963899e+10	1.00056200e-01	1.89800000e-08	5.27166491e+06
1.51190842e+02	2023-02-13T20:35:46.089306	6.09451100e-05	-3.66809200e-08	-1.66149350e+03	-9.99444000e-02	-1.12189100e-12	8.90856598e+10	1.50053100e-01	2.46349400e-08	6.09106821e+06
1.52629472e+02	2023-02-13T20:35:47.527407	5.93553900e-05	-4.47354000e-08	-1.32681031e+03	-9.99439200e-02	-6.36129000e-12	1.57112661e+10	2.00047700e-01	3.33533800e-08	5.99782391e+06
1.54065905e+02	2023-02-13T20:35:48.963507	6.55467300e-05	-5.10175600e-08	-1.28478763e+03	-9.99437600e-02	-2.11206900e-11	4.73203101e+09	2.50077200e-01	4.48766400e-08	5.57254732e+06
1.55477683e+02	2023-02-13T20:35:50.375605	6.60487800e-05	-7.36121400e-08	-8.97253904e+02	-9.99447200e-02	-3.67294800e-11	2.72110359e+09	3.00075100e-01	6.26080900e-08	4.79291255e+06
