Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

1.41755750e+02	2023-02-22T18:58:51.304586	8.47104100e-05	4.04735500e-05	2.09298196e+00	-2.99959700e-01	-2.51578800e-05	1.19230913e+04	1	-7.99932400e-01	-2.80005400e-06	2.85684633e+05
1.42693348e+02	2023-02-22T18:58:52.242645	9.30775400e-05	2.61585300e-05	3.55820988e+00	-2.99957700e-01	-2.46071900e-05	1.21898396e+04	1	-7.49913300e-01	-1.62463000e-06	4.61590208e+05
1.43376852e+02	2023-02-22T18:58:52.925688	1.01445600e-04	2.41364500e-05	4.20300417e+00	-2.99966000e-01	-2.39020900e-05	1.25497812e+04	1	-6.99951200e-01	-7.95472900e-07	8.79918348e+05
1.44038007e+02	2023-02-22T18:58:53.586730	8.47127700e-05	2.30938700e-05	3.66819290e+00	-2.99957400e-01	-3.71906000e-05	8.06540900e+03	1	-6.49925700e-01	-4.26218400e-07	1.52486542e+06
1.44705298e+02	2023-02-22T18:58:54.254771	1.03857700e-06	2.70684500e-05	3.83685435e-02	-2.99943000e-01	-3.33505400e-05	8.99364748e+03	1	-5.99876200e-01	-2.74975200e-08	2.18156474e+07
1.45705158e+02	2023-02-22T18:58:55.253833	6.79747800e-05	2.86712200e-05	2.37083668e+00	-2.99982800e-01	-3.00573600e-05	9.98034425e+03	1	-5.49898300e-01	3.62017800e-07	-1.51898139e+06
1.46517767e+02	2023-02-22T18:58:56.066885	1.01443800e-04	2.79550000e-05	3.62882490e+00	-2.99949000e-01	-3.15007700e-05	9.52195772e+03	1	-4.99896500e-01	9.05737500e-07	-5.51922052e+05
1.47173775e+02	2023-02-22T18:58:56.722926	8.47096200e-05	2.73477100e-05	3.09750323e+00	-2.99957400e-01	-3.20720300e-05	9.35261659e+03	1	-4.49944000e-01	1.41058000e-06	-3.18978009e+05
1.47845574e+02	2023-02-22T18:58:57.394968	7.63432700e-05	2.54701400e-05	2.99736358e+00	-2.99934600e-01	-3.28705700e-05	9.12471551e+03	1	-3.99924900e-01	1.88526600e-06	-2.12131816e+05
1.48502181e+02	2023-02-22T18:58:58.051010	1.01446500e-04	2.55619200e-05	3.96865728e+00	-2.99963700e-01	-3.00088100e-05	9.99585455e+03	1	-3.49921900e-01	1.96507000e-06	-1.78070959e+05
1.49158438e+02	2023-02-22T18:58:58.708050	5.12401700e-05	2.44291700e-05	2.09749942e+00	-2.99961700e-01	-2.78610200e-05	1.07663574e+04	1	-2.99927400e-01	1.86844700e-06	-1.60522295e+05
1.49814195e+02	2023-02-22T18:58:59.363093	5.12424200e-05	2.05288400e-05	2.49611863e+00	-2.99953300e-01	-2.34136700e-05	1.28110330e+04	1	-2.49903200e-01	1.97622400e-06	-1.26454896e+05
1.50491578e+02	2023-02-22T18:59:00.041135	1.01444700e-04	1.66189600e-05	6.10415453e+00	-2.99966000e-01	-1.87659100e-05	1.59846232e+04	1	-1.99903800e-01	1.87404900e-06	-1.06669463e+05
1.51149429e+02	2023-02-22T18:59:00.698176	9.30792300e-05	1.32825900e-05	7.00761147e+00	-2.99970400e-01	-1.51640500e-05	1.97816810e+04	1	-1.49911400e-01	1.72149500e-06	-8.70821002e+04
1.51805432e+02	2023-02-22T18:59:01.354217	5.96077600e-05	9.64257700e-06	6.18172507e+00	-2.99940900e-01	-1.13569600e-05	2.64103158e+04	1	-9.99488500e-02	1.71990400e-06	-5.81130400e+04
1.52455255e+02	2023-02-22T18:59:02.004258	7.63440100e-05	6.06350200e-06	1.25907454e+01	-2.99932300e-01	-7.84234100e-06	3.82452510e+04	1	-4.99605200e-02	1.39484200e-06	-3.58180496e+04
1.53111789e+02	2023-02-22T18:59:02.661299	9.30792300e-05	2.85229000e-06	3.26331579e+01	-2.99943000e-01	-4.47704400e-06	6.69957677e+04	1	5.36037800e-05	1.40890400e-06	3.80464389e+01
1.53908224e+02	2023-02-22T18:59:03.457349	7.63432700e-05	3.23701700e-07	2.35844514e+02	-2.99951600e-01	-1.90251800e-06	1.57660322e+05	1	5.00931700e-02	1.56377700e-06	3.20334485e+04
1.54892590e+02	2023-02-22T18:59:04.441410	5.96083700e-05	-1.53872000e-06	-3.87389324e+01	-2.99913300e-01	-1.20328300e-06	2.49245855e+05	1	1.00141800e-01	1.61511500e-06	6.20028914e+04
