Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

3.75110099e+02	2023-02-22T19:02:44.661194	5.96077600e-05	1.15248100e-06	5.17212518e+01	1.00138700e-01	1.23599200e-05	8.10188901e+03	3	-7.99882100e-01	-1.34643900e-05	5.94072290e+04
3.75251178e+02	2023-02-22T19:02:44.802202	5.12407300e-05	1.05072800e-06	4.87668835e+01	1.00096200e-01	7.98412200e-06	1.25369076e+04	3	-7.49906800e-01	-9.11997500e-06	8.22268482e+04
3.75767477e+02	2023-02-22T19:02:45.318234	7.63425300e-05	1.03932300e-06	7.34540946e+01	1.00095500e-01	4.83986900e-06	2.06814482e+04	3	-6.99913000e-01	-6.12330500e-06	1.14303142e+05
3.76283231e+02	2023-02-22T19:02:45.834268	5.12412900e-05	9.16359400e-07	5.59183329e+01	1.00131700e-01	3.00725000e-06	3.32967661e+04	3	-6.49913000e-01	-3.63714500e-06	1.78687679e+05
3.77095610e+02	2023-02-22T19:02:46.646318	5.96065100e-05	5.80972800e-07	1.02597764e+02	1.00096200e-01	1.15431100e-06	8.67151054e+04	3	-5.99888600e-01	-2.05017200e-06	2.92604035e+05
3.77752036e+02	2023-02-22T19:02:47.302360	9.30767000e-05	4.04693800e-07	2.29992898e+02	1.00122700e-01	6.35477400e-07	1.57555092e+05	3	-5.49893600e-01	-1.24156400e-06	4.42903950e+05
3.78579629e+02	2023-02-22T19:02:48.130412	8.47104100e-05	2.95550900e-07	2.86618684e+02	1.00113600e-01	1.55453300e-07	6.44010774e+05	3	-4.99888200e-01	-6.89330600e-07	7.25179181e+05
3.79428897e+02	2023-02-22T19:02:48.979464	9.30800700e-05	-1.88538300e-07	-4.93693165e+02	1.00103900e-01	-2.78156400e-07	-3.59883504e+05	3	-4.49852000e-01	-2.99196700e-07	1.50353263e+06
3.80472284e+02	2023-02-22T19:02:50.022531	1.01442000e-04	-1.57537400e-07	-6.43923284e+02	1.00122700e-01	-1.71757800e-07	-5.82929567e+05	3	-4.00147500e-01	-3.58492100e-08	1.11619614e+07
3.82081723e+02	2023-02-22T19:02:51.632631	4.28732000e-05	-4.27088900e-07	-1.00384721e+02	1.00089900e-01	-2.16569000e-06	-4.62161713e+04	3	-3.49869400e-01	-2.59304200e-07	1.34926237e+06
3.83221910e+02	2023-02-22T19:02:52.772703	-3.24295200e-05	8.98270300e-07	-3.61021844e+01	1.00079500e-01	-2.38042400e-06	-4.20427201e+04	3	-2.99925600e-01	5.45464700e-07	-5.49853364e+05
3.84204510e+02	2023-02-22T19:02:53.754765	5.96083700e-05	-4.18660500e-07	-1.42378777e+02	1.00096200e-01	-3.54014300e-06	-2.82746205e+04	3	-2.49931600e-01	1.52278200e-06	-1.64128286e+05
3.85032592e+02	2023-02-22T19:02:54.582816	9.30767000e-05	-5.22305100e-07	-1.78203697e+02	1.00096900e-01	-4.58335600e-06	-2.18392156e+04	3	-1.99942900e-01	1.99297100e-06	-1.00324039e+05
3.85846212e+02	2023-02-22T19:02:55.396868	9.30758600e-05	-4.67385600e-07	-1.99141480e+02	1.00106600e-01	-3.97675200e-06	-2.51729552e+04	3	-1.49912400e-01	2.55658900e-06	-5.86376614e+04
3.86815005e+02	2023-02-22T19:02:56.365929	6.79774800e-05	-9.12858000e-07	-7.44666531e+01	1.00085800e-01	-5.52978900e-06	-1.80993886e+04	3	-9.99056700e-02	3.47941700e-06	-2.87133362e+04
3.87926032e+02	2023-02-22T19:02:57.476998	1.01442900e-04	1.46139100e-06	6.94153036e+01	1.00036300e-01	-2.20727800e-05	-4.53211150e+03	3	-4.99183500e-02	1.06804900e-05	-4.67378837e+03
3.88457827e+02	2023-02-22T19:02:58.009031	6.79774800e-05	-1.10562200e-06	-6.14834727e+01	1.00140700e-01	-3.01774400e-05	-3.31839613e+03	3	9.54188500e-05	1.72235500e-05	5.54002224e+00
3.88971835e+02	2023-02-22T19:02:58.522064	9.30783900e-05	-9.38724900e-07	-9.91540653e+01	1.00097500e-01	-3.11164200e-05	-3.21687071e+03	3	5.00593900e-02	1.77936700e-05	2.81332575e+03
3.89488311e+02	2023-02-22T19:02:59.039096	8.47096200e-05	-8.89539500e-07	-9.52286211e+01	1.00095500e-01	-2.21170800e-05	-4.52571045e+03	3	1.00079200e-01	1.40018300e-05	7.14757999e+03
