Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

1.01584217e+02	2023-02-22T18:47:11.092519	9.30783900e-05	3.63598400e-06	2.55992298e+01	-9.98849400e-02	9.49933100e-06	-1.05149447e+04	3	-7.99895300e-01	-1.30360300e-05	6.13603451e+04
1.01757825e+02	2023-02-22T18:47:11.265529	7.63469200e-05	3.18240000e-06	2.39903595e+01	-9.99331100e-02	5.99196600e-06	-1.66778500e+04	3	-7.49928400e-01	-9.27518800e-06	8.08531752e+04
1.02272032e+02	2023-02-22T18:47:11.779561	5.12424200e-05	2.71700700e-06	1.88598778e+01	-9.99233900e-02	3.98571300e-06	-2.50703927e+04	3	-6.99901500e-01	-6.74269800e-06	1.03801401e+05
1.02945878e+02	2023-02-22T18:47:12.453604	9.30758600e-05	2.41355600e-06	3.85637872e+01	-9.98933000e-02	1.84459400e-06	-5.41546270e+04	3	-6.49892300e-01	-4.43344700e-06	1.46588490e+05
1.03475361e+02	2023-02-22T18:47:12.983637	5.12429800e-05	2.05665300e-06	2.49157150e+01	-9.99324300e-02	6.73248000e-07	-1.48433311e+05	3	-5.99968900e-01	-2.67737200e-06	2.24088733e+05
1.04454141e+02	2023-02-22T18:47:13.961699	9.30775400e-05	1.99021700e-06	4.67675334e+01	-9.99414700e-02	-6.36040500e-07	1.57130670e+05	3	-5.49943000e-01	-1.48204900e-06	3.71069378e+05
1.05116203e+02	2023-02-22T18:47:14.623741	7.63425300e-05	1.72727200e-06	4.41983255e+01	-9.99471400e-02	-1.26864600e-06	7.87825288e+04	3	-4.99966800e-01	-7.17172200e-07	6.97136336e+05
1.05788101e+02	2023-02-22T18:47:15.295787	5.96071300e-05	1.63264900e-06	3.65094579e+01	-9.99645400e-02	-1.83184200e-06	5.45705034e+04	3	-4.50027600e-01	-4.56846700e-07	9.85073549e+05
1.06460846e+02	2023-02-22T18:47:15.968834	2.10222400e-04	3.45710000e-06	6.08088861e+01	-9.98019600e-02	-6.38576900e-07	1.56288084e+05	3	-3.99946700e-01	-2.35483900e-07	1.69840359e+06
1.07475705e+02	2023-02-22T18:47:16.983904	1.18176900e-04	2.99686100e-06	3.94335606e+01	-9.99046400e-02	-3.69552400e-06	2.70339578e+04	3	-3.49822600e-01	1.95221700e-07	-1.79192477e+06
1.08288254e+02	2023-02-22T18:47:17.795960	1.01443800e-04	2.47998900e-06	4.09049395e+01	-9.99227100e-02	-2.71893300e-06	3.67507070e+04	3	-2.99940000e-01	3.54022900e-07	-8.47233329e+05
1.09428708e+02	2023-02-22T18:47:18.937039	5.12424200e-05	1.87545200e-06	2.73227041e+01	-9.99317600e-02	-3.36483200e-06	2.96988854e+04	3	-2.49914900e-01	6.77237300e-07	-3.69021169e+05
1.10417384e+02	2023-02-22T18:47:19.925108	5.12424200e-05	9.40668900e-07	5.44744490e+01	-9.99324300e-02	-4.52810900e-06	2.20693517e+04	3	-1.99862000e-01	1.54755300e-06	-1.29147112e+05
1.11070473e+02	2023-02-22T18:47:20.578152	7.63425300e-05	6.84166500e-07	1.11584724e+02	-9.99324300e-02	-4.34846700e-06	2.29810713e+04	3	-1.49952200e-01	1.67167600e-06	-8.97017125e+04
1.11726882e+02	2023-02-22T18:47:21.235198	1.01445600e-04	5.80914900e-07	1.74630742e+02	-9.98982900e-02	-4.29863700e-06	2.32395269e+04	3	-9.99622000e-02	1.60371200e-06	-6.23317653e+04
1.12382061e+02	2023-02-22T18:47:21.890244	1.01447400e-04	5.73531600e-07	1.76881971e+02	-9.99568600e-02	-3.09320300e-06	3.23150016e+04	3	-4.99437900e-02	1.45117700e-06	-3.44160568e+04
1.13039468e+02	2023-02-22T18:47:22.547290	8.47096200e-05	3.05474000e-07	2.77305499e+02	-9.99421500e-02	-2.12134600e-06	4.71126115e+04	3	-7.18672500e-05	1.44631200e-06	-4.96900046e+01
1.13866154e+02	2023-02-22T18:47:23.374347	2.10215800e-04	3.25237100e-07	6.46346312e+02	-9.99435000e-02	-1.76495800e-06	5.66265600e+04	3	5.00841500e-02	1.34225700e-06	3.73133834e+04
1.14539849e+02	2023-02-22T18:47:24.048393	3.45080300e-05	-4.68962400e-07	-7.35837884e+01	-9.99331100e-02	-1.43050900e-06	6.98584280e+04	3	1.00120400e-01	1.30303200e-06	7.68364860e+04
