Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

7.38272834e+02	2023-02-23T16:39:25.816952	9.30783900e-05	1.72263400e-06	5.40325978e+01	1.00102600e-01	1.65279800e-06	6.05655380e+04	3	-1.49991500e+00	-3.30822200e-06	4.53390069e+05
7.38412840e+02	2023-02-23T16:39:25.956960	6.79768000e-05	1.23068900e-06	5.52347506e+01	1.00112300e-01	9.95155500e-07	1.00599655e+05	3	-1.44993600e+00	-1.97594900e-06	7.33792218e+05
7.39074352e+02	2023-02-23T16:39:26.618002	5.96083700e-05	7.62120400e-07	7.82138492e+01	1.00120600e-01	6.21017700e-07	1.61220204e+05	3	-1.39992900e+00	-1.45963600e-06	9.59094596e+05
7.39725725e+02	2023-02-23T16:39:27.270043	4.28716700e-05	6.52611100e-07	6.56925235e+01	1.00094900e-01	4.10648800e-07	2.43748186e+05	3	-1.34998800e+00	-1.16686700e-06	1.15693391e+06
7.40387403e+02	2023-02-23T16:39:27.931085	8.47064700e-05	5.96920500e-07	1.41905781e+02	1.00095500e-01	3.29284800e-07	3.03978501e+05	3	-1.29994700e+00	-1.00531800e-06	1.29307045e+06
7.41209960e+02	2023-02-23T16:39:28.754136	9.30767000e-05	5.09883500e-07	1.82545032e+02	1.00114300e-01	2.91849700e-07	3.43033760e+05	3	-1.24992800e+00	-9.19358600e-07	1.35956524e+06
7.41921898e+02	2023-02-23T16:39:29.466181	1.01443800e-04	4.62614100e-07	2.19283848e+02	1.00103200e-01	2.78775000e-07	3.59082414e+05	3	-1.19997500e+00	-8.20975600e-07	1.46164515e+06
7.42606609e+02	2023-02-23T16:39:30.151224	1.26548200e-04	4.27630700e-07	2.95928707e+02	1.00120000e-01	2.72651600e-07	3.67208555e+05	3	-1.14998000e+00	-7.26561900e-07	1.58276948e+06
7.43464594e+02	2023-02-23T16:39:31.008278	5.12424200e-05	2.78349600e-07	1.84093744e+02	1.00096900e-01	2.28386200e-07	4.38279108e+05	3	-1.09993400e+00	-5.89994100e-07	1.86431356e+06
7.44167617e+02	2023-02-23T16:39:31.711321	9.40588100e-06	1.75799000e-07	5.35036092e+01	1.00103200e-01	1.78034400e-07	5.62268865e+05	3	-1.04998200e+00	-4.47296000e-07	2.34739859e+06
7.44870625e+02	2023-02-23T16:39:32.414366	1.77726200e-05	1.09281500e-07	1.62631552e+02	1.00096200e-01	1.23563300e-07	8.10080339e+05	3	-9.99896600e-01	-2.86477900e-07	3.49030972e+06
7.45585464e+02	2023-02-23T16:39:33.129411	1.03812600e-06	4.44692300e-08	2.33448162e+01	1.00080100e-01	7.51580500e-08	1.33159522e+06	3	-9.49880800e-01	-1.58113900e-07	6.00757302e+06
7.46304119e+02	2023-02-23T16:39:33.848455	1.85113100e-04	4.02988900e-08	4.59350369e+03	1.00076800e-01	4.44703000e-08	2.25041882e+06	3	-8.99796300e-01	-1.12306200e-07	8.01199132e+06
7.47215027e+02	2023-02-23T16:39:34.759513	-7.32811000e-06	1.05768400e-09	-6.92844933e+03	1.00114300e-01	2.63634500e-08	3.79746581e+06	3	-8.49971700e-01	-7.65731800e-08	1.11001228e+07
7.48132258e+02	2023-02-23T16:39:35.676571	4.28762400e-05	-1.09512000e-08	-3.91520929e+03	1.00103900e-01	9.35654700e-09	1.06988080e+07	3	-8.00082900e-01	-3.55234500e-08	2.25226688e+07
7.49054145e+02	2023-02-23T16:39:36.598629	1.01444700e-04	-2.31735600e-08	-4.37760534e+03	1.00106600e-01	-4.72849100e-09	-2.11709402e+07	3	-7.49896500e-01	-1.91319200e-08	3.91960922e+07
7.49975729e+02	2023-02-23T16:39:37.519686	1.51643800e-04	-3.11205200e-08	-4.87279133e+03	1.00165200e-01	-1.95341300e-08	-5.12770213e+06	3	-6.99781900e-01	-1.65786800e-09	4.22097477e+08
7.50898196e+02	2023-02-23T16:39:38.442744	2.01853500e-04	-3.33958100e-08	-6.04427621e+03	1.00080100e-01	-3.76766600e-08	-2.65628907e+06	3	-6.49704300e-01	3.07045600e-08	-2.11598636e+07
7.51663404e+02	2023-02-23T16:39:39.207792	8.47088300e-05	-3.92828300e-08	-2.15638308e+03	1.00103900e-01	-4.38255000e-08	-2.28414736e+06	3	-5.99884900e-01	2.20774300e-08	-2.71718628e+07
