Time elapsed	Time stamp	out_gate Voltage	out_gate Current	out_gate Resistance	out_drain Voltage	out_drain Current	out_drain Resistance
s		V	A	V/A	V	A	V/A

9.65171296e+01	2023-03-02T15:49:42.003587	2.00103200e-01	2.91473200e-07	6.86523495e+05	-5.99943800e-01	-2.59418900e-07	2.31264492e+06
9.71891682e+01	2023-03-02T15:49:42.675629	2.00124300e-01	2.22088700e-07	9.01100776e+05	-5.50004600e-01	-1.86706500e-07	2.94582460e+06
9.78455099e+01	2023-03-02T15:49:43.332670	2.00053300e-01	1.59298800e-07	1.25583683e+06	-4.99976700e-01	-1.49738800e-07	3.33899230e+06
9.85011109e+01	2023-03-02T15:49:43.987712	1.99986400e-01	9.82572600e-08	2.03533459e+06	-4.49933900e-01	-1.06927300e-07	4.20784870e+06
9.91581618e+01	2023-03-02T15:49:44.644754	2.00049000e-01	5.56052100e-08	3.59766648e+06	-3.99900000e-01	-6.19856900e-08	6.45148905e+06
9.98138277e+01	2023-03-02T15:49:45.300795	2.00033600e-01	4.21972800e-08	4.74043825e+06	-3.49921700e-01	-4.46611900e-08	7.83502858e+06
1.00657510e+02	2023-03-02T15:49:46.144848	2.00072700e-01	2.14214900e-08	9.33981250e+06	-2.99972100e-01	-2.17479500e-08	1.37931207e+07
1.01516883e+02	2023-03-02T15:49:47.003902	2.00119900e-01	1.05936000e-08	1.88906415e+07	-2.49988000e-01	-8.99195400e-09	2.78012988e+07
1.02220129e+02	2023-03-02T15:49:47.706946	2.00104800e-01	7.77371000e-09	2.57412227e+07	-1.99966000e-01	-4.68644200e-09	4.26690440e+07
1.02923250e+02	2023-03-02T15:49:48.409991	2.00152000e-01	4.33213900e-09	4.62016570e+07	-1.49957200e-01	-4.41671900e-09	3.39521713e+07
1.03626378e+02	2023-03-02T15:49:49.113035	2.00152000e-01	1.56263600e-09	1.28086131e+08	-9.99511900e-02	-2.60996000e-09	3.82960620e+07
1.04485844e+02	2023-03-02T15:49:49.973090	2.00139700e-01	-3.43885200e-11	-5.81995678e+09	-4.99585100e-02	-1.10791100e-09	4.50925300e+07
1.05345022e+02	2023-03-02T15:49:50.832144	2.00138300e-01	-7.53943500e-09	-2.65455303e+07	8.16474500e-05	-3.70778500e-10	-2.20205460e+05
1.06048255e+02	2023-03-02T15:49:51.535188	2.00064400e-01	-2.87687600e-08	-6.95422396e+06	5.01060000e-02	1.34446700e-09	3.72683004e+07
1.06751238e+02	2023-03-02T15:49:52.238232	1.99998800e-01	-3.09031600e-08	-6.47179123e+06	1.00148400e-01	1.46223800e-09	6.84898081e+07
1.07607067e+02	2023-03-02T15:49:53.094286	2.00060300e-01	-3.35045200e-10	-5.97114359e+08	1.00165200e-01	8.52475400e-10	1.17499226e+08
1.07751372e+02	2023-03-02T15:49:53.238295	2.00134000e-01	2.93455000e-08	6.81992128e+06	5.01056700e-02	5.71157300e-10	8.77265685e+07
1.08454527e+02	2023-03-02T15:49:53.941340	2.00021200e-01	2.56977400e-08	7.78361054e+06	7.32981400e-05	2.23406300e-10	3.28093433e+05
1.09157765e+02	2023-03-02T15:49:54.644384	2.00005800e-01	1.78060300e-08	1.12324757e+07	-4.99170200e-02	-1.69951200e-09	2.93713843e+07
1.09862445e+02	2023-03-02T15:49:55.349429	2.00019900e-01	1.56271200e-08	1.27995370e+07	-9.99742500e-02	-2.58175200e-09	3.87234134e+07
1.10720117e+02	2023-03-02T15:49:56.207483	2.00033600e-01	1.61556900e-08	1.23816191e+07	-1.49950900e-01	-3.65276200e-09	4.10513743e+07
1.11579499e+02	2023-03-02T15:49:57.066537	1.99997500e-01	1.95951100e-08	1.02065005e+07	-1.99980000e-01	-6.27806100e-09	3.18537842e+07
1.12438868e+02	2023-03-02T15:49:57.925592	2.00004500e-01	2.96222100e-08	6.75184262e+06	-2.49961300e-01	-1.35569500e-08	1.84378714e+07
1.13298274e+02	2023-03-02T15:49:58.785645	2.00076800e-01	5.12640500e-08	3.90286760e+06	-2.99999200e-01	-2.88601700e-08	1.03949214e+07
1.14501143e+02	2023-03-02T15:49:59.987722	2.00018500e-01	8.32647600e-08	2.40219872e+06	-3.49923000e-01	-4.44272700e-08	7.87631110e+06
1.15678123e+02	2023-03-02T15:50:01.164797	2.00081100e-01	7.63222900e-08	2.62152904e+06	-3.99908400e-01	-7.06743400e-08	5.65846671e+06
1.16329539e+02	2023-03-02T15:50:01.816837	2.00136700e-01	1.38056300e-07	1.44967452e+06	-4.50000800e-01	-1.07752400e-07	4.17624851e+06
1.16985694e+02	2023-03-02T15:50:02.472879	2.00142300e-01	1.86806000e-07	1.07139118e+06	-4.99961600e-01	-1.53735800e-07	3.25208312e+06
1.17649884e+02	2023-03-02T15:50:03.136921	2.00076800e-01	2.04292700e-07	9.79363433e+05	-5.49979600e-01	-1.82346300e-07	3.01612701e+06
1.18302042e+02	2023-03-02T15:50:03.788961	2.00032200e-01	2.00600800e-07	9.97165515e+05	-5.99944100e-01	-1.94544000e-07	3.08384787e+06
