Time elapsed	Time stamp	out_gate Voltage	out_gate Current	out_gate Resistance	out_drain Voltage	out_drain Current	out_drain Resistance
s		V	A	V/A	V	A	V/A

4.70001082e-01	2023-03-02T18:08:47.492244	-5.99939100e-01	-2.67666400e-08	2.24136873e+07	-5.99940100e-01	-1.04744200e-04	5.72766893e+03
1.59284996e+00	2023-03-02T18:08:48.617322	-5.99914000e-01	-4.16854300e-08	1.43914552e+07	-5.74962000e-01	-1.04794000e-04	5.48659274e+03
2.31145149e+00	2023-03-02T18:08:49.333602	-5.99906300e-01	-6.06433400e-08	9.89236905e+06	-5.49989000e-01	-1.04759700e-04	5.25000549e+03
2.81095092e+00	2023-03-02T18:08:49.835806	-5.99884900e-01	-1.24743300e-07	4.80895487e+06	-5.24956200e-01	-1.04748400e-04	5.01159159e+03
3.31096270e+00	2023-03-02T18:08:50.335810	-5.99910000e-01	-1.71551400e-07	3.49696942e+06	-4.99946600e-01	-1.04746300e-04	4.77292849e+03
3.81131035e+00	2023-03-02T18:08:50.835940	-5.99905900e-01	-2.01915200e-07	2.97107845e+06	-4.74920200e-01	-1.04678300e-04	4.53694987e+03
4.31532425e+00	2023-03-02T18:08:51.339972	-5.99909700e-01	-2.19308800e-07	2.73545658e+06	-4.49984800e-01	-1.04709200e-04	4.29747147e+03
4.79516529e+00	2023-03-02T18:08:51.820002	-5.99951300e-01	-2.26573300e-07	2.64793469e+06	-4.24914100e-01	-1.04622300e-04	4.06141043e+03
5.29873068e+00	2023-03-02T18:08:52.323033	-5.99897300e-01	-2.30427800e-07	2.60340679e+06	-3.99883300e-01	-1.04616700e-04	3.82236584e+03
5.77958445e+00	2023-03-02T18:08:52.804063	-5.99918600e-01	-2.27178600e-07	2.64073553e+06	-3.74904700e-01	-1.04641900e-04	3.58273980e+03
6.28405097e+00	2023-03-02T18:08:53.308096	-5.99959900e-01	-2.29310300e-07	2.61636699e+06	-3.49944400e-01	-1.04592100e-04	3.34580145e+03
6.77970597e+00	2023-03-02T18:08:53.804128	-5.99956200e-01	-2.33164400e-07	2.57310378e+06	-3.24945500e-01	-1.04631400e-04	3.10562126e+03
7.28849615e+00	2023-03-02T18:08:54.313159	-5.99935100e-01	-2.41580900e-07	2.48337141e+06	-2.99949000e-01	-1.04599900e-04	2.86758400e+03
7.78453344e+00	2023-03-02T18:08:54.809191	-5.99901600e-01	-2.53239500e-07	2.36891006e+06	-2.74935800e-01	-1.04581600e-04	2.62891178e+03
8.27968532e+00	2023-03-02T18:08:55.304221	-5.99947200e-01	-2.68053600e-07	2.23816132e+06	-2.49912800e-01	-1.04560600e-04	2.39012400e+03
8.78459864e+00	2023-03-02T18:08:55.809254	-5.99964500e-01	-2.84644700e-07	2.10776628e+06	-2.24904900e-01	-1.04547300e-04	2.15122629e+03
9.26388637e+00	2023-03-02T18:08:56.288284	-5.99905900e-01	-3.12438200e-07	1.92007859e+06	-1.99904700e-01	-1.04557800e-04	1.91190614e+03
