Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

6.75235836e-01	2023-03-02T17:45:54.765587	9.30775400e-05	1.16658300e-06	7.97864704e+01	-2.99976400e-01	-1.17433400e-08	2.55443852e+07	1	-7.99921000e-01	-6.87792500e-07	1.16302664e+06
2.38585119e+00	2023-03-02T17:45:56.476524	9.30800700e-05	4.45666000e-07	2.08856116e+02	-2.99923900e-01	-1.31415600e-08	2.28225492e+07	1	-7.49940100e-01	-4.85570900e-07	1.54445025e+06
3.08885653e+00	2023-03-02T17:45:57.177445	5.96065100e-05	3.08182900e-07	1.93412775e+02	-2.99955700e-01	-1.19900100e-08	2.50171351e+07	1	-6.99904700e-01	-3.01833600e-07	2.31884290e+06
4.10472272e+00	2023-03-02T17:45:58.197451	9.30741700e-05	1.99077800e-07	4.67526615e+02	-2.99951400e-01	-1.32483900e-08	2.26405926e+07	1	-6.49916900e-01	-2.13522100e-07	3.04379219e+06
4.82347410e+00	2023-03-02T17:45:58.919177	8.47080500e-05	8.61676600e-08	9.83060814e+02	-2.99917900e-01	-1.39468500e-08	2.15043469e+07	1	-5.99838400e-01	-1.42456900e-07	4.21066582e+06
5.54347714e+00	2023-03-02T17:45:59.634591	6.79761400e-05	8.22434600e-08	8.26523349e+02	-2.99909500e-01	-1.69645300e-08	1.76786212e+07	1	-5.49911300e-01	-8.62643400e-08	6.37472332e+06
6.62163015e+00	2023-03-02T17:46:00.714600	1.09814700e-04	3.98942500e-08	2.75264480e+03	-2.99945300e-01	-1.76387900e-08	1.70048682e+07	1	-5.00035500e-01	-7.26877400e-08	6.87922750e+06
7.52635314e+00	2023-03-02T17:46:01.620250	8.47088300e-05	6.02108300e-09	1.40687033e+04	-2.99945000e-01	-1.73148800e-08	1.73229615e+07	1	-4.50027600e-01	-1.25955800e-08	3.57290097e+07
8.85914478e+00	2023-03-02T17:46:02.957676	8.47080500e-05	4.95196900e-09	1.71059330e+04	-2.99986800e-01	-1.77692100e-08	1.68823938e+07	1	-4.00139400e-01	-7.46891300e-09	5.35739806e+07
1.01672734e+01	2023-03-02T17:46:04.265758	8.47096200e-05	-3.89745400e-09	-2.17346042e+04	-2.99963700e-01	-1.82882900e-08	1.64019545e+07	1	-3.50041400e-01	1.80269100e-08	-1.94177150e+07
1.14796140e+01	2023-03-02T17:46:05.577841	5.12418500e-05	-2.48050000e-09	-2.06578714e+04	-2.99961700e-01	-1.79303800e-08	1.67292439e+07	1	-2.99726600e-01	8.82878300e-09	-3.39488013e+07
1.27935166e+01	2023-03-02T17:46:06.891924	3.45071300e-05	1.99930200e-09	1.72595886e+04	-2.99955400e-01	-2.24609100e-08	1.33545524e+07	1	-2.49971800e-01	1.70840400e-08	-1.46318903e+07
1.41047285e+01	2023-03-02T17:46:08.203007	4.28737000e-05	-6.84560700e-09	-6.26295082e+03	-2.99988800e-01	-1.95651400e-08	1.53328215e+07	1	-1.99639100e-01	2.01278500e-08	-9.91855066e+06
1.54171310e+01	2023-03-02T17:46:09.515090	4.28732000e-05	4.23085100e-09	1.01334696e+04	-2.99932300e-01	-2.17045000e-08	1.38188993e+07	1	-1.50003400e-01	1.12179500e-08	-1.33717301e+07
1.67300236e+01	2023-03-02T17:46:10.828173	5.96096200e-05	-3.92706700e-09	-1.51791706e+04	-2.99930600e-01	-2.00711300e-08	1.49433839e+07	1	-1.00048500e-01	2.73883100e-08	-3.65296362e+06
1.80434981e+01	2023-03-02T17:46:12.141256	5.96077600e-05	-5.65384900e-09	-1.05428638e+04	-2.99949300e-01	-1.90928900e-08	1.57099999e+07	1	-4.98417200e-02	1.96748700e-08	-2.53326807e+06
1.93746947e+01	2023-03-02T17:46:13.472340	7.63447300e-05	-4.64402000e-09	-1.64393629e+04	-2.99945000e-01	-2.19579300e-08	1.36599853e+07	1	-8.86008500e-05	2.83100400e-08	-3.12966177e+03
2.06827284e+01	2023-03-02T17:46:14.780422	8.47112000e-05	-3.91855500e-09	-2.16179689e+04	-2.99964000e-01	-2.01842300e-08	1.48613051e+07	1	5.01172700e-02	1.91740000e-08	2.61381402e+06
2.19952343e+01	2023-03-02T17:46:16.093505	4.28747200e-05	-2.02235000e-09	-2.12004450e+04	-2.99957700e-01	-2.31060300e-08	1.29817931e+07	1	9.98784700e-02	4.66006900e-08	2.14328307e+06
