Time elapsed	Time stamp	out_gate Voltage	out_gate Current	out_gate Resistance	out_drain Voltage	out_drain Current	out_drain Resistance
s		V	A	V/A	V	A	V/A

1.82732024e+00	2023-03-02T16:09:23.752683	-5.99901900e-01	4.57161600e-08	-1.31223160e+07	-5.99940100e-01	-1.04841700e-04	5.72234235e+03
2.76368857e+00	2023-03-02T16:09:24.688743	-5.99888600e-01	6.59157300e-08	-9.10084133e+06	-5.49987900e-01	-1.04880200e-04	5.24396311e+03
3.44735772e+00	2023-03-02T16:09:25.372785	-5.99901900e-01	-9.33358800e-09	6.42734498e+07	-4.99960000e-01	-1.04822000e-04	4.76960943e+03
4.35186704e+00	2023-03-02T16:09:26.276842	-6.00015000e-01	2.25026400e-07	-2.66642047e+06	-4.49944500e-01	-1.04853600e-04	4.29116883e+03
5.03002503e+00	2023-03-02T16:09:26.954885	-5.99964500e-01	-1.12784500e-07	5.31956519e+06	-3.99914000e-01	-1.04751300e-04	3.81774737e+03
5.71206534e+00	2023-03-02T16:09:27.636928	-6.00052500e-01	3.84642400e-07	-1.56002692e+06	-3.49962400e-01	-1.04852900e-04	3.33765113e+03
6.38541122e+00	2023-03-02T16:09:28.309971	-5.99972800e-01	-9.15242200e-08	6.55534459e+06	-2.99926200e-01	-1.04832500e-04	2.86100398e+03
6.88300362e+00	2023-03-02T16:09:28.808002	-5.99863800e-01	-1.04494900e-07	5.74060361e+06	-2.49952900e-01	-1.04774400e-04	2.38562950e+03
7.39093877e+00	2023-03-02T16:09:29.316035	-5.99910300e-01	-1.41429000e-07	4.24177715e+06	-1.99922800e-01	-1.04721100e-04	1.90909759e+03
7.88335997e+00	2023-03-02T16:09:29.808065	-5.99918100e-01	-1.68460300e-07	3.56118385e+06	-1.49955200e-01	-1.04720400e-04	1.43195786e+03
8.38325706e+00	2023-03-02T16:09:30.308097	-5.99935700e-01	-2.28511000e-07	2.62541278e+06	-9.99812800e-02	-1.04652400e-04	9.55365381e+02
8.88344906e+00	2023-03-02T16:09:30.808129	-5.99901900e-01	-3.25692000e-07	1.84193011e+06	-4.99417800e-02	-1.04586500e-04	4.77516505e+02
9.38321883e+00	2023-03-02T16:09:31.308160	-5.99926700e-01	-4.02069700e-07	1.49209627e+06	2.31130700e-05	-3.05319100e-05	-7.57013564e-01
9.88328352e+00	2023-03-02T16:09:31.808191	-5.99880600e-01	-4.13728500e-07	1.44993782e+06	5.00805700e-02	7.94450900e-05	6.30379675e+02
1.06982021e+01	2023-03-02T16:09:32.623244	-5.99931100e-01	-5.18719600e-07	1.15656146e+06	1.00054400e-01	1.05551300e-04	9.47922006e+02
1.14748985e+01	2023-03-02T16:09:33.400292	-5.99914600e-01	-3.58852100e-07	1.67176004e+06	1.00147100e-01	1.05474900e-04	9.49487508e+02
1.15862800e+01	2023-03-02T16:09:33.511299	-5.99930800e-01	-1.88639200e-07	3.18030823e+06	5.00892800e-02	7.37823200e-05	6.78879168e+02
1.20893504e+01	2023-03-02T16:09:34.014331	-5.99939700e-01	8.21014600e-08	-7.30729636e+06	5.65680400e-05	-2.80059500e-05	-2.01985792e+00
1.25862766e+01	2023-03-02T16:09:34.511362	-5.99926400e-01	-5.93271300e-08	1.01121763e+07	-4.99581600e-02	-1.04678300e-04	4.77254216e+02
1.34955502e+01	2023-03-02T16:09:35.420420	-5.99923000e-01	4.21237000e-08	-1.42419351e+07	-9.99073300e-02	-1.04771500e-04	9.53573539e+02
1.39957241e+01	2023-03-02T16:09:35.920451	-5.99956200e-01	8.83140000e-08	-6.79344385e+06	-1.49898700e-01	-1.04808000e-04	1.43022193e+03
1.44926827e+01	2023-03-02T16:09:36.417517	-5.99872500e-01	1.16534600e-07	-5.14759136e+06	-1.99875300e-01	-1.04810800e-04	1.90701054e+03
1.51839731e+01	2023-03-02T16:09:37.108560	-5.99892700e-01	2.08333100e-08	-2.87948819e+07	-2.49962900e-01	-1.04855700e-04	2.38387517e+03
1.60897945e+01	2023-03-02T16:09:38.014618	-5.99893800e-01	2.77589600e-08	-2.16108168e+07	-2.99886400e-01	-1.04796800e-04	2.86159883e+03
1.69980377e+01	2023-03-02T16:09:38.922675	-5.99855800e-01	5.42515100e-08	-1.10569420e+07	-3.49937300e-01	-1.04828300e-04	3.33819493e+03
1.78530312e+01	2023-03-02T16:09:39.777730	-5.99834700e-01	2.68417900e-08	-2.23470454e+07	-3.99908600e-01	-1.04846600e-04	3.81422574e+03
1.87581354e+01	2023-03-02T16:09:40.682786	-5.99859800e-01	2.07273700e-08	-2.89404686e+07	-4.49967400e-01	-1.04864100e-04	4.29095753e+03
1.96658908e+01	2023-03-02T16:09:41.590844	-5.99872500e-01	2.72026700e-08	-2.20519714e+07	-4.99924900e-01	-1.04824800e-04	4.76914719e+03
2.05707114e+01	2023-03-02T16:09:42.495901	-5.99826700e-01	2.37440500e-08	-2.52621899e+07	-5.49957200e-01	-1.04787000e-04	5.24833424e+03
2.14778091e+01	2023-03-02T16:09:43.402958	-5.99867900e-01	1.60676000e-08	-3.73340076e+07	-5.99939800e-01	-1.04854300e-04	5.72165185e+03
