Time elapsed	Time stamp	out_gate Voltage	out_gate Current	out_gate Resistance	out_drain Voltage	out_drain Current	out_drain Resistance
s		V	A	V/A	V	A	V/A

1.43973867e+02	2023-03-02T16:55:48.964093	2.00089200e-01	3.21432500e-07	6.22492125e+05	-5.99960900e-01	-2.65111700e-07	2.26304950e+06
1.44942492e+02	2023-03-02T16:55:49.933154	2.00097800e-01	2.89364500e-07	6.91507770e+05	-5.74961400e-01	-2.43944900e-07	2.35693142e+06
1.45599029e+02	2023-03-02T16:55:50.590195	2.00061700e-01	2.60096600e-07	7.69182296e+05	-5.49960100e-01	-2.30761900e-07	2.38323614e+06
1.46254768e+02	2023-03-02T16:55:51.245237	2.00029600e-01	2.26718400e-07	8.82282161e+05	-5.25004200e-01	-2.14341500e-07	2.44938194e+06
1.46911879e+02	2023-03-02T16:55:51.902278	2.00081100e-01	2.15383900e-07	9.28951050e+05	-4.99976700e-01	-2.03761900e-07	2.45373006e+06
1.47570865e+02	2023-03-02T16:55:52.561320	2.00095200e-01	2.21076000e-07	9.05096890e+05	-4.74925400e-01	-1.97989000e-07	2.39874640e+06
1.48224043e+02	2023-03-02T16:55:53.214361	2.00096500e-01	2.21728200e-07	9.02440465e+05	-4.49949900e-01	-1.99438200e-07	2.25608685e+06
1.48882672e+02	2023-03-02T16:55:53.873403	2.00053300e-01	2.06694400e-07	9.67869957e+05	-4.24930600e-01	-1.89383600e-07	2.24375606e+06
1.49536373e+02	2023-03-02T16:55:54.527443	2.00025200e-01	1.70343000e-07	1.17424960e+06	-3.99900300e-01	-1.69562500e-07	2.35842418e+06
1.50052137e+02	2023-03-02T16:55:55.042477	2.00089400e-01	1.58202900e-07	1.26476443e+06	-3.74942200e-01	-1.64838300e-07	2.27460608e+06
1.50576444e+02	2023-03-02T16:55:55.567510	2.00084100e-01	1.59587300e-07	1.25375954e+06	-3.49939700e-01	-1.46401700e-07	2.39027074e+06
1.51082906e+02	2023-03-02T16:55:56.073541	2.00093500e-01	1.37698800e-07	1.45312450e+06	-3.24951700e-01	-1.25747000e-07	2.58417060e+06
1.51739688e+02	2023-03-02T16:55:56.730583	2.00114300e-01	9.70367400e-08	2.06225292e+06	-2.99982800e-01	-9.89254100e-08	3.03241402e+06
1.52395972e+02	2023-03-02T16:55:57.386624	2.00037900e-01	6.32898700e-08	3.16066220e+06	-2.74922700e-01	-6.60402000e-08	4.16295983e+06
1.53052041e+02	2023-03-02T16:55:58.042665	2.00079800e-01	5.22782600e-08	3.82720848e+06	-2.49974700e-01	-4.42736700e-08	5.64612556e+06
1.53710653e+02	2023-03-02T16:55:58.701707	2.00115900e-01	5.44328800e-08	3.67637906e+06	-2.24917100e-01	-3.13600500e-08	7.17208997e+06
1.54552188e+02	2023-03-02T16:55:59.542761	2.00039300e-01	2.56579700e-08	7.79638062e+06	-1.99917100e-01	-2.05739100e-08	9.71702025e+06
1.55598598e+02	2023-03-02T16:56:00.589827	2.00057300e-01	1.92680700e-08	1.03828406e+07	-1.74938300e-01	-1.39930100e-08	1.25018348e+07
