Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

1.29780888e+02	2023-03-02T17:00:33.794815	9.30767000e-05	2.71658400e-04	3.42624045e-01	-2.99962000e-01	-2.64910300e-04	1.13231535e+03	3	-9.99926900e-01	-6.04225500e-07	1.65489027e+06
1.29922042e+02	2023-03-02T17:00:33.935824	5.12396000e-05	2.65971000e-04	1.92651079e-01	-2.99964000e-01	-2.63698500e-04	1.13752638e+03	3	-9.49914800e-01	-4.31528200e-07	2.20128094e+06
1.30735204e+02	2023-03-02T17:00:34.748882	8.47104100e-05	2.34347200e-04	3.61473958e-01	-2.99959700e-01	-2.32477300e-04	1.29027522e+03	3	-8.99900400e-01	-2.82993300e-07	3.17993536e+06
1.31406992e+02	2023-03-02T17:00:35.420928	7.63418000e-05	2.25938900e-04	3.37886924e-01	-2.99953300e-01	-2.25181800e-04	1.33204948e+03	3	-8.49907000e-01	-1.90433800e-07	4.46300499e+06
1.32078873e+02	2023-03-02T17:00:36.091975	9.30775400e-05	2.31117900e-04	4.02727526e-01	-2.99968100e-01	-2.30124900e-04	1.30350127e+03	3	-7.99928800e-01	-1.32262500e-07	6.04803932e+06
1.32754972e+02	2023-03-02T17:00:36.768022	7.63432700e-05	2.39788500e-04	3.18377529e-01	-2.99928300e-01	-2.39049000e-04	1.25467289e+03	3	-7.49913300e-01	-7.98442500e-08	9.39220169e+06
1.33422679e+02	2023-03-02T17:00:37.436068	7.63440100e-05	2.47438700e-04	3.08537064e-01	-2.99966000e-01	-2.47798300e-04	1.21052485e+03	3	-6.99938200e-01	-5.96720300e-08	1.17297535e+07
1.34094716e+02	2023-03-02T17:00:38.108115	9.30783900e-05	2.51767800e-04	3.69699342e-01	-2.99970100e-01	-2.52206300e-04	1.18938385e+03	3	-6.49891400e-01	-4.80188600e-08	1.35340864e+07
1.34957241e+02	2023-03-02T17:00:38.971175	5.12424200e-05	2.53361100e-04	2.02250543e-01	-2.99976400e-01	-2.53532600e-04	1.18318670e+03	3	-5.99918100e-01	-2.42838500e-08	2.47044064e+07
1.35813615e+02	2023-03-02T17:00:39.827235	8.47112000e-05	2.48656100e-04	3.40676139e-01	-2.99955400e-01	-2.48731800e-04	1.20593909e+03	3	-5.49938200e-01	-6.55571600e-09	8.38868249e+07
1.36672574e+02	2023-03-02T17:00:40.686295	5.12418500e-05	2.37810000e-04	2.15473908e-01	-2.99936600e-01	-2.37737600e-04	1.26162879e+03	3	-4.99894900e-01	4.17268100e-09	-1.19801849e+08
1.37532339e+02	2023-03-02T17:00:41.546355	7.63432700e-05	2.18732200e-04	3.49026206e-01	-2.99930300e-01	-2.18725700e-04	1.37126227e+03	3	-4.49919600e-01	1.04622600e-08	-4.30040546e+07
1.38411872e+02	2023-03-02T17:00:42.424947	8.47104100e-05	1.92942300e-04	4.39045300e-01	-2.99930300e-01	-1.92219700e-04	1.56035151e+03	3	-3.99905200e-01	1.72869500e-08	-2.31333578e+07
1.39125785e+02	2023-03-02T17:00:43.138997	9.30775400e-05	1.56133300e-04	5.96141502e-01	-2.99980500e-01	-1.56083700e-04	1.92192074e+03	3	-3.49909900e-01	1.62977100e-08	-2.14698814e+07
1.39985197e+02	2023-03-02T17:00:43.999056	7.63410700e-05	1.20492000e-04	6.33577914e-01	-2.99951000e-01	-1.19633100e-04	2.50725761e+03	3	-2.99917000e-01	1.78500600e-08	-1.68020164e+07
1.40844528e+02	2023-03-02T17:00:44.858116	1.01443800e-04	8.50456500e-05	1.19281586e+00	-2.99943000e-01	-8.43332200e-05	3.55664114e+03	3	-2.49886500e-01	2.35890200e-08	-1.05933396e+07
1.41547713e+02	2023-03-02T17:00:45.561165	5.96090000e-05	5.39925000e-05	1.10402371e+00	-2.99951000e-01	-5.34002600e-05	5.61703258e+03	3	-1.99891400e-01	2.57056600e-08	-7.77616292e+06
1.42407053e+02	2023-03-02T17:00:46.420225	4.28726800e-05	2.99200500e-05	1.43290803e+00	-2.99947000e-01	-2.97445400e-05	1.00841028e+04	3	-1.49935500e-01	2.23547300e-08	-6.70710404e+06
1.43581347e+02	2023-03-02T17:00:47.595307	5.96090000e-05	1.51952400e-05	3.92287322e+00	-2.99945000e-01	-1.49235400e-05	2.00987835e+04	3	-9.99153900e-02	2.38746400e-08	-4.18500090e+06
