Time elapsed	Time stamp	out_gate Voltage	out_gate Current	out_gate Resistance	out_drain Voltage	out_drain Current	out_drain Resistance
s		V	A	V/A	V	A	V/A

4.68970597e-01	2023-03-06T16:31:54.100185	-3.99949700e-01	7.40998300e-11	-5.39744423e+09	-5.99935500e-01	-1.04849400e-04	5.72187824e+03
1.43576707e+00	2023-03-06T16:31:55.061065	-3.99930300e-01	-2.70703800e-10	1.47737232e+09	-5.74928600e-01	-1.04824100e-04	5.48469865e+03
1.95479657e+00	2023-03-06T16:31:55.586444	-3.99863100e-01	-1.39673100e-09	2.86284975e+08	-5.49967500e-01	-1.04806600e-04	5.24745102e+03
2.47021680e+00	2023-03-06T16:31:56.096451	-3.99888500e-01	-8.82126200e-11	4.53323459e+09	-5.24937300e-01	-1.04829700e-04	5.00752459e+03
2.98664944e+00	2023-03-06T16:31:56.612017	-3.99868700e-01	1.28133600e-09	-3.12071697e+08	-4.99960000e-01	-1.04820600e-04	4.76967314e+03
3.50234342e+00	2023-03-06T16:31:57.134688	-3.99893600e-01	3.71408200e-10	-1.07669567e+09	-4.74969100e-01	-1.04824800e-04	4.53107566e+03
4.01893136e+00	2023-03-06T16:31:57.651722	-3.99918600e-01	-8.74527900e-10	4.57296560e+08	-4.49908100e-01	-1.04826200e-04	4.29194324e+03
4.53214454e+00	2023-03-06T16:31:58.164759	-3.99910600e-01	-7.62673200e-10	5.24353812e+08	-4.24922500e-01	-1.04858500e-04	4.05234197e+03
5.04747262e+00	2023-03-06T16:31:58.679794	-3.99888200e-01	4.77764600e-10	-8.36998388e+08	-3.99930800e-01	-1.04822700e-04	3.81530718e+03
5.56500809e+00	2023-03-06T16:31:59.197830	-3.99930300e-01	1.24347400e-09	-3.21623371e+08	-3.74911300e-01	-1.04818500e-04	3.57676651e+03
6.07651153e+00	2023-03-06T16:31:59.708865	-3.99946700e-01	-1.02929400e-10	3.88564103e+09	-3.49915700e-01	-1.04817100e-04	3.33834556e+03
6.59210449e+00	2023-03-06T16:32:00.224902	-3.99860400e-01	-1.44175900e-09	2.77342052e+08	-3.24920400e-01	-1.04803800e-04	3.10027308e+03
7.10775410e+00	2023-03-06T16:32:00.739938	-3.99852000e-01	-3.36291000e-10	1.18900595e+09	-2.99945300e-01	-1.04815700e-04	2.86164477e+03
7.62997540e+00	2023-03-06T16:32:01.262975	-3.99874400e-01	1.15224400e-09	-3.47039690e+08	-2.74923700e-01	-1.04804500e-04	2.62320511e+03
8.14283564e+00	2023-03-06T16:32:01.775011	-3.99924600e-01	4.73142900e-10	-8.45251192e+08	-2.49979700e-01	-1.04768100e-04	2.38602876e+03
8.64052908e+00	2023-03-06T16:32:02.273044	-3.99896500e-01	1.14844400e-09	-3.48207226e+08	-2.24943700e-01	-1.04825500e-04	2.14588721e+03
9.15458433e+00	2023-03-06T16:32:02.787080	-3.99924300e-01	-3.13166600e-10	1.27703369e+09	-1.99913100e-01	-1.04796100e-04	1.90763874e+03
