Time elapsed	Time stamp	out_gate Voltage	out_gate Current	out_gate Resistance	out_drain Voltage	out_drain Current	out_drain Resistance
s		V	A	V/A	V	A	V/A

8.90507498e+01	2023-03-06T16:33:22.684753	2.00070100e-01	-6.41569200e-10	-3.11844926e+08	-5.99902300e-01	-1.04808700e-04	5.72378343e+03
8.97173594e+01	2023-03-06T16:33:23.350798	2.00057300e-01	-1.28617900e-09	-1.55543902e+08	-5.74966500e-01	-1.04841700e-04	5.48413942e+03
9.02371030e+01	2023-03-06T16:33:23.870835	2.00079800e-01	1.83005800e-10	1.09329759e+09	-5.49992600e-01	-1.04808000e-04	5.24762041e+03
9.07329263e+01	2023-03-06T16:33:24.366869	2.00079800e-01	1.14884400e-10	1.74157501e+09	-5.24943400e-01	-1.04857800e-04	5.00624083e+03
9.12492858e+01	2023-03-06T16:33:24.882905	2.00072700e-01	1.34988600e-09	1.48214516e+08	-4.99951600e-01	-1.04819200e-04	4.76965670e+03
9.17485839e+01	2023-03-06T16:33:25.381940	2.00050600e-01	1.39485000e-09	1.43420870e+08	-4.74906900e-01	-1.04805900e-04	4.53129929e+03
9.22640919e+01	2023-03-06T16:33:25.897975	2.00068400e-01	7.57818200e-11	2.64005800e+09	-4.49941500e-01	-1.04838900e-04	4.29174190e+03
9.27798367e+01	2023-03-06T16:33:26.413011	2.00101900e-01	-1.24624000e-09	-1.60564498e+08	-4.24916700e-01	-1.04791200e-04	4.05488915e+03
9.32798720e+01	2023-03-06T16:33:26.914047	2.00072700e-01	-1.26391700e-09	-1.58295758e+08	-3.99925100e-01	-1.04810100e-04	3.81571146e+03
9.38017663e+01	2023-03-06T16:33:27.435083	2.00070100e-01	-3.71624600e-10	-5.38366136e+08	-3.74885400e-01	-1.04801000e-04	3.57711663e+03
9.42953327e+01	2023-03-06T16:33:27.929117	2.00127000e-01	-4.07778000e-10	-4.90774392e+08	-3.49978900e-01	-1.04794700e-04	3.33966222e+03
9.47955838e+01	2023-03-06T16:33:28.429151	2.00135300e-01	-4.13669300e-10	-4.83805059e+08	-3.24951700e-01	-1.04761100e-04	3.10183551e+03
9.53108248e+01	2023-03-06T16:33:28.944187	2.00072700e-01	1.01601200e-09	1.96919623e+08	-2.99938700e-01	-1.04812900e-04	2.86165825e+03
9.58263618e+01	2023-03-06T16:33:29.459789	2.00037900e-01	5.09725600e-10	3.92442326e+08	-2.74950600e-01	-1.01218100e-04	2.71641732e+03
9.63421350e+01	2023-03-06T16:33:29.975825	2.00053300e-01	-6.90769900e-10	-2.89609174e+08	-2.49966300e-01	-9.27324000e-05	2.69556595e+03
9.68581013e+01	2023-03-06T16:33:30.491861	2.00089400e-01	-1.25043800e-09	-1.60015451e+08	-2.24908700e-01	-8.42942300e-05	2.66813873e+03
9.73580715e+01	2023-03-06T16:33:30.991896	2.00070100e-01	-1.43544200e-09	-1.39378742e+08	-1.99921400e-01	-7.57712600e-05	2.63848589e+03
