Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

8.82292026e+01	2023-03-06T17:17:13.179109	7.63432700e-05	1.31752900e-04	5.79442805e-01	-2.99947000e-01	-1.10764100e-04	2.70798029e+03	-1.49993800e+00	1.91843400e-10	-7.81855409e+09
8.87768076e+01	2023-03-06T17:17:13.726145	1.01444700e-04	1.06994900e-04	9.48126499e-01	-2.99911500e-01	-1.06297400e-04	2.82143778e+03	-1.44992400e+00	1.00632600e-09	-1.44080944e+09
8.95244473e+01	2023-03-06T17:17:14.474191	3.45062200e-05	1.01655200e-04	3.39443727e-01	-2.99949300e-01	-1.01221600e-04	2.96329341e+03	-1.39990600e+00	-1.02252700e-09	1.36906507e+09
9.02433788e+01	2023-03-06T17:17:15.193237	8.47112000e-05	9.88377200e-05	8.57073595e-01	-2.99936900e-01	-9.85289200e-05	3.04415089e+03	-1.34992500e+00	-1.28449700e-09	1.05093667e+09
9.09621185e+01	2023-03-06T17:17:15.911282	1.01444700e-04	9.67317200e-05	1.04872218e+00	-2.99938700e-01	-9.64227400e-05	3.11066352e+03	-1.29988000e+00	-8.31627800e-10	1.56305501e+09
9.16652278e+01	2023-03-06T17:17:16.614327	9.30758600e-05	9.49262300e-05	9.80507284e-01	-2.99993200e-01	-9.45591800e-05	3.17254443e+03	-1.24996200e+00	9.80659500e-11	-1.27461367e+10
9.23683706e+01	2023-03-06T17:17:17.317372	8.47104100e-05	9.33806000e-05	9.07152128e-01	-2.99949300e-01	-9.30478000e-05	3.22360443e+03	-1.19995000e+00	1.12912500e-09	-1.06272556e+09
9.30715039e+01	2023-03-06T17:17:18.021416	5.12412900e-05	9.18596600e-05	5.57821464e-01	-2.99951400e-01	-9.15500900e-05	3.27636379e+03	-1.14996100e+00	9.83205900e-10	-1.16960344e+09
9.37745091e+01	2023-03-06T17:17:18.724461	5.96071300e-05	9.05557500e-05	6.58236832e-01	-2.99932300e-01	-9.02428100e-05	3.32361437e+03	-1.09994400e+00	-3.69310800e-12	2.97836944e+11
9.44791807e+01	2023-03-06T17:17:19.428506	7.63447300e-05	8.94633400e-05	8.53363288e-01	-2.99947000e-01	-8.90629600e-05	3.36780857e+03	-1.04996600e+00	-9.23713800e-10	1.13667892e+09
9.51809234e+01	2023-03-06T17:17:20.130551	9.30792300e-05	8.83414600e-05	1.05363020e+00	-2.99934600e-01	-8.81011500e-05	3.40443456e+03	-9.99923400e-01	-1.17307500e-09	8.52395115e+08
9.58838648e+01	2023-03-06T17:17:20.833595	1.09812800e-04	8.74636200e-05	1.25552544e+00	-2.99932300e-01	-8.70798400e-05	3.44433683e+03	-9.49894100e-01	-1.40473800e-09	6.76207307e+08
9.66028768e+01	2023-03-06T17:17:21.552641	5.96059000e-05	8.66138400e-05	6.88179857e-01	-2.99930300e-01	-8.63007000e-05	3.47540982e+03	-8.99892000e-01	-1.23655400e-09	7.27741773e+08
9.73214902e+01	2023-03-06T17:17:22.270686	4.28721800e-05	8.57727500e-05	4.99834505e-01	-2.99896900e-01	-8.55407000e-05	3.50589719e+03	-8.49932000e-01	-7.12219000e-10	1.19335766e+09
9.80407654e+01	2023-03-06T17:17:22.990732	9.30792300e-05	8.51410400e-05	1.09323577e+00	-2.99934300e-01	-8.48156900e-05	3.53630678e+03	-7.99868400e-01	-8.56441700e-10	9.33943782e+08
9.87433682e+01	2023-03-06T17:17:23.692776	7.63418000e-05	8.44514500e-05	9.03972638e-01	-2.99942700e-01	-8.41938700e-05	3.56252421e+03	-7.49911700e-01	-2.66500300e-10	2.81392441e+09
9.94464933e+01	2023-03-06T17:17:24.395821	7.63425300e-05	8.39627100e-05	9.09243282e-01	-2.99955400e-01	-8.36766300e-05	3.58469742e+03	-6.99845100e-01	4.94171300e-10	-1.41619940e+09
1.00149853e+02	2023-03-06T17:17:25.098865	5.96102300e-05	8.33920500e-05	7.14819098e-01	-2.99926200e-01	-8.30904200e-05	3.60963635e+03	-6.49917300e-01	1.39700200e-09	-4.65222884e+08
1.00852911e+02	2023-03-06T17:17:25.802911	6.79761400e-05	8.29173300e-05	8.19806185e-01	-2.99951000e-01	-8.26200000e-05	3.63048899e+03	-5.99947500e-01	3.07048900e-10	-1.95391516e+09
