Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

5.96379492e+01	2023-03-06T17:23:26.973873	7.63418000e-05	-3.29430400e-04	-2.31738783e-01	1.00088500e-01	3.06176700e-04	3.26897834e+02	-9.99929900e-01	-2.01263300e-12	4.96826744e+11
6.03097688e+01	2023-03-06T17:23:27.645912	3.45057800e-05	-3.00958100e-04	-1.14653103e-01	1.00121300e-01	3.00749700e-04	3.32905735e+02	-9.49914800e-01	-1.32107100e-09	7.19049014e+08
6.10607065e+01	2023-03-06T17:23:28.396954	6.79754600e-05	-2.93357400e-04	-2.31715512e-01	1.00113600e-01	2.93310300e-04	3.41323165e+02	-8.99900400e-01	-6.59269300e-11	1.36499667e+10
6.17785225e+01	2023-03-06T17:23:29.114995	6.79761400e-05	-2.89260500e-04	-2.34999732e-01	1.00086500e-01	2.89342400e-04	3.45910243e+02	-8.49859900e-01	5.40017600e-10	-1.57376334e+09
6.24818875e+01	2023-03-06T17:23:29.818036	5.12412900e-05	-2.86306200e-04	-1.78973735e-01	1.00076800e-01	2.86390400e-04	3.49441881e+02	-7.99888100e-01	1.39779300e-09	-5.72250755e+08
6.31847739e+01	2023-03-06T17:23:30.521075	4.28742100e-05	-2.83900800e-04	-1.51018278e-01	1.00076800e-01	2.84058000e-04	3.52311148e+02	-7.49931800e-01	6.48081800e-10	-1.15715609e+09
6.38879376e+01	2023-03-06T17:23:31.224115	4.28737000e-05	-2.81990800e-04	-1.52039357e-01	1.00119300e-01	2.82136400e-04	3.54861337e+02	-6.99920300e-01	-1.68528700e-10	4.15312229e+09
6.45925406e+01	2023-03-06T17:23:31.929361	5.96077600e-05	-2.80415900e-04	-2.12569116e-01	1.00111600e-01	2.80586100e-04	3.56794581e+02	-6.49914100e-01	-1.02715300e-09	6.32733488e+08
6.52941672e+01	2023-03-06T17:23:32.630402	5.96096200e-05	-2.79053600e-04	-2.13613514e-01	1.00114300e-01	2.79230000e-04	3.58537048e+02	-5.99860400e-01	-1.21975000e-09	4.91789629e+08
6.59973096e+01	2023-03-06T17:23:33.333441	1.09814700e-04	-2.77969500e-04	-3.95060249e-01	1.00120600e-01	2.78137000e-04	3.59968649e+02	-5.49895500e-01	-3.36715000e-10	1.63311851e+09
6.67004773e+01	2023-03-06T17:23:34.036481	7.63447300e-05	-2.77016100e-04	-2.75596725e-01	1.00103900e-01	2.77223900e-04	3.61094047e+02	-4.99913200e-01	3.77295400e-10	-1.32499151e+09
6.74036887e+01	2023-03-06T17:23:34.740522	3.45057800e-05	-2.76220200e-04	-1.24921277e-01	1.00111600e-01	2.76502000e-04	3.62064651e+02	-4.49944800e-01	1.33135600e-09	-3.37959794e+08
6.81067810e+01	2023-03-06T17:23:35.443562	6.79768000e-05	-2.75594000e-04	-2.46655588e-01	1.00136700e-01	2.75829100e-04	3.63038925e+02	-3.99924900e-01	8.88588100e-10	-4.50067810e+08
6.88098173e+01	2023-03-06T17:23:36.146601	5.12418500e-05	-2.75073300e-04	-1.86284347e-01	1.00101900e-01	2.75297300e-04	3.63613810e+02	-3.49908800e-01	1.60677500e-11	-2.17770876e+10
6.95130335e+01	2023-03-06T17:23:36.849642	5.12407300e-05	-2.74651900e-04	-1.86566086e-01	1.00131000e-01	2.74871200e-04	3.64283344e+02	-2.99942300e-01	-6.54191500e-10	4.58493117e+08
7.02160534e+01	2023-03-06T17:23:37.552682	6.79761400e-05	-2.74273300e-04	-2.47840894e-01	1.00094900e-01	2.74486700e-04	3.64662113e+02	-2.49879700e-01	-1.36941800e-09	1.82471459e+08
7.09194129e+01	2023-03-06T17:23:38.255722	7.63418000e-05	-2.73949000e-04	-2.78671578e-01	1.00078800e-01	2.74202500e-04	3.64981355e+02	-1.99916500e-01	-5.15430000e-10	3.87863531e+08
7.16465122e+01	2023-03-06T17:23:38.982764	7.63432700e-05	-2.73700800e-04	-2.78929656e-01	1.00085800e-01	2.73957600e-04	3.65333176e+02	-1.49914500e-01	-1.02756700e-09	1.45892677e+08
7.23426590e+01	2023-03-06T17:23:39.678802	5.12412900e-05	-2.73454000e-04	-1.87385410e-01	1.00103900e-01	2.73721300e-04	3.65714689e+02	-9.98986600e-02	-1.30682200e-10	7.64439687e+08
