Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

5.01987308e+02	2023-03-10T19:38:17.372854	1.77733100e-05	-8.50306700e-08	-2.09022345e+02	-2.99976700e-01	-2.53581800e-07	1.18295832e+06	2	8.00274700e-01	3.12304800e-07	2.56247967e+06
5.02222421e+02	2023-03-10T19:38:17.607868	9.30783900e-05	-7.52924500e-08	-1.23622475e+03	-2.99957400e-01	-2.43191100e-07	1.23342260e+06	2	7.49902300e-01	2.02605100e-07	3.70130021e+06
5.02955094e+02	2023-03-10T19:38:18.339915	6.79761400e-05	-6.00979500e-08	-1.13108916e+03	-2.99932600e-01	-2.24332400e-07	1.33700081e+06	2	7.00319300e-01	3.67846600e-07	1.90383519e+06
5.03689386e+02	2023-03-10T19:38:19.074961	5.96090000e-05	-5.19646200e-08	-1.14710740e+03	-2.99987400e-01	-2.00956600e-07	1.49279695e+06	2	6.50097700e-01	2.75105100e-07	2.36308851e+06
5.04423849e+02	2023-03-10T19:38:19.809007	8.47104100e-05	-4.26577400e-08	-1.98581570e+03	-2.99957700e-01	-1.81665800e-07	1.65115118e+06	2	6.00046000e-01	1.15562900e-07	5.19237575e+06
5.05158116e+02	2023-03-10T19:38:20.543054	3.45062200e-05	-3.09354500e-08	-1.11542648e+03	-2.99951400e-01	-1.63738500e-07	1.83189293e+06	2	5.50045300e-01	1.94610300e-07	2.82639357e+06
5.06064370e+02	2023-03-10T19:38:21.449111	6.79761400e-05	-1.76833700e-08	-3.84407158e+03	-2.99932300e-01	-1.49431400e-07	2.00715713e+06	2	5.00274400e-01	1.72898000e-07	2.89346551e+06
5.06815212e+02	2023-03-10T19:38:22.200159	7.63440100e-05	-6.88534600e-09	-1.10878974e+04	-2.99951400e-01	-1.30559900e-07	2.29742363e+06	2	4.50182500e-01	2.30400300e-07	1.95391456e+06
5.07548753e+02	2023-03-10T19:38:22.934204	8.47143600e-05	-3.69346700e-09	-2.29362710e+04	-2.99999500e-01	-1.09494400e-07	2.73986158e+06	2	3.99923700e-01	8.26361400e-08	4.83957382e+06
5.08642480e+02	2023-03-10T19:38:24.027274	9.30767000e-05	-1.22036100e-09	-7.62698087e+04	-2.99926200e-01	-9.64206500e-08	3.11060131e+06	2	3.50237400e-01	1.41679700e-07	2.47203657e+06
5.09392564e+02	2023-03-10T19:38:24.777321	5.96077600e-05	2.49450500e-09	2.38956266e+04	-2.99936600e-01	-7.66706200e-08	3.91201480e+06	2	2.99979500e-01	4.17499800e-08	7.18514117e+06
5.10146317e+02	2023-03-10T19:38:25.531369	1.09811800e-04	1.34131200e-08	8.18689462e+03	-2.99928600e-01	-6.54148700e-08	4.58502172e+06	2	2.50261700e-01	9.63016300e-08	2.59872756e+06
5.10742606e+02	2023-03-10T19:38:26.127406	9.30767000e-05	4.01933100e-09	2.31572617e+04	-2.99794700e-01	-5.48374700e-08	5.46696812e+06	2	2.50097800e-01	1.49392400e-07	1.67409989e+06
5.11642570e+02	2023-03-10T19:38:27.027464	8.47112000e-05	8.44613100e-09	1.00295863e+04	-2.99905200e-01	-6.26377000e-08	4.78793442e+06	2	2.40212400e-01	1.09187200e-07	2.20000513e+06
5.12392500e+02	2023-03-10T19:38:27.777510	8.47088300e-05	7.63830900e-09	1.10899978e+04	-2.99919900e-01	-5.55112200e-08	5.40286991e+06	2	2.29814500e-01	9.00587000e-08	2.55183008e+06
5.13487284e+02	2023-03-10T19:38:28.872580	7.63440100e-05	-5.11817400e-09	-1.49162592e+04	-2.99934600e-01	-5.57911800e-08	5.37602180e+06	2	2.20162900e-01	4.30240400e-08	5.11720657e+06
5.14595416e+02	2023-03-10T19:38:29.980650	9.40532100e-06	-1.19551200e-08	-7.86719079e+02	-2.99936600e-01	-5.08280900e-08	5.90100080e+06	2	2.10208000e-01	1.10230400e-07	1.90698755e+06
5.15329895e+02	2023-03-10T19:38:30.714696	7.63462000e-05	4.41421100e-09	1.72955484e+04	-2.99934600e-01	-4.45206000e-08	6.73698468e+06	2	2.00039300e-01	7.50529600e-08	2.66530860e+06
5.16408078e+02	2023-03-10T19:38:31.793764	8.47119800e-05	4.51109900e-08	1.87785681e+03	-2.99936600e-01	-8.95983800e-08	3.34756722e+06	2	1.90276300e-01	2.10756800e-08	9.02824013e+06
