Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

6.68794196e-01	2023-03-10T19:57:01.305033	5.12412900e-05	-5.08408100e-08	-1.00787714e+03	-4.99934900e-01	-3.31671200e-07	1.50732080e+06	1	1.00027800e+00	3.32152000e-07	3.01150678e+06
2.25575582e+00	2023-03-10T19:57:02.891107	1.01443800e-04	-8.53263200e-09	-1.18889224e+04	-4.99946600e-01	-2.60042200e-07	1.92255949e+06	1	9.50212600e-01	2.49649800e-07	3.80618210e+06
3.17580603e+00	2023-03-10T19:57:03.811959	5.96083700e-05	-2.76778500e-09	-2.15364886e+04	-4.99968400e-01	-2.27515700e-07	2.19751164e+06	1	9.00219400e-01	2.57636000e-07	3.49415221e+06
3.91071441e+00	2023-03-10T19:57:04.543255	4.28747200e-05	-5.13331700e-10	-8.35224476e+04	-4.99966700e-01	-1.95070000e-07	2.56301174e+06	1	8.49959500e-01	1.85135700e-07	4.59100811e+06
4.64521285e+00	2023-03-10T19:57:05.283260	5.96077600e-05	6.80729800e-09	8.75644933e+03	-4.99929900e-01	-1.79483000e-07	2.78538859e+06	1	8.00160500e-01	1.72603300e-07	4.63583547e+06
5.39509245e+00	2023-03-10T19:57:06.028994	9.30792300e-05	4.13378300e-08	2.25167189e+03	-4.99945000e-01	-1.61933500e-07	3.08734758e+06	1	7.50144800e-01	1.53136100e-07	4.89854972e+06
6.47459850e+00	2023-03-10T19:57:07.110296	8.47104100e-05	9.54425100e-07	8.87554298e+01	-4.99950000e-01	-1.19517600e-06	4.18306593e+05	1	7.00106600e-01	1.31847500e-07	5.30997251e+06
7.64671813e+00	2023-03-10T19:57:08.288634	6.79754600e-05	8.41555400e-06	8.07736009e+00	-4.99943300e-01	-9.19636500e-06	5.43631424e+04	1	6.50194400e-01	4.67314800e-08	1.39134134e+07
9.08307571e+00	2023-03-10T19:57:09.724470	6.79754600e-05	1.32854700e-06	5.11652655e+01	-4.99946600e-01	-1.33893100e-06	3.73392356e+05	1	6.00101100e-01	6.46976800e-09	9.27546552e+07
1.00827487e+01	2023-03-10T19:57:10.724533	7.63418000e-05	9.06881000e-07	8.41806147e+01	-5.00005200e-01	-9.71008200e-07	5.14934065e+05	1	5.50071500e-01	6.94244700e-09	7.92330860e+07
1.08172260e+01	2023-03-10T19:57:11.459579	7.63425300e-05	1.23435100e-07	6.18483154e+02	-4.99936600e-01	-7.42823800e-08	6.73021785e+06	1	5.00199100e-01	8.73507200e-09	5.72633059e+07
1.20203578e+01	2023-03-10T19:57:12.662655	6.79768000e-05	4.61922300e-08	1.47160680e+03	-4.99906600e-01	-5.79538000e-08	8.62595033e+06	1	4.50135400e-01	2.12103300e-09	2.12224609e+08
1.31448806e+01	2023-03-10T19:57:13.786727	6.79747800e-05	-4.17917800e-08	-1.62651076e+03	-4.99874700e-01	-9.06849200e-08	5.51221416e+06	1	4.00222200e-01	-7.10136600e-09	-5.63584809e+07
1.39799644e+01	2023-03-10T19:57:14.621779	9.30750000e-05	-6.72908900e-08	-1.38317386e+03	-4.99921600e-01	-9.14921200e-08	5.46409461e+06	1	3.50137000e-01	-9.76985000e-09	-3.58385236e+07
1.52707554e+01	2023-03-10T19:57:15.912861	8.47096200e-05	1.10974700e-07	7.63323713e+02	-5.00254500e-01	-1.46875500e-07	3.40597649e+06	1	3.00094600e-01	-3.16858800e-08	-9.47092522e+06
1.66340226e+01	2023-03-10T19:57:17.275946	5.12435500e-05	5.91149400e-08	8.66846012e+02	-4.99831300e-01	-2.54196900e-07	1.96631548e+06	1	2.50260100e-01	-6.09959500e-08	-4.10289700e+06
1.73638502e+01	2023-03-10T19:57:18.006078	5.96096200e-05	-2.70115400e-07	-2.20682049e+02	-4.99971700e-01	-1.22380600e-07	4.08538363e+06	1	2.00026900e-01	-1.46393500e-08	-1.36636463e+07
1.88173793e+01	2023-03-10T19:57:19.459174	5.12401700e-05	1.08615400e-07	4.71757872e+02	-4.99958200e-01	-9.06376600e-08	5.51600957e+06	1	1.50085700e-01	-1.85666700e-08	-8.08360896e+06
1.98796493e+01	2023-03-10T19:57:20.521241	1.77716100e-05	1.30297500e-07	1.36392563e+02	-4.99970100e-01	-1.24233500e-07	4.02443866e+06	1	1.00148200e-01	-2.23812700e-08	-4.47464331e+06
