Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

1.02985326e+02	2023-03-10T18:13:19.023925	5.96090000e-05	-1.94656300e-07	-3.06226924e+02	-4.99963300e-01	-3.80776100e-07	1.31301124e+06	3	8.00080400e-01	5.38997900e-07	1.48438500e+06
1.03232287e+02	2023-03-10T18:13:19.270941	9.30767000e-05	-1.64814200e-07	-5.64737140e+02	-4.99986800e-01	-3.50694500e-07	1.42570471e+06	3	7.50037700e-01	5.37684900e-07	1.39493912e+06
1.03966901e+02	2023-03-10T18:13:20.004987	6.79734300e-05	-1.36065200e-07	-4.99565135e+02	-4.99955000e-01	-3.21293300e-07	1.55607042e+06	3	7.00051600e-01	4.01648500e-07	1.74294588e+06
1.04513376e+02	2023-03-10T18:13:20.552022	7.63418000e-05	-1.19738100e-07	-6.37573170e+02	-4.99958300e-01	-2.94038200e-07	1.70031751e+06	3	6.50378400e-01	4.09171500e-07	1.58950074e+06
1.05269519e+02	2023-03-10T18:13:21.308070	6.79761400e-05	-9.00278000e-08	-7.55057216e+02	-4.99945000e-01	-2.72185000e-07	1.83678381e+06	3	6.00317900e-01	4.41879300e-07	1.35855628e+06
1.05997775e+02	2023-03-10T18:13:22.036116	6.79734300e-05	-6.16586600e-08	-1.10241497e+03	-4.99931500e-01	-2.44621000e-07	2.04369821e+06	3	5.49918200e-01	2.44267500e-07	2.25129499e+06
1.06732180e+02	2023-03-10T18:13:22.771162	6.79774800e-05	-3.43699900e-08	-1.97781495e+03	-4.99975100e-01	-2.24870200e-07	2.22339421e+06	3	4.99968300e-01	3.08941700e-07	1.61832572e+06
1.07950907e+02	2023-03-10T18:13:23.989239	4.28737000e-05	-1.45071700e-08	-2.95534553e+03	-4.99941600e-01	-1.98970000e-07	2.51264814e+06	3	4.49979500e-01	1.54601200e-07	2.91058219e+06
1.08732139e+02	2023-03-10T18:13:24.770288	9.30809300e-05	-6.49066900e-09	-1.43407297e+04	-4.99973500e-01	-1.81852500e-07	2.74933531e+06	3	4.00353600e-01	1.67837800e-07	2.38536015e+06
1.09468258e+02	2023-03-10T18:13:25.507334	5.96083700e-05	-1.03486000e-09	-5.76004194e+04	-4.99965100e-01	-1.62858300e-07	3.06993933e+06	3	3.49820200e-01	2.48887700e-07	1.40553430e+06
1.10298839e+02	2023-03-10T18:13:26.337387	8.47080500e-05	1.68316500e-09	5.03266465e+04	-4.99939900e-01	-1.42053700e-07	3.51937260e+06	3	2.99988200e-01	6.46181000e-08	4.64247943e+06
1.10951035e+02	2023-03-10T18:13:26.989428	6.79768000e-05	-3.58128900e-10	-1.89810987e+05	-4.99978500e-01	-1.26916900e-07	3.93941626e+06	3	2.50012500e-01	5.34225700e-08	4.67990402e+06
1.11732462e+02	2023-03-10T18:13:27.771478	1.09811800e-04	2.71899000e-08	4.03869819e+03	-4.99968200e-01	-1.16954900e-07	4.27488032e+06	3	2.00182800e-01	1.93149200e-07	1.03641537e+06
1.12483126e+02	2023-03-10T18:13:28.521525	7.63432700e-05	7.29404800e-08	1.04665160e+03	-4.99950000e-01	-1.68629200e-07	2.96478902e+06	3	1.50102400e-01	6.67704700e-08	2.24803570e+06
1.13373105e+02	2023-03-10T18:13:29.411581	9.30775400e-05	6.66641800e-07	1.39621518e+02	-4.99921600e-01	-7.64261100e-07	6.54124095e+05	3	1.00069500e-01	5.39151800e-08	1.85605427e+06
1.14357397e+02	2023-03-10T18:13:30.395643	7.63432700e-05	3.36284100e-06	2.27020159e+01	-4.99956600e-01	-3.44092800e-06	1.45297025e+05	3	5.00560500e-02	3.81788400e-08	1.31109405e+06
1.15247844e+02	2023-03-10T18:13:31.286700	6.79761400e-05	1.10685000e-05	6.14140489e+00	-4.99958300e-01	-1.23176100e-05	4.05889048e+04	3	1.03783800e-04	6.55900100e-09	1.58231109e+04
1.16389542e+02	2023-03-10T18:13:32.427771	1.01446500e-04	2.92865300e-05	3.46393035e+00	-4.99950000e-01	-2.93759300e-05	1.70190357e+04	3	-4.99270600e-02	-1.29216200e-08	3.86383905e+06
1.17248305e+02	2023-03-10T18:13:33.286825	9.30767000e-05	5.80932200e-05	1.60219557e+00	-4.99978500e-01	-5.84279100e-05	8.55718611e+03	3	-9.98973100e-02	-1.21962900e-08	8.19079491e+06
