Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

3.75419479e+02	2023-03-10T19:01:05.922484	-7.32811000e-06	-1.29018200e-07	5.67990408e+01	-2.99836200e-01	-3.28332800e-07	9.13208184e+05	2	7.99928600e-01	4.59357100e-07	1.74140903e+06
3.75663450e+02	2023-03-10T19:01:06.166501	4.28737000e-05	-8.43415000e-08	-5.08334568e+02	-3.00053700e-01	-2.68288500e-07	1.11839941e+06	2	7.50319000e-01	4.09111000e-07	1.83402304e+06
3.76382807e+02	2023-03-10T19:01:06.885550	9.30783900e-05	-7.13609500e-08	-1.30433227e+03	-2.99965800e-01	-2.28861500e-07	1.31068703e+06	2	7.00050100e-01	2.50933000e-07	2.78978891e+06
3.77117093e+02	2023-03-10T19:01:07.619602	1.01442900e-04	-5.96941300e-08	-1.69937815e+03	-2.99945000e-01	-2.00512500e-07	1.49589178e+06	2	6.50173000e-01	2.02738000e-07	3.20696169e+06
3.77852125e+02	2023-03-10T19:01:08.354653	7.63440100e-05	-4.48545600e-08	-1.70203453e+03	-2.99943000e-01	-1.75898500e-07	1.70520499e+06	2	6.00179800e-01	2.81749400e-07	2.13019016e+06
3.78601608e+02	2023-03-10T19:01:09.104705	1.09810900e-04	-3.49003300e-08	-3.14641437e+03	-2.99901100e-01	-1.53423000e-07	1.95473364e+06	2	5.50090900e-01	1.94416700e-07	2.82944264e+06
3.79507603e+02	2023-03-10T19:01:10.010769	6.79761400e-05	-1.60765400e-08	-4.22828171e+03	-2.99980500e-01	-1.28052900e-07	2.34262949e+06	2	5.00055200e-01	1.45805400e-07	3.42960686e+06
3.80257715e+02	2023-03-10T19:01:10.760820	8.47096200e-05	-1.06493400e-08	-7.95444788e+03	-2.99972400e-01	-1.10588100e-07	2.71251970e+06	2	4.49960400e-01	5.00235700e-08	8.99496777e+06
3.80992203e+02	2023-03-10T19:01:11.495413	1.09812800e-04	-3.35740800e-09	-3.27076125e+04	-2.99938700e-01	-9.81412900e-08	3.05619276e+06	2	4.00247300e-01	1.27744100e-07	3.13319598e+06
3.81726470e+02	2023-03-10T19:01:12.229464	5.12424200e-05	-4.93984400e-11	-1.03732871e+06	-2.99940700e-01	-7.89962800e-08	3.79689651e+06	2	3.50064000e-01	6.54668000e-08	5.34719889e+06
3.82476827e+02	2023-03-10T19:01:12.979516	1.09810900e-04	3.45984700e-10	3.17386578e+05	-2.99978500e-01	-6.70888700e-08	4.47136015e+06	2	3.00266300e-01	8.44900100e-08	3.55386749e+06
3.83616978e+02	2023-03-10T19:01:14.119595	5.96071300e-05	4.27403100e-09	1.39463495e+04	-2.99926200e-01	-4.72775800e-08	6.34394146e+06	2	2.49408500e-01	4.20334400e-08	5.93357336e+06
3.84554837e+02	2023-03-10T19:01:15.057660	5.96077600e-05	1.50019200e-09	3.97334208e+04	-2.99938700e-01	-2.56939700e-08	1.16735055e+07	2	2.00272100e-01	-5.67880900e-08	-3.52665673e+06
3.85679543e+02	2023-03-10T19:01:16.182739	7.63425300e-05	2.55792700e-08	2.98454686e+03	-2.99945000e-01	-1.94661900e-08	1.54085109e+07	2	1.50347000e-01	4.05328800e-09	3.70926024e+07
3.86632854e+02	2023-03-10T19:01:17.135805	7.63432700e-05	1.18872800e-07	6.42226565e+02	-2.99970400e-01	-1.41456600e-07	2.12058257e+06	2	1.00061200e-01	7.22138200e-09	1.38562397e+07
3.87888416e+02	2023-03-10T19:01:18.390893	8.47096200e-05	6.93350600e-07	1.22174294e+02	-2.99911500e-01	-7.00415500e-07	4.28190838e+05	2	4.99329100e-02	5.13213600e-08	9.72945962e+05
3.89054542e+02	2023-03-10T19:01:19.557975	7.63425300e-05	2.58138900e-06	2.95742060e+01	-2.99940700e-01	-2.59719900e-06	1.15486222e+05	2	-2.16824700e-05	2.43131900e-09	-8.91798649e+03
3.89935028e+02	2023-03-10T19:01:20.438035	8.47119800e-05	7.13748200e-06	1.18686086e+01	-2.99953100e-01	-7.17509700e-06	4.18047449e+04	2	-4.99845900e-02	3.06805700e-09	-1.62919366e+07
3.91070301e+02	2023-03-10T19:01:21.573114	7.63432700e-05	1.48709800e-05	5.13370807e+00	-2.99951400e-01	-1.49356300e-05	2.00829426e+04	2	-9.98986600e-02	-4.42730200e-08	2.25642299e+06
