Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

3.62850143e+02	2023-03-10T17:54:45.667292	8.47127700e-05	-9.72109000e-08	-8.71432833e+02	-8.99991100e-01	-7.24015100e-07	1.24305570e+06	2	8.00079800e-01	8.35994000e-07	9.57040122e+05
3.63038309e+02	2023-03-10T17:54:45.855303	7.63425300e-05	-7.57176900e-08	-1.00825223e+03	-8.99924200e-01	-5.63805900e-07	1.59615960e+06	2	7.50091400e-01	6.58970300e-07	1.13827801e+06
3.63976103e+02	2023-03-10T17:54:46.793363	1.09816600e-04	-5.41871200e-08	-2.02661813e+03	-8.99945600e-01	-4.85120600e-07	1.85509665e+06	2	7.00085000e-01	5.52114100e-07	1.26800783e+06
3.64648010e+02	2023-03-10T17:54:47.465405	7.63425300e-05	-4.09396700e-08	-1.86475685e+03	-8.99913600e-01	-4.39949200e-07	2.04549434e+06	2	6.50156600e-01	5.59681400e-07	1.16165483e+06
3.65335583e+02	2023-03-10T17:54:48.153448	4.28737000e-05	-2.30835500e-08	-1.85732697e+03	-8.99986500e-01	-4.14546900e-07	2.17101250e+06	2	6.00171800e-01	5.36368300e-07	1.11895464e+06
3.66194729e+02	2023-03-10T17:54:49.012503	6.79768000e-05	-1.12548800e-08	-6.03976231e+03	-8.99973600e-01	-3.93525800e-07	2.28694942e+06	2	5.50161600e-01	4.10981000e-07	1.33865459e+06
3.66916832e+02	2023-03-10T17:54:49.734548	5.12407300e-05	-5.78946800e-09	-8.85068024e+03	-8.99954800e-01	-3.77805000e-07	2.38206165e+06	2	5.00169000e-01	4.34187600e-07	1.15196519e+06
3.67495999e+02	2023-03-10T17:54:50.313585	4.28752200e-05	-2.66433300e-09	-1.60922903e+04	-8.99953900e-01	-3.56156300e-07	2.52685099e+06	2	4.50077500e-01	4.25299300e-07	1.05826062e+06
3.68227364e+02	2023-03-10T17:54:51.044631	8.47096200e-05	-1.93793900e-09	-4.37111901e+04	-8.99972200e-01	-3.36091600e-07	2.67775868e+06	2	4.00010400e-01	2.63117900e-07	1.52027057e+06
3.68960856e+02	2023-03-10T17:54:51.778677	9.30767000e-05	2.13067000e-09	4.36842402e+04	-8.99906100e-01	-3.19942200e-07	2.81271461e+06	2	3.50319700e-01	3.51950200e-07	9.95367242e+05
3.69696640e+02	2023-03-10T17:54:52.513723	1.77712700e-05	3.41362700e-09	5.20597886e+03	-8.99943200e-01	-2.99832900e-07	3.00148249e+06	2	3.00074200e-01	3.49350800e-07	8.58948083e+05
3.70429550e+02	2023-03-10T17:54:53.246769	5.96083700e-05	2.59838100e-09	2.29405811e+04	-8.99909900e-01	-2.82765700e-07	3.18252850e+06	2	2.50020800e-01	2.22751900e-07	1.12241826e+06
3.71166650e+02	2023-03-10T17:54:53.983816	8.47104100e-05	2.71667100e-08	3.11816963e+03	-8.99953100e-01	-2.71606900e-07	3.31343975e+06	2	2.00400300e-01	2.48379200e-07	8.06832054e+05
3.71898384e+02	2023-03-10T17:54:54.715862	5.12396000e-05	1.02358700e-07	5.00588616e+02	-8.99953900e-01	-3.46248900e-07	2.59915309e+06	2	1.49860800e-01	2.47971100e-07	6.04347845e+05
3.72788940e+02	2023-03-10T17:54:55.606918	5.96090000e-05	7.85185300e-07	7.59171115e+01	-8.99943200e-01	-1.03275000e-06	8.71404696e+05	2	1.00054100e-01	2.18453200e-07	4.58011602e+05
3.73773310e+02	2023-03-10T17:54:56.590981	5.12412900e-05	3.15850700e-06	1.62232631e+01	-8.99953900e-01	-3.39591300e-06	2.65010882e+05	2	5.00747800e-02	1.73842400e-07	2.88046990e+05
3.74445118e+02	2023-03-10T17:54:57.263023	5.12407300e-05	7.91619800e-06	6.47289646e+00	-8.99926500e-01	-8.14132000e-06	1.10538156e+05	2	1.53970700e-04	2.56041300e-07	6.01351032e+02
3.75398310e+02	2023-03-10T17:54:58.216083	5.96065100e-05	1.56941300e-05	3.79801302e+00	-8.99939500e-01	-1.58767100e-05	5.66829967e+04	2	-4.98761900e-02	1.28604600e-07	-3.87825863e+05
3.76091052e+02	2023-03-10T17:54:58.908127	6.79720700e-05	2.65467100e-05	2.56047058e+00	-8.99928900e-01	-2.69153400e-05	3.34355390e+04	2	-9.97969400e-02	2.66685600e-07	-3.74211956e+05
