Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

3.21492543e+02	2023-03-13T16:43:39.810354	7.63410700e-05	-3.47491400e-08	-2.19691969e+03	-2.99928300e-01	-2.60467400e-07	1.15150034e+06	1	1.20019600e+00	3.00004800e-07	4.00058932e+06
3.22367271e+02	2023-03-13T16:43:40.684410	5.12407300e-05	-1.41974700e-08	-3.60914515e+03	-2.99984800e-01	-2.53827900e-07	1.18184329e+06	1	1.15023300e+00	2.82405200e-07	4.07298803e+06
3.23101574e+02	2023-03-13T16:43:41.419456	9.30775400e-05	-9.20217700e-09	-1.01147305e+04	-2.99961700e-01	-2.20137400e-07	1.36261126e+06	1	1.10020000e+00	2.37448300e-07	4.63342968e+06
3.23836822e+02	2023-03-13T16:43:42.154503	1.09812800e-04	-6.00524100e-09	-1.82861604e+04	-2.99953300e-01	-2.19345800e-07	1.36749051e+06	1	1.05015600e+00	2.22544000e-07	4.71886908e+06
3.24570405e+02	2023-03-13T16:43:42.887549	9.30792300e-05	-2.45064600e-09	-3.79815077e+04	-2.99955400e-01	-1.99563900e-07	1.50305441e+06	1	1.00018100e+00	2.22476100e-07	4.49567841e+06
3.25304676e+02	2023-03-13T16:43:43.622596	8.47104100e-05	-3.92621700e-09	-2.15755803e+04	-2.99951400e-01	-1.57889800e-07	1.89975160e+06	1	9.50147600e-01	1.76589200e-07	5.38055328e+06
3.26040545e+02	2023-03-13T16:43:44.357643	7.63410700e-05	-7.32484600e-10	-1.04222082e+05	-2.99949000e-01	-1.46138000e-07	2.05250517e+06	1	9.00108400e-01	1.35796400e-07	6.62836717e+06
3.26773466e+02	2023-03-13T16:43:45.090690	6.79741100e-05	1.23231200e-08	5.51598215e+03	-2.99966000e-01	-1.35602700e-07	2.21209460e+06	1	8.50079300e-01	1.42808500e-07	5.95258195e+06
3.27524884e+02	2023-03-13T16:43:45.842738	9.30758600e-05	4.16053700e-08	2.23711170e+03	-2.99932600e-01	-1.49102500e-07	2.01158666e+06	1	8.00121600e-01	1.02429400e-07	7.81144476e+06
3.28414590e+02	2023-03-13T16:43:46.731794	5.96077600e-05	2.22368500e-07	2.68058471e+02	-2.99936600e-01	-2.91919400e-07	1.02746375e+06	1	7.50138200e-01	7.42566800e-08	1.01019625e+07
3.29132811e+02	2023-03-13T16:43:47.449839	5.12418500e-05	7.30579800e-07	7.01386077e+01	-2.99961700e-01	-7.70049800e-07	3.89535456e+05	1	7.00140000e-01	5.15812600e-08	1.35735343e+07
3.30117079e+02	2023-03-13T16:43:48.434902	9.30800700e-05	1.74282200e-06	5.34076744e+01	-2.99945000e-01	-1.79147800e-06	1.67428793e+05	1	6.50182400e-01	4.23389700e-08	1.53565946e+07
3.30790608e+02	2023-03-13T16:43:49.107944	9.30767000e-05	3.95812500e-06	2.35153513e+01	-2.99964000e-01	-4.05103900e-06	7.40461891e+04	1	6.00183800e-01	2.11202400e-08	2.84174706e+07
3.31648452e+02	2023-03-13T16:43:49.965999	9.30775400e-05	8.21432700e-06	1.13311218e+01	-2.99957400e-01	-8.28507700e-06	3.62045398e+04	1	5.50166200e-01	1.28197800e-08	4.29154166e+07
3.32790578e+02	2023-03-13T16:43:51.108071	1.09814700e-04	1.37504100e-05	7.98628550e+00	-2.99957700e-01	-1.38944700e-05	2.15882794e+04	1	5.00155700e-01	2.57274500e-09	1.94405470e+08
3.33491798e+02	2023-03-13T16:43:51.809115	6.79761400e-05	2.23768400e-05	3.03778996e+00	-2.99940900e-01	-2.25257800e-05	1.33154501e+04	1	4.50118600e-01	-3.86878200e-09	-1.16346333e+08
3.34351552e+02	2023-03-13T16:43:52.669170	1.01445600e-04	3.30400200e-05	3.07038555e+00	-2.99947000e-01	-3.31093200e-05	9.05929207e+03	1	4.00127500e-01	-8.59033600e-09	-4.65787951e+07
3.35210952e+02	2023-03-13T16:43:53.528225	9.30775400e-05	4.52751400e-05	2.05582004e+00	-2.99978200e-01	-4.52590600e-05	6.62802542e+03	1	3.50139300e-01	-1.21116000e-08	-2.89094174e+07
3.36086219e+02	2023-03-13T16:43:54.403281	5.96083700e-05	5.94430200e-05	1.00278166e+00	-2.99919900e-01	-5.91121800e-05	5.07374115e+03	1	3.00057100e-01	-1.09678100e-08	-2.73579776e+07
