Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

2.34555548e+02	2023-03-16T20:42:18.861076	2.10219100e-04	-2.76473200e-07	-7.60359774e+02	-4.99975000e-01	-6.00847700e-07	8.32116025e+05	2	1.00011200e+00	6.41476700e-07	1.55907767e+06
2.34760853e+02	2023-03-16T20:42:19.066088	5.12407300e-05	-1.69213300e-07	-3.02817391e+02	-4.99966700e-01	-4.94677300e-07	1.01069263e+06	2	9.50076400e-01	5.65600200e-07	1.67976673e+06
2.35452849e+02	2023-03-16T20:42:19.758134	2.10215800e-04	-2.33784300e-07	-8.99186986e+02	-4.99938300e-01	-4.64974800e-07	1.07519440e+06	2	9.00107100e-01	6.86552500e-07	1.31105356e+06
2.36155712e+02	2023-03-16T20:42:20.461178	7.63403400e-05	-2.17290800e-07	-3.51327990e+02	-4.99970100e-01	-4.28095000e-07	1.16789521e+06	2	8.50188500e-01	7.98624900e-07	1.06456548e+06
2.36845071e+02	2023-03-16T20:42:21.151223	-1.56950200e-05	-9.12785900e-08	1.71946346e+02	-4.99939900e-01	-4.00735400e-07	1.24755612e+06	2	8.00032600e-01	5.18512600e-07	1.54293763e+06
2.37682023e+02	2023-03-16T20:42:21.987876	6.79754600e-05	-7.16842300e-08	-9.48262400e+02	-4.99934900e-01	-3.79159900e-07	1.31853316e+06	2	7.50170000e-01	4.41028600e-07	1.70095545e+06
2.38259761e+02	2023-03-16T20:42:22.565913	7.63418000e-05	-4.84573800e-08	-1.57544217e+03	-4.99941600e-01	-3.59077900e-07	1.39229287e+06	2	7.00230400e-01	5.10934800e-07	1.37048876e+06
2.38983692e+02	2023-03-16T20:42:23.288960	1.18179000e-04	-1.09928700e-07	-1.07505137e+03	-4.99873100e-01	-3.40477500e-07	1.46815311e+06	2	6.50419100e-01	4.21810900e-07	1.54196845e+06
2.40402986e+02	2023-03-16T20:42:24.709050	2.10219100e-04	-1.11735100e-07	-1.88140611e+03	-4.99950000e-01	-3.22491800e-07	1.55027198e+06	2	5.99833700e-01	2.60683900e-07	2.30100018e+06
2.41478899e+02	2023-03-16T20:42:25.785120	2.26955200e-04	-2.65363200e-08	-8.55262523e+03	-4.99926500e-01	-3.01979800e-07	1.65549649e+06	2	5.50041700e-01	4.33751000e-07	1.26810474e+06
2.42432025e+02	2023-03-16T20:42:26.738181	5.19790500e-04	-7.95729400e-09	-6.53225204e+04	-4.99931600e-01	-2.81482200e-07	1.77606826e+06	2	4.99702200e-01	1.43661500e-07	3.47833066e+06
2.43682228e+02	2023-03-16T20:42:27.988262	4.69602100e-04	-1.19900200e-08	-3.91660815e+04	-4.99990200e-01	-2.63859200e-07	1.89491289e+06	2	4.50319400e-01	2.56657500e-07	1.75455383e+06
2.44416512e+02	2023-03-16T20:42:28.722308	-7.42658400e-05	1.66915800e-08	-4.44929959e+03	-4.99931500e-01	-2.43786300e-07	2.05069563e+06	2	4.00573200e-01	4.98675800e-07	8.03273790e+05
2.45152204e+02	2023-03-16T20:42:29.458355	-9.93676100e-05	4.22616600e-09	-2.35124721e+04	-4.99975100e-01	-2.17932700e-07	2.29417201e+06	2	3.50095200e-01	4.08350600e-07	8.57339747e+05
2.46416526e+02	2023-03-16T20:42:30.722436	4.28752200e-05	8.12396400e-09	5.27762309e+03	-4.99958300e-01	-1.96529500e-07	2.54393513e+06	2	3.00239100e-01	2.50211700e-07	1.19994029e+06
2.47166435e+02	2023-03-16T20:42:31.472485	1.43279200e-04	8.66204500e-09	1.65410362e+04	-4.99924900e-01	-1.75201100e-07	2.85343471e+06	2	2.50009100e-01	9.10001600e-08	2.74734792e+06
2.47916778e+02	2023-03-16T20:42:32.222532	1.77726200e-05	7.47227700e-08	2.37847446e+02	-4.99921600e-01	-1.96177200e-07	2.54831652e+06	2	1.99630700e-01	1.57648000e-07	1.26630658e+06
2.49338386e+02	2023-03-16T20:42:33.644624	5.96071300e-05	5.72685900e-07	1.04083460e+02	-4.99939900e-01	-7.27820900e-07	6.86899620e+05	2	1.50150600e-01	1.23428400e-07	1.21649961e+06
2.50479148e+02	2023-03-16T20:42:34.784697	8.47104100e-05	3.48631200e-06	2.42980003e+01	-4.99960000e-01	-3.65518900e-06	1.36780889e+05	2	1.00072200e-01	4.78375400e-08	2.09191777e+06
