Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

2.98091017e+02	2023-03-16T20:19:55.223844	-5.75309800e-05	-2.74872100e-07	2.09300908e+02	-4.99931500e-01	-6.99089100e-07	7.15118431e+05	3	9.99986800e-01	1.04579400e-06	9.56198640e+05
2.98284628e+02	2023-03-16T20:19:55.417855	5.75311400e-05	-2.63974700e-07	-2.17941871e+02	-4.99950000e-01	-6.09315100e-07	8.20511423e+05	3	9.50164900e-01	6.73707600e-07	1.41035206e+06
2.99196533e+02	2023-03-16T20:19:56.329908	2.35317100e-04	-1.91467900e-07	-1.22901593e+03	-4.99923200e-01	-5.45617200e-07	9.16252640e+05	3	9.00157200e-01	8.12136300e-07	1.10838193e+06
2.99913378e+02	2023-03-16T20:19:57.046949	3.45080300e-05	-2.26702700e-07	-1.52217111e+02	-4.99928300e-01	-4.96422600e-07	1.00706193e+06	3	8.50087600e-01	6.58568000e-07	1.29081219e+06
3.00551670e+02	2023-03-16T20:19:57.684986	6.79747800e-05	-1.03335800e-07	-6.57804749e+02	-4.99936500e-01	-4.61612000e-07	1.08302319e+06	3	8.00163500e-01	6.82537000e-07	1.17233718e+06
3.01373981e+02	2023-03-16T20:19:58.507033	9.30741700e-05	-2.03403500e-07	-4.57583916e+02	-4.99898100e-01	-4.36428600e-07	1.14542929e+06	3	7.50042700e-01	6.43655900e-07	1.16528521e+06
3.02078573e+02	2023-03-16T20:19:59.212075	4.28742100e-05	-1.66869600e-07	-2.56932419e+02	-4.99960000e-01	-4.10343300e-07	1.21839445e+06	3	7.00185400e-01	7.29991300e-07	9.59169513e+05
3.02782993e+02	2023-03-16T20:19:59.916114	-7.42666800e-05	-6.71386300e-08	1.10616913e+03	-4.99938300e-01	-3.93161000e-07	1.27158670e+06	3	6.50322800e-01	7.65980100e-07	8.49007435e+05
3.03639991e+02	2023-03-16T20:20:00.773164	-7.42655600e-05	-5.79799300e-08	1.28088392e+03	-4.99966600e-01	-3.71420000e-07	1.34609499e+06	3	6.00121800e-01	5.82824300e-07	1.02967876e+06
3.04412690e+02	2023-03-16T20:20:01.546209	-5.75311400e-05	-4.87148400e-08	1.18097771e+03	-4.99980100e-01	-3.46007900e-07	1.44499620e+06	3	5.50078800e-01	4.63487100e-07	1.18682656e+06
3.04941098e+02	2023-03-16T20:20:02.074239	-3.24295200e-05	-4.57114500e-08	7.09439757e+02	-4.99970100e-01	-3.19609200e-07	1.56431698e+06	3	5.00200700e-01	4.97372700e-07	1.00568588e+06
3.05575956e+02	2023-03-16T20:20:02.709276	5.96077600e-05	-6.07376900e-08	-9.81396560e+02	-4.99940000e-01	-2.92738500e-07	1.70780406e+06	3	4.50140700e-01	5.68936300e-07	7.91197011e+05
3.06251116e+02	2023-03-16T20:20:03.384314	1.76748900e-04	-5.09341400e-08	-3.47014596e+03	-4.99950000e-01	-2.70802700e-07	1.84617805e+06	3	3.99812000e-01	4.66326300e-07	8.57365326e+05
3.07172631e+02	2023-03-16T20:20:04.305367	1.18179000e-04	-1.22323000e-08	-9.66122479e+03	-4.99948300e-01	-2.45102200e-07	2.03975444e+06	3	3.49899100e-01	2.17920000e-07	1.60563097e+06
3.07921357e+02	2023-03-16T20:20:05.054411	5.12407300e-05	1.06794800e-08	4.79805477e+03	-4.99943300e-01	-2.18638600e-07	2.28661956e+06	3	3.00291400e-01	2.97293400e-07	1.01008431e+06
3.08671465e+02	2023-03-16T20:20:05.804454	1.77729600e-05	1.81641300e-08	9.78464699e+02	-4.99976700e-01	-1.90293900e-07	2.62739215e+06	3	2.49950500e-01	4.32731800e-07	5.77610659e+05
3.09832410e+02	2023-03-16T20:20:06.965520	1.77726200e-05	-2.78210400e-09	-6.38819397e+03	-4.99921600e-01	-1.77129300e-07	2.82235407e+06	3	1.99962600e-01	-4.40744600e-08	-4.53692683e+06
3.10907004e+02	2023-03-16T20:20:08.040583	2.61408300e-05	2.50845800e-07	1.04210754e+02	-4.99960100e-01	-4.08027900e-07	1.22530861e+06	3	1.50756900e-01	1.11775000e-07	1.34875330e+06
3.11796559e+02	2023-03-16T20:20:08.929634	5.12401700e-05	1.57191700e-06	3.25972491e+01	-4.99966700e-01	-2.20523300e-06	2.26718310e+05	3	1.00051500e-01	1.25832800e-07	7.95114628e+05
