Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

1.53208639e+02	2023-03-16T18:56:09.606065	2.01847200e-04	-4.93485800e-08	-4.09023319e+03	-4.99941600e-01	-8.71987500e-06	5.73335742e+04	1	1.00020800e+00	9.03857800e-06	1.10659885e+05
1.53722697e+02	2023-03-16T18:56:10.120197	-7.42652800e-05	-1.12700800e-07	6.58959652e+02	-4.99934900e-01	-7.84754400e-06	6.37059059e+04	1	9.50164900e-01	7.85766500e-06	1.20922042e+05
1.54280414e+02	2023-03-16T18:56:10.678229	-1.66307500e-04	-6.33415200e-08	2.62556851e+03	-4.99951600e-01	-7.21574100e-06	6.92862452e+04	1	9.00140400e-01	7.14773100e-06	1.25933726e+05
1.54999553e+02	2023-03-16T18:56:11.397271	-6.58990200e-05	-3.70213900e-08	1.78002555e+03	-4.99946500e-01	-6.52994700e-06	7.65621069e+04	1	8.50096100e-01	6.41945700e-06	1.32424923e+05
1.55562146e+02	2023-03-16T18:56:11.960302	-3.67124500e-04	-9.59725400e-09	3.82530774e+04	-4.99973400e-01	-5.92247700e-06	8.44196440e+04	1	8.00094200e-01	6.10678400e-06	1.31017275e+05
1.56108541e+02	2023-03-16T18:56:12.506334	8.47088300e-05	1.78197000e-08	4.75366196e+03	-4.99983500e-01	-5.35666700e-06	9.33385443e+04	1	7.50059500e-01	5.32042500e-06	1.40977366e+05
1.56655772e+02	2023-03-16T18:56:13.053366	4.94700200e-04	-2.40035200e-08	-2.06094856e+04	-4.99971700e-01	-4.85925000e-06	1.02890714e+05	1	7.00132600e-01	4.66025600e-06	1.50234794e+05
1.57207000e+02	2023-03-16T18:56:13.604398	-3.58750500e-04	-1.57744400e-09	2.27425189e+05	-4.99919900e-01	-4.33704500e-06	1.15267400e+05	1	6.50156600e-01	4.38222200e-06	1.48362315e+05
1.57765241e+02	2023-03-16T18:56:14.163429	-2.49981300e-04	1.59262500e-08	-1.56961808e+04	-4.99949900e-01	-3.89983600e-06	1.28197673e+05	1	6.00117500e-01	4.00350500e-06	1.49898027e+05
1.58608843e+02	2023-03-16T18:56:15.006478	5.12418500e-05	1.42161900e-08	3.60447138e+03	-4.99963200e-01	-3.37619900e-06	1.48084636e+05	1	5.50163300e-01	3.23806700e-06	1.69904854e+05
1.59296099e+02	2023-03-16T18:56:15.693518	2.10219100e-04	-2.56794400e-09	-8.18628054e+04	-4.99936500e-01	-2.91734400e-06	1.71367004e+05	1	5.00242600e-01	3.00101600e-06	1.66691081e+05
1.59983640e+02	2023-03-16T18:56:16.381557	-5.75318200e-05	3.54441900e-09	-1.62316645e+04	-4.99938300e-01	-2.38686200e-06	2.09454212e+05	1	4.50141400e-01	2.54435600e-06	1.76917617e+05
1.60677176e+02	2023-03-16T18:56:17.074597	1.01444700e-04	-6.94521200e-09	-1.46064224e+04	-4.99976800e-01	-1.87363400e-06	2.66848702e+05	1	4.00096400e-01	1.90751600e-06	2.09747336e+05
1.61380361e+02	2023-03-16T18:56:17.778638	9.30809300e-05	1.70833600e-10	5.44863130e+05	-4.99990200e-01	-1.47664700e-06	3.38598324e+05	1	3.50074700e-01	1.50088800e-06	2.33245052e+05
1.62264997e+02	2023-03-16T18:56:18.662689	7.63396100e-05	2.17026100e-07	3.51753130e+02	-4.99973400e-01	-1.20296700e-06	4.15616887e+05	1	3.00065200e-01	1.16552700e-06	2.57450235e+05
1.63171155e+02	2023-03-16T18:56:19.568741	4.28721800e-05	1.40774700e-06	3.04544638e+01	-4.99953300e-01	-2.11801800e-06	2.36047711e+05	1	2.50072700e-01	6.18079400e-07	4.04596400e+05
1.63984088e+02	2023-03-16T18:56:20.381788	8.47104100e-05	6.01295300e-06	1.40879880e+01	-4.99960100e-01	-6.35236600e-06	7.87045488e+04	1	2.00153400e-01	4.46289200e-07	4.48483629e+05
1.64937221e+02	2023-03-16T18:56:21.334843	9.30775400e-05	1.71624100e-05	5.42333740e+00	-4.99960000e-01	-1.74532700e-05	2.86456349e+04	1	1.50120100e-01	2.68178000e-07	5.59777834e+05
1.65608956e+02	2023-03-16T18:56:22.006881	9.30775400e-05	3.84647600e-05	2.41981336e+00	-4.99981800e-01	-3.92925000e-05	1.27246116e+04	1	1.00071500e-01	1.29854800e-07	7.70641517e+05
