Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

6.80246962e-01	2023-03-16T19:34:43.747205	7.63425300e-05	-7.06819000e-07	-1.08008599e+02	-6.99900100e-01	-1.63711700e-06	4.27519902e+05	1	1.00016100e+00	2.13495600e-06	4.68469139e+05
2.17323461e+00	2023-03-16T19:34:45.238114	6.79768000e-05	-4.99290600e-07	-1.36146765e+02	-6.99883400e-01	-1.21101600e-06	5.77930762e+05	1	9.50204200e-01	1.70189300e-06	5.58321939e+05
2.82821265e+00	2023-03-16T19:34:45.900570	-5.75304700e-05	-3.49728700e-07	1.64500283e+02	-6.99904800e-01	-1.02847300e-06	6.80528123e+05	1	9.00212000e-01	1.29446000e-06	6.95434390e+05
3.65833984e+00	2023-03-16T19:34:46.725281	5.96083700e-05	-2.49146900e-07	-2.39249896e+02	-6.99915700e-01	-9.16119800e-07	7.64000189e+05	1	8.50138200e-01	1.17079300e-06	7.26121697e+05
4.34556775e+00	2023-03-16T19:34:47.414295	-4.07966200e-05	-3.50574800e-07	1.16370658e+02	-6.99907300e-01	-8.38014900e-07	8.35196725e+05	1	8.00141400e-01	1.28950800e-06	6.20501307e+05
5.03552121e+00	2023-03-16T19:34:48.108209	-8.26331000e-05	-2.08738600e-07	3.95868804e+02	-6.99887000e-01	-7.73634500e-07	9.04673977e+05	1	7.50098100e-01	1.03603200e-06	7.24010552e+05
5.74336874e+00	2023-03-16T19:34:48.814238	2.01847200e-04	-1.58823200e-07	-1.27089241e+03	-6.99886000e-01	-7.30530500e-07	9.58051717e+05	1	7.00094500e-01	1.05789800e-06	6.61778829e+05
6.40682619e+00	2023-03-16T19:34:49.475120	1.77736400e-05	-2.35422900e-07	-7.54966488e+01	-6.99845200e-01	-6.84014800e-07	1.02314336e+06	1	6.50168900e-01	9.00252600e-07	7.22207189e+05
7.09812963e+00	2023-03-16T19:34:50.165123	5.12412900e-05	-9.63801000e-08	-5.31658403e+02	-6.99924700e-01	-6.50562900e-07	1.07587552e+06	1	6.00097000e-01	6.40725300e-07	9.36590142e+05
7.78155270e+00	2023-03-16T19:34:50.852604	5.96077600e-05	-1.56157000e-07	-3.81716862e+02	-6.99908500e-01	-6.16287400e-07	1.13568523e+06	1	5.50136500e-01	7.56106000e-07	7.27591766e+05
8.45381860e+00	2023-03-16T19:34:51.528353	8.47072500e-05	-1.07829600e-07	-7.85565837e+02	-6.99892800e-01	-5.85382100e-07	1.19561702e+06	1	5.00187500e-01	7.11110800e-07	7.03388980e+05
9.82853999e+00	2023-03-16T19:34:52.902440	9.30741700e-05	-4.06721500e-08	-2.28840054e+03	-6.99929900e-01	-5.49058800e-07	1.27478132e+06	1	4.50073800e-01	6.99209000e-07	6.43689941e+05
1.06880836e+01	2023-03-16T19:34:53.762496	-7.42661100e-05	-3.03567100e-08	2.44644792e+03	-6.99912100e-01	-5.08567600e-07	1.37624202e+06	1	4.00197100e-01	4.52650700e-07	8.84119035e+05
1.13755017e+01	2023-03-16T19:34:54.449540	1.60012100e-04	-3.14595300e-08	-5.08628387e+03	-6.99878700e-01	-4.73727300e-07	1.47738731e+06	1	3.50556200e-01	4.74314100e-07	7.39080285e+05
1.20958563e+01	2023-03-16T19:34:55.169586	7.63447300e-05	2.10044200e-09	3.63469832e+04	-6.99957600e-01	-4.33791400e-07	1.61358109e+06	1	2.99802200e-01	2.71876000e-07	1.10271668e+06
1.28130991e+01	2023-03-16T19:34:55.887632	5.12412900e-05	-3.12397600e-08	-1.64025876e+03	-6.99926300e-01	-4.18328400e-07	1.67315033e+06	1	2.50126200e-01	3.49596000e-07	7.15472145e+05
1.35326387e+01	2023-03-16T19:34:56.606678	9.30741700e-05	1.40816800e-07	6.60959275e+02	-6.99934600e-01	-5.14901700e-07	1.35935578e+06	1	2.00152400e-01	3.71929700e-07	5.38145784e+05
1.43921830e+01	2023-03-16T19:34:57.466733	6.79761400e-05	1.01327800e-06	6.70853803e+01	-6.99873900e-01	-1.38316200e-06	5.05995610e+05	1	1.50124500e-01	3.62005000e-07	4.14702836e+05
1.52401042e+01	2023-03-16T19:34:58.314787	6.79747800e-05	4.71640300e-06	1.44124198e+01	-6.99903700e-01	-5.17844500e-06	1.35157118e+05	1	1.00086300e-01	3.57034700e-07	2.80326534e+05
