Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

5.45345030e+02	2023-03-16T18:32:55.856397	-2.40625000e-05	-1.93908400e-07	1.24092097e+02	-9.99059800e-02	-4.36167800e-07	2.29054002e+05	1	1.00015900e+00	4.38046600e-07	2.28322512e+06
5.45859808e+02	2023-03-16T18:32:56.370429	1.18179000e-04	-1.16299600e-07	-1.01615999e+03	-9.99407900e-02	-4.68589400e-07	2.13280091e+05	1	9.50170700e-01	6.71989100e-07	1.41396743e+06
5.46406054e+02	2023-03-16T18:32:56.916464	1.77736400e-05	-1.60878600e-07	-1.10478584e+02	-9.99665700e-02	-4.24704600e-07	2.35379061e+05	1	9.00164700e-01	6.15076500e-07	1.46350039e+06
5.47113097e+02	2023-03-16T18:32:57.623511	1.09809000e-04	-1.15835300e-07	-9.47975272e+02	-9.99903200e-02	-3.81607500e-07	2.62023991e+05	1	8.50012000e-01	5.76588900e-07	1.47420805e+06
5.47957135e+02	2023-03-16T18:32:58.467565	7.63418000e-05	-4.20166100e-08	-1.81694335e+03	-9.99184000e-02	-3.38778700e-07	2.94937078e+05	1	8.00207700e-01	5.02744500e-07	1.59167868e+06
5.48998988e+02	2023-03-16T18:32:59.509631	1.01442900e-04	-4.23231800e-08	-2.39686385e+03	-9.99053100e-02	-2.91290000e-07	3.42975420e+05	1	7.50134900e-01	1.93946700e-07	3.86773737e+06
5.50077311e+02	2023-03-16T18:33:00.588700	9.40532100e-06	-6.45017800e-08	-1.45814906e+02	-9.99749300e-02	-2.47571900e-07	4.03821799e+05	1	6.99919900e-01	1.02235600e-07	6.84614655e+06
5.51499393e+02	2023-03-16T18:33:02.010791	1.51648800e-04	-7.95987500e-08	-1.90516560e+03	-9.99317600e-02	-2.06881200e-07	4.83039348e+05	1	6.50127100e-01	5.57699500e-08	1.16573011e+07
5.52577438e+02	2023-03-16T18:33:03.087860	-6.58990200e-05	-4.98899000e-08	1.32088900e+03	-9.99561800e-02	-1.69050600e-07	5.91279652e+05	1	5.99870900e-01	1.74586900e-07	3.43594451e+06
5.54343107e+02	2023-03-16T18:33:04.853974	9.30750000e-05	-4.37982800e-08	-2.12508345e+03	-9.99575300e-02	-1.32955700e-07	7.51810791e+05	1	5.50317700e-01	3.66914100e-07	1.49985433e+06
5.55405548e+02	2023-03-16T18:33:05.916041	4.36111300e-04	-4.79391900e-08	-9.09717707e+03	-9.99073300e-02	-1.05978500e-07	9.42713192e+05	1	5.00793000e-01	2.16573500e-07	2.31234662e+06
5.56312692e+02	2023-03-16T18:33:06.824100	3.94288800e-04	1.19144300e-09	3.30933834e+05	-9.99086800e-02	-7.39255400e-08	1.35147718e+06	1	4.50263200e-01	3.42995900e-07	1.31273639e+06
5.57047077e+02	2023-03-16T18:33:07.557716	-3.50383400e-04	1.99708100e-08	-1.75447766e+04	-9.99143500e-02	-4.02786100e-08	2.48058088e+06	1	3.99985000e-01	-2.15031300e-07	-1.86012455e+06
5.57796064e+02	2023-03-16T18:33:08.306764	4.36130200e-04	-2.35079400e-08	-1.85524636e+04	-9.99561800e-02	-1.82013000e-08	5.49170554e+06	1	3.49977800e-01	-8.59121500e-08	-4.07367060e+06
5.58718068e+02	2023-03-16T18:33:09.228822	9.30767000e-05	-1.76207000e-08	-5.28223623e+03	-9.99310800e-02	-3.39756400e-09	2.94125674e+07	1	3.00257900e-01	-5.22631900e-08	-5.74511238e+06
5.59452433e+02	2023-03-16T18:33:09.963869	4.19389800e-04	2.44859100e-08	1.71278013e+04	-9.99407900e-02	3.54076600e-09	-2.82257540e+07	1	2.49813400e-01	1.71652400e-07	1.45534464e+06
5.60530741e+02	2023-03-16T18:33:11.041940	5.96083700e-05	4.85856800e-08	1.22687117e+03	-9.99157000e-02	4.92083100e-09	-2.03046396e+07	1	1.99894400e-01	3.26329700e-08	6.12553500e+06
5.61780419e+02	2023-03-16T18:33:12.291019	1.93478600e-04	3.18768600e-08	6.06956269e+03	-9.99317600e-02	1.08165800e-09	-9.23875754e+07	1	1.50325200e-01	6.74583900e-08	2.22841369e+06
5.62843216e+02	2023-03-16T18:33:13.354087	1.26545000e-04	6.47866100e-08	1.95325855e+03	-9.99484900e-02	-3.55049900e-08	2.81505473e+06	1	1.00413800e-01	1.75462300e-07	5.72281339e+05
