Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

2.47482661e+02	2023-03-16T18:12:53.700855	2.01848800e-04	-2.80674800e-07	-7.19155407e+02	-8.99914400e-01	-5.04388400e-06	1.78416950e+05	2	1.00021100e+00	5.31408200e-06	1.88218962e+05
2.47639036e+02	2023-03-16T18:12:53.856865	-7.42647100e-05	-2.58611200e-07	2.87167416e+02	-8.99985000e-01	-1.99004100e-06	4.52244451e+05	2	9.50170700e-01	2.29483100e-06	4.14048224e+05
2.48467518e+02	2023-03-16T18:12:54.685919	2.18586300e-04	-1.36750600e-07	-1.59843028e+03	-8.99944200e-01	-8.95082000e-07	1.00543213e+06	2	9.00078200e-01	1.17221000e-06	7.67847229e+05
2.49139408e+02	2023-03-16T18:12:55.356962	2.61404400e-05	-1.67832300e-07	-1.55753332e+02	-8.99941000e-01	-5.96649400e-07	1.50832465e+06	2	8.50107500e-01	6.67596400e-07	1.27338539e+06
2.49811939e+02	2023-03-16T18:12:56.030005	1.01445600e-04	-1.48433300e-07	-6.83442327e+02	-8.99938700e-01	-4.87758200e-07	1.84505089e+06	2	8.00110400e-01	8.12317200e-07	9.84972865e+05
2.50483097e+02	2023-03-16T18:12:56.701048	5.96071300e-05	-4.39858200e-08	-1.35514423e+03	-8.99934900e-01	-4.39979900e-07	2.04540003e+06	2	7.50037800e-01	6.14426900e-07	1.22071120e+06
2.51498887e+02	2023-03-16T18:12:57.717113	2.68789500e-04	-4.49957600e-08	-5.97366285e+03	-8.99957700e-01	-4.00814900e-07	2.24531997e+06	2	6.99993100e-01	5.97311000e-07	1.17190726e+06
2.52373980e+02	2023-03-16T18:12:58.592170	-3.24295200e-05	-3.15308300e-08	1.02850195e+03	-8.99938000e-01	-3.75142800e-07	2.39892116e+06	2	6.50243100e-01	5.58453600e-07	1.16436370e+06
2.53155052e+02	2023-03-16T18:12:59.373219	-1.32836700e-04	-6.17655400e-08	2.15066038e+03	-8.99949300e-01	-3.52501600e-07	2.55303607e+06	2	6.00092400e-01	2.21372800e-07	2.71077748e+06
2.54065625e+02	2023-03-16T18:13:00.283278	3.45071300e-05	1.39056200e-08	2.48152402e+03	-8.99981300e-01	-3.31435900e-07	2.71540078e+06	2	5.50103900e-01	5.77021400e-07	9.53350950e+05
2.55108509e+02	2023-03-16T18:13:01.326345	5.03078100e-04	-3.19209400e-08	-1.57601280e+04	-8.99921300e-01	-3.13263200e-07	2.87273226e+06	2	4.99827700e-01	6.84585000e-08	7.30117809e+06
2.55842858e+02	2023-03-16T18:13:02.061391	4.02661700e-04	7.16179300e-09	5.62235881e+04	-8.99974400e-01	-2.97092700e-07	3.02927134e+06	2	4.50146800e-01	2.69506300e-07	1.67026448e+06
2.56577264e+02	2023-03-16T18:13:02.795438	-3.16916400e-04	2.28093400e-08	-1.38941504e+04	-8.99960000e-01	-2.78009400e-07	3.23715673e+06	2	4.00236200e-01	2.92075700e-07	1.37031667e+06
2.57827158e+02	2023-03-16T18:13:04.045519	3.35717100e-04	-2.49689600e-08	-1.34453778e+04	-8.99943200e-01	-2.55472900e-07	3.52265622e+06	2	3.49593300e-01	4.15836300e-08	8.40699333e+06
2.58561594e+02	2023-03-16T18:13:04.779596	4.27763100e-04	5.87043500e-09	7.28673599e+04	-8.99922800e-01	-2.29886900e-07	3.91463280e+06	2	3.01045900e-01	1.52113500e-07	1.97908733e+06
2.59300996e+02	2023-03-16T18:13:05.518656	-1.99773600e-04	2.47569500e-08	-8.06939465e+03	-8.99943200e-01	-1.97865800e-07	4.54825038e+06	2	2.50546100e-01	4.37526900e-07	5.72641591e+05
2.60030477e+02	2023-03-16T18:13:06.248704	-2.16509300e-04	1.21675700e-08	-1.77939638e+04	-8.99979100e-01	-1.64207100e-07	5.48075631e+06	2	1.99788300e-01	4.96170000e-07	4.02660983e+05
2.60764788e+02	2023-03-16T18:13:06.982750	2.77150400e-04	-2.60541200e-10	-1.06374884e+06	-8.99966100e-01	-1.41607900e-07	6.35533823e+06	2	1.49819000e-01	-8.62363700e-08	-1.73730643e+06
2.61499106e+02	2023-03-16T18:13:07.716797	3.02251500e-04	2.94062900e-08	1.02784642e+04	-8.99949300e-01	-1.31583100e-07	6.83939883e+06	2	9.95857000e-02	7.32399700e-08	1.35971792e+06
