Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

6.01879606e+01	2023-04-06T16:09:41.853392	9.30775400e-05	-2.49626300e-07	-3.72867522e+02	-6.99929900e-01	-4.75132600e-07	1.47312540e+06	2	1.00014900e+00	9.15645700e-07	1.09228821e+06
6.03290656e+01	2023-04-06T16:09:41.994403	9.30775400e-05	-2.27059000e-07	-4.09926671e+02	-6.99909500e-01	-4.01678200e-07	1.74246325e+06	2	9.50078700e-01	4.90806300e-07	1.93575082e+06
6.11575549e+01	2023-04-06T16:09:42.822467	6.79754600e-05	-2.10388800e-07	-3.23094480e+02	-6.99943000e-01	-3.53572400e-07	1.97963133e+06	2	9.00101000e-01	6.11971900e-07	1.47082080e+06
6.17202676e+01	2023-04-06T16:09:43.385509	7.63432700e-05	-1.97232300e-07	-3.87072858e+02	-6.99939300e-01	-3.28814600e-07	2.12867464e+06	2	8.50071800e-01	5.91462000e-07	1.43723823e+06
6.22829413e+01	2023-04-06T16:09:43.948552	5.12418500e-05	-1.85132800e-07	-2.76784287e+02	-6.99921500e-01	-3.15386300e-07	2.21925144e+06	2	8.00149700e-01	5.35199800e-07	1.49504858e+06
6.29853855e+01	2023-04-06T16:09:44.650605	6.79734300e-05	-1.69808300e-07	-4.00295097e+02	-6.99899000e-01	-3.05898800e-07	2.28800832e+06	2	7.50108100e-01	6.51797200e-07	1.15083050e+06
6.36914823e+01	2023-04-06T16:09:45.356659	7.63425300e-05	-1.50860800e-07	-5.06046170e+02	-6.99878700e-01	-2.94360900e-07	2.37762114e+06	2	7.00127000e-01	4.86258500e-07	1.43982470e+06
6.43918914e+01	2023-04-06T16:09:46.056712	1.01445600e-04	-1.29543300e-07	-7.83101866e+02	-6.99888100e-01	-2.83373700e-07	2.46984141e+06	2	6.50419900e-01	4.82660400e-07	1.34757254e+06
6.51108322e+01	2023-04-06T16:09:46.775767	5.96090000e-05	-1.01503900e-07	-5.87258224e+02	-6.99892800e-01	-2.74537500e-07	2.54935227e+06	2	6.00431400e-01	3.49958200e-07	1.71572319e+06
6.61739396e+01	2023-04-06T16:09:47.838849	9.30767000e-05	-6.28507200e-08	-1.48091700e+03	-6.99917900e-01	-2.63604700e-07	2.65517990e+06	2	5.50241500e-01	3.73158000e-07	1.47455367e+06
6.68918459e+01	2023-04-06T16:09:48.556902	6.79768000e-05	-3.16668900e-08	-2.14662065e+03	-6.99930900e-01	-2.50131400e-07	2.79825284e+06	2	4.99998400e-01	2.08348000e-07	2.39982337e+06
6.77996245e+01	2023-04-06T16:09:49.464972	5.96102300e-05	-6.43893400e-09	-9.25777932e+03	-6.99905900e-01	-2.35827800e-07	2.96786850e+06	2	4.49999200e-01	1.97273700e-07	2.28109069e+06
6.85340304e+01	2023-04-06T16:09:50.199027	8.47096200e-05	3.32903700e-09	2.54456829e+04	-6.99908500e-01	-2.24436600e-07	3.11851320e+06	2	4.00266700e-01	3.74359600e-07	1.06920378e+06
6.92750797e+01	2023-04-06T16:09:50.940084	5.96090000e-05	5.81418800e-09	1.02523345e+04	-6.99935700e-01	-2.13034900e-07	3.28554476e+06	2	3.49583600e-01	2.42317700e-07	1.44266638e+06
7.00064594e+01	2023-04-06T16:09:51.672140	5.96090000e-05	6.98386800e-09	8.53524150e+03	-6.99901200e-01	-2.07555600e-07	3.37211427e+06	2	3.00042100e-01	5.65175800e-08	5.30882780e+06
7.07357494e+01	2023-04-06T16:09:52.401195	6.79754600e-05	8.98015400e-09	7.56952052e+03	-6.99912100e-01	-2.07244700e-07	3.37722557e+06	2	2.50609700e-01	2.29226300e-07	1.09328511e+06
7.14702090e+01	2023-04-06T16:09:53.135251	6.79768000e-05	9.82246800e-09	6.92054176e+03	-6.99940400e-01	-2.01334100e-07	3.47651193e+06	2	2.00424000e-01	3.10153300e-07	6.46209471e+05
7.22106084e+01	2023-04-06T16:09:53.876307	3.45080300e-05	-9.32272300e-10	-3.70149687e+04	-6.99821100e-01	-1.95152200e-07	3.58602721e+06	2	1.49918400e-01	1.19687100e-07	1.25258612e+06
7.29445900e+01	2023-04-06T16:09:54.610363	9.30758600e-05	1.45392900e-07	6.40167849e+02	-6.99916900e-01	-1.98168300e-07	3.53193170e+06	2	1.00308400e-01	1.89409000e-07	5.29586239e+05
