Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

1.11653381e+02	2023-04-11T12:01:44.182166	1.09813700e-04	-2.24216800e-07	-4.89765709e+02	-6.99909500e-01	-1.62588900e-06	4.30478034e+05	3	1.00022600e+00	1.74083200e-06	5.74567793e+05
1.11794020e+02	2023-04-11T12:01:44.323174	9.30750000e-05	-1.58715100e-07	-5.86428134e+02	-6.99943000e-01	-1.55744000e-06	4.49418918e+05	3	9.50198300e-01	1.87607000e-06	5.06483393e+05
1.12466254e+02	2023-04-11T12:01:44.995217	1.09811800e-04	-1.02468900e-07	-1.07165979e+03	-6.99899000e-01	-1.45856900e-06	4.79853199e+05	3	9.00210200e-01	1.56866100e-06	5.73871729e+05
1.13138109e+02	2023-04-11T12:01:45.667260	1.09810900e-04	-6.14300000e-08	-1.78757773e+03	-6.99936100e-01	-1.35710700e-06	5.15756016e+05	3	8.50115800e-01	1.42990300e-06	5.94526901e+05
1.13809991e+02	2023-04-11T12:01:46.339302	5.96090000e-05	-3.45420200e-08	-1.72569525e+03	-6.99922600e-01	-1.27207100e-06	5.50222904e+05	3	8.00124600e-01	1.33596300e-06	5.98912245e+05
1.14670149e+02	2023-04-11T12:01:47.199357	8.47104100e-05	-1.53526800e-08	-5.51763015e+03	-6.99914300e-01	-1.18968900e-06	5.88317031e+05	3	7.50088000e-01	1.02730400e-06	7.30151932e+05
1.15356891e+02	2023-04-11T12:01:47.885400	7.63440100e-05	-8.69324400e-09	-8.78199324e+03	-6.99924100e-01	-1.13442500e-06	6.16985786e+05	3	7.00155200e-01	1.20739300e-06	5.79890061e+05
1.16044489e+02	2023-04-11T12:01:48.573443	9.30775400e-05	-3.51894200e-09	-2.64504331e+04	-6.99882300e-01	-1.02676700e-06	6.81636924e+05	3	6.50177300e-01	1.20147300e-06	5.41150155e+05
1.16748282e+02	2023-04-11T12:01:49.277487	7.63440100e-05	1.81569900e-09	4.20466223e+04	-6.99971700e-01	-9.12514500e-07	7.67080085e+05	3	6.00167700e-01	9.84740800e-07	6.09467689e+05
1.17457613e+02	2023-04-11T12:01:49.986533	9.30775400e-05	6.15936100e-09	1.51115578e+04	-6.99914300e-01	-8.43184100e-07	8.30084794e+05	3	5.50038000e-01	7.10477800e-07	7.74180418e+05
1.18138336e+02	2023-04-11T12:01:50.667576	8.47104100e-05	8.31225800e-09	1.01910227e+04	-6.99911100e-01	-7.80884500e-07	8.96305536e+05	3	5.00023400e-01	8.14243300e-07	6.14095811e+05
1.18830149e+02	2023-04-11T12:01:51.358619	8.47072500e-05	1.04640500e-08	8.09507313e+03	-6.99887000e-01	-6.59442900e-07	1.06133071e+06	3	4.50105700e-01	6.65425900e-07	6.76417464e+05
1.19518186e+02	2023-04-11T12:01:52.046663	1.09811800e-04	1.28915400e-08	8.51812894e+03	-6.99880800e-01	-5.72732300e-07	1.22200337e+06	3	4.00094000e-01	6.11797800e-07	6.53964431e+05
1.20060237e+02	2023-04-11T12:01:52.588697	8.47104100e-05	1.93822000e-08	4.37052605e+03	-6.99833200e-01	-5.01903700e-07	1.39435752e+06	3	3.50183500e-01	5.24469200e-07	6.67691258e+05
1.20611954e+02	2023-04-11T12:01:53.140732	7.63432700e-05	3.61451900e-08	2.11212806e+03	-6.99927800e-01	-4.02668500e-07	1.73822338e+06	3	3.00180600e-01	4.79799400e-07	6.25637714e+05
1.21330289e+02	2023-04-11T12:01:53.858777	9.30758600e-05	7.55989200e-08	1.23117976e+03	-6.99896500e-01	-3.01239400e-07	2.32338964e+06	3	2.49940500e-01	1.88279000e-07	1.32750068e+06
1.22216737e+02	2023-04-11T12:01:54.745833	5.96090000e-05	1.09647100e-07	5.43644109e+02	-6.99891700e-01	-2.50303600e-07	2.79617113e+06	3	2.00012800e-01	1.08565600e-07	1.84232206e+06
1.22935442e+02	2023-04-11T12:01:55.464878	6.79747800e-05	1.66828700e-07	4.07452555e+02	-6.99901200e-01	-2.51065500e-07	2.78772352e+06	3	1.49962200e-01	7.16421200e-08	2.09321276e+06
1.23997953e+02	2023-04-11T12:01:56.526946	1.01443800e-04	3.26274800e-07	3.10915216e+02	-6.99835300e-01	-3.54921900e-07	1.97180084e+06	3	1.00178900e-01	1.16805100e-07	8.57658613e+05
