Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

1.59259904e+02	2023-04-12T13:46:20.707859	5.12401700e-05	-6.96711600e-05	-7.35457397e-01	-1.00017400e-01	-6.18752800e-09	1.61643551e+07	1	1.50020500e+00	6.62327700e-05	2.26504946e+04
1.60118908e+02	2023-04-12T13:46:21.566918	6.79734300e-05	-6.42997000e-05	-1.05713448e+00	-9.98919600e-02	-6.73745000e-09	1.48263750e+07	1	1.45014500e+00	6.33800500e-05	2.28801492e+04
1.60669617e+02	2023-04-12T13:46:22.117957	6.79741100e-05	-6.15149400e-05	-1.10500165e+00	-9.99170500e-02	-9.50655600e-10	1.05103310e+08	1	1.40015600e+00	6.11928700e-05	2.28810317e+04
1.61228432e+02	2023-04-12T13:46:22.676996	7.63440100e-05	-5.93531000e-05	-1.28626828e+00	-9.99491700e-02	2.61818900e-11	-3.81749255e+09	1	1.35018100e+00	5.91288800e-05	2.28345438e+04
1.61782566e+02	2023-04-12T13:46:23.231035	7.63418000e-05	-5.74612100e-05	-1.32857975e+00	-9.99973300e-02	-4.53626000e-09	2.20440032e+07	1	1.30020000e+00	5.73450300e-05	2.26732814e+04
1.62337421e+02	2023-04-12T13:46:23.786073	8.47104100e-05	-5.54664500e-05	-1.52723692e+00	-9.98996500e-02	-4.73774400e-09	2.10859114e+07	1	1.25016800e+00	5.53127500e-05	2.26018052e+04
1.62884302e+02	2023-04-12T13:46:24.333112	1.01445600e-04	-5.35608200e-05	-1.89402627e+00	-9.99344600e-02	8.42120700e-11	-1.18669996e+09	1	1.20013900e+00	5.34919000e-05	2.24359015e+04
1.63436641e+02	2023-04-12T13:46:24.885151	5.96077600e-05	-5.15251800e-05	-1.15686660e+00	-1.00014100e-01	-1.66759800e-09	5.99749460e+07	1	1.15017500e+00	5.15235100e-05	2.23233044e+04
1.63837570e+02	2023-04-12T13:46:25.286178	5.96071300e-05	-4.96633200e-05	-1.20022443e+00	-9.98417700e-02	-4.15276200e-09	2.40422567e+07	1	1.10014700e+00	4.96308400e-05	2.21666004e+04
1.64252683e+02	2023-04-12T13:46:25.701208	8.47104100e-05	-4.76774600e-05	-1.77673916e+00	-9.99317600e-02	4.99250900e-10	-2.00163405e+08	1	1.05012700e+00	4.77689400e-05	2.19834688e+04
1.64650055e+02	2023-04-12T13:46:26.098236	5.96071300e-05	-4.56048600e-05	-1.30703460e+00	-1.00005700e-01	-1.25197000e-10	7.98786712e+08	1	1.00014400e+00	4.56708300e-05	2.18989670e+04
1.65061698e+02	2023-04-12T13:46:26.510264	1.09811800e-04	-4.34258600e-05	-2.52871906e+00	-9.98815700e-02	-3.51820200e-09	2.83899475e+07	1	9.50135300e-01	4.34156300e-05	2.18846369e+04
1.65462527e+02	2023-04-12T13:46:26.911292	8.47104100e-05	-4.10873400e-05	-2.06171560e+00	-9.98745500e-02	4.42893500e-10	-2.25504664e+08	1	9.00144200e-01	4.11664400e-05	2.18659714e+04
1.65874828e+02	2023-04-12T13:46:27.323321	5.96083700e-05	-3.87461400e-05	-1.53843376e+00	-9.99484900e-02	1.46892600e-09	-6.80418823e+07	1	8.50118500e-01	3.85226600e-05	2.20680114e+04
1.66561798e+02	2023-04-12T13:46:28.010369	8.47112000e-05	-3.60125700e-05	-2.35226756e+00	-9.98982900e-02	-2.59265000e-09	3.85313444e+07	1	8.00119200e-01	3.57511300e-05	2.23802492e+04
1.67107837e+02	2023-04-12T13:46:28.556408	5.96077600e-05	-3.31908000e-05	-1.79591212e+00	-9.99381000e-02	1.12286800e-09	-8.90025364e+07	1	7.50103000e-01	3.28719900e-05	2.28189106e+04
1.67650020e+02	2023-04-12T13:46:29.098445	5.12424200e-05	-3.02823600e-05	-1.69215411e+00	-9.99401200e-02	5.85875100e-10	-1.70582638e+08	1	7.00151500e-01	2.98314500e-05	2.34702470e+04
1.68197159e+02	2023-04-12T13:46:29.645484	5.96071300e-05	-2.72439300e-05	-2.18790498e+00	-9.99066600e-02	-3.18056300e-09	3.14116274e+07	1	6.50185700e-01	2.67734800e-05	2.42846914e+04
1.68749035e+02	2023-04-12T13:46:30.197522	5.12412900e-05	-2.42898600e-05	-2.10957535e+00	-9.99855900e-02	-8.63362600e-09	1.15809499e+07	1	6.00142600e-01	2.38940000e-05	2.51168745e+04
