Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

8.53824912e+01	2023-04-12T13:29:17.743797	7.63425300e-05	-2.69251400e-09	-2.83536242e+04	-2.99957700e-01	-2.40675500e-08	1.24631589e+07	2	1.50075200e+00	2.72111000e-08	5.51521989e+07
8.56351676e+01	2023-04-12T13:29:17.996815	1.09809900e-04	-6.23026700e-09	-1.76252318e+04	-2.99909500e-01	-2.29397300e-08	1.30738025e+07	2	1.45026300e+00	6.46737100e-08	2.24243050e+07
8.63895913e+01	2023-04-12T13:29:18.750868	3.45075800e-05	-2.29793500e-09	-1.50167781e+04	-2.99972100e-01	-1.87761200e-08	1.59762560e+07	2	1.40013800e+00	4.35649900e-08	3.21390640e+07
8.73067426e+01	2023-04-12T13:29:19.667932	1.77722900e-05	-7.69893600e-10	-2.30840859e+04	-2.99928300e-01	-1.82307300e-08	1.64517987e+07	2	1.34988600e+00	3.83623100e-08	3.51878185e+07
8.82285807e+01	2023-04-12T13:29:20.589996	7.63447300e-05	-8.19098700e-10	-9.32057761e+04	-2.99905200e-01	-1.62419600e-08	1.84648405e+07	2	1.30002600e+00	2.95000500e-08	4.40686033e+07
8.91504775e+01	2023-04-12T13:29:21.512060	1.09813700e-04	-1.46305000e-09	-7.50580636e+04	-2.99888800e-01	-1.36134800e-08	2.20288126e+07	2	1.25023600e+00	5.23203400e-08	2.38957927e+07
9.00723282e+01	2023-04-12T13:29:22.433125	1.09809900e-04	-2.12131000e-09	-5.17651357e+04	-2.99913500e-01	-1.10654400e-08	2.71036217e+07	2	1.20004600e+00	4.64848500e-08	2.58158518e+07
9.09956770e+01	2023-04-12T13:29:23.357189	1.09812800e-04	-3.85423900e-09	-2.84914350e+04	-2.99909500e-01	-9.06632300e-09	3.30795075e+07	2	1.15041800e+00	4.35307500e-09	2.64277091e+08
9.17599362e+01	2023-04-12T13:29:24.121243	3.45057800e-05	-3.16353300e-09	-1.09073558e+04	-2.99951000e-01	-6.31153300e-09	4.75242703e+07	2	1.10004600e+00	2.61127000e-08	4.21268578e+07
9.25411897e+01	2023-04-12T13:29:24.902298	3.45066800e-05	-2.33043100e-09	-1.48069949e+04	-2.99991100e-01	-6.07189100e-09	4.94065358e+07	2	1.05011000e+00	3.05935600e-08	3.43245441e+07
9.33066968e+01	2023-04-12T13:29:25.668351	9.40560200e-06	1.29703700e-09	7.25160655e+03	-2.99921900e-01	-8.98588700e-09	3.33769944e+07	2	9.99916700e-01	2.83030100e-08	3.53289880e+07
9.42290493e+01	2023-04-12T13:29:26.590415	3.45075800e-05	1.45936200e-09	2.36456616e+04	-2.99907200e-01	-8.20965000e-09	3.65310580e+07	2	9.49869600e-01	2.08174900e-08	4.56284403e+07
9.51505300e+01	2023-04-12T13:29:27.511480	1.09809900e-04	9.01626400e-10	1.21790910e+05	-2.99911800e-01	-6.51337100e-09	4.60455577e+07	2	8.99889500e-01	1.19544900e-08	7.52762769e+07
9.60723729e+01	2023-04-12T13:29:28.433544	1.26545000e-04	2.19802500e-10	5.75721386e+05	-2.99917900e-01	-4.49724300e-09	6.66892805e+07	2	8.50224200e-01	-1.43711700e-08	-5.91617941e+07
9.68380360e+01	2023-04-12T13:29:29.199598	7.63418000e-05	-2.11707600e-09	-3.60600186e+04	-2.99978500e-01	-6.08783300e-10	4.92750869e+08	2	8.00355300e-01	-9.87846700e-09	-8.10201927e+07
9.77598195e+01	2023-04-12T13:29:30.120662	5.12390400e-05	-5.65908000e-10	-9.05430565e+04	-2.99990900e-01	-2.93243600e-11	1.02300920e+10	2	7.50338800e-01	-4.15305600e-09	-1.80671486e+08
9.86818020e+01	2023-04-12T13:29:31.042727	2.61408300e-05	1.32648100e-09	1.97069012e+04	-2.99953600e-01	-6.19700800e-10	4.84029712e+08	2	6.99990500e-01	2.22324500e-08	3.14850815e+07
9.94473179e+01	2023-04-12T13:29:31.808780	2.61400500e-05	5.30743600e-09	4.92517479e+03	-2.99949300e-01	-3.29536000e-09	9.10217093e+07	2	6.49943500e-01	1.84685600e-08	3.51918883e+07
1.00369175e+02	2023-04-12T13:29:32.730845	8.47096200e-05	5.57011100e-09	1.52078872e+04	-2.99903200e-01	-3.29279300e-09	9.10786679e+07	2	5.99916400e-01	9.96319200e-09	6.02132730e+07
