Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

3.76760647e+02	2023-04-12T12:56:06.432813	1.26547200e-04	-5.40696500e-07	-2.34044792e+02	-2.99976400e-01	-7.18204000e-07	4.17675758e+05	2	1.00015100e+00	1.29738300e-06	7.70898802e+05
3.76901957e+02	2023-04-12T12:56:06.573824	2.61404400e-05	-4.44449400e-07	-5.88153342e+01	-2.99938700e-01	-6.51497600e-07	4.60383430e+05	2	9.50095400e-01	9.21573200e-07	1.03094947e+06
3.77558434e+02	2023-04-12T12:56:07.229879	5.96083700e-05	-3.76903000e-07	-1.58153079e+02	-2.99928300e-01	-5.98379500e-07	5.01234250e+05	2	9.00201300e-01	1.11708200e-06	8.05850690e+05
3.78397882e+02	2023-04-12T12:56:08.069948	5.96065100e-05	-3.25230400e-07	-1.83274718e+02	-2.99982500e-01	-5.53998500e-07	5.41486123e+05	2	8.50057300e-01	6.99289200e-07	1.21560193e+06
3.79058910e+02	2023-04-12T12:56:08.731002	7.63447300e-05	-2.82488600e-07	-2.70257738e+02	-2.99928300e-01	-5.21929900e-07	5.74652458e+05	2	8.00091100e-01	8.71839600e-07	9.17704472e+05
3.79730534e+02	2023-04-12T12:56:09.402058	7.63425300e-05	-2.38729100e-07	-3.19787282e+02	-2.99964000e-01	-4.97700600e-07	6.02699695e+05	2	7.50096400e-01	7.55988900e-07	9.92205573e+05
3.80402383e+02	2023-04-12T12:56:10.074114	7.63425300e-05	-2.09688900e-07	-3.64075209e+02	-2.99955700e-01	-4.71864200e-07	6.35682258e+05	2	7.00130100e-01	6.65171100e-07	1.05255640e+06
3.81074224e+02	2023-04-12T12:56:10.746169	1.01445600e-04	-1.70094500e-07	-5.96407291e+02	-3.00013900e-01	-4.54106900e-07	6.60668006e+05	2	6.50118800e-01	6.94928900e-07	9.35518439e+05
3.81750810e+02	2023-04-12T12:56:11.422225	7.63440100e-05	-1.43201100e-07	-5.33124466e+02	-2.99928300e-01	-4.32650000e-07	6.93235410e+05	2	6.00063000e-01	6.03855700e-07	9.93719195e+05
3.82281933e+02	2023-04-12T12:56:11.953269	8.47104100e-05	-1.13061700e-07	-7.49240547e+02	-2.99995200e-01	-4.13691600e-07	7.25166283e+05	2	5.50134600e-01	7.06499900e-07	7.78676119e+05
3.82949580e+02	2023-04-12T12:56:12.621324	7.63425300e-05	-8.33805200e-08	-9.15591915e+02	-2.99930300e-01	-3.88611000e-07	7.71800850e+05	2	4.99827700e-01	4.47514700e-07	1.11689672e+06
3.83965122e+02	2023-04-12T12:56:13.637408	5.12407300e-05	-6.13400900e-08	-8.35354660e+02	-2.99936600e-01	-3.61026700e-07	8.30787861e+05	2	4.50119400e-01	5.97175400e-07	7.53747391e+05
3.84674017e+02	2023-04-12T12:56:14.345466	5.12401700e-05	-4.36087800e-08	-1.17499664e+03	-2.99999200e-01	-3.19974000e-07	9.37573678e+05	2	4.00222200e-01	4.08013600e-07	9.80904068e+05
3.85580145e+02	2023-04-12T12:56:15.252541	5.96083700e-05	-1.55015700e-08	-3.84531180e+03	-2.99972100e-01	-2.80971300e-07	1.06762541e+06	2	3.50218200e-01	3.32847900e-07	1.05218690e+06
3.86308929e+02	2023-04-12T12:56:15.980601	7.63425300e-05	-6.66526900e-09	-1.14537808e+04	-2.99957700e-01	-2.32295500e-07	1.29127641e+06	2	3.00274300e-01	3.44562200e-07	8.71466168e+05
3.87043166e+02	2023-04-12T12:56:16.714661	1.01446500e-04	-3.56142300e-09	-2.84848219e+04	-2.99938900e-01	-1.77856000e-07	1.68641429e+06	2	2.50164700e-01	4.00762000e-07	6.24222606e+05
3.87777701e+02	2023-04-12T12:56:17.449722	8.47096200e-05	5.66386900e-10	1.49561404e+05	-2.99953300e-01	-1.31684100e-07	2.27782473e+06	2	2.00075400e-01	2.03582500e-07	9.82773077e+05
3.88371513e+02	2023-04-12T12:56:18.043772	6.79761400e-05	1.04167300e-08	6.52566976e+03	-2.99959700e-01	-9.13381800e-08	3.28405602e+06	2	1.50192400e-01	1.67498400e-07	8.96679610e+05
3.89105829e+02	2023-04-12T12:56:18.777832	5.96065100e-05	1.05685800e-08	5.63997339e+03	-2.99999500e-01	-5.17189000e-08	5.80057774e+06	2	1.00313400e-01	7.29594000e-08	1.37492085e+06
