Time elapsed	Time stamp	source_Bioprobe Voltage	source_Bioprobe Current	source_Bioprobe Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	Loop1 Index	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A		V	A	V/A

4.02041874e+02	2023-04-13T13:58:49.678019	9.30750000e-05	-4.10550400e-08	-2.26707854e+03	-9.99491700e-02	-1.23089000e-07	8.12007328e+05	3	1.50005700e+00	1.53868000e-07	9.74898614e+06
4.02429132e+02	2023-04-13T13:58:50.065044	2.61388600e-05	-2.34637800e-08	-1.11400891e+03	-9.99575300e-02	-9.00534700e-08	1.10997977e+06	3	1.45017100e+00	1.33919300e-07	1.08286931e+07
4.03162153e+02	2023-04-13T13:58:50.798090	5.12418500e-05	-1.68322900e-08	-3.04425898e+03	-9.99645400e-02	-6.23891000e-08	1.60227572e+06	3	1.40016800e+00	8.28604900e-08	1.68978967e+07
4.03896682e+02	2023-04-13T13:58:51.533136	1.01442900e-04	-1.33791400e-08	-7.58216896e+03	-9.99093600e-02	-4.75284900e-08	2.10209413e+06	3	1.35017200e+00	5.33140500e-08	2.53248815e+07
4.04974626e+02	2023-04-13T13:58:52.611205	6.79741100e-05	-9.55470800e-09	-7.11420066e+03	-9.99407900e-02	-3.44417200e-08	2.90173632e+06	3	1.30019100e+00	5.46242100e-08	2.38024678e+07
4.05896876e+02	2023-04-13T13:58:53.533264	2.61392600e-05	-5.97193200e-09	-4.37701903e+03	-9.99833000e-02	-2.15114900e-08	4.64790212e+06	3	1.25041100e+00	3.48439600e-08	3.58860187e+07
4.06818252e+02	2023-04-13T13:58:54.454322	5.12424200e-05	-2.53855300e-09	-2.01856806e+04	-1.00014700e-01	-1.56738800e-08	6.38097906e+06	3	1.20043900e+00	3.59169500e-08	3.34226319e+07
4.07740184e+02	2023-04-13T13:58:55.376380	6.79754600e-05	5.06662400e-10	1.34163222e+05	-9.99749300e-02	-1.24483300e-08	8.03119214e+06	3	1.15001300e+00	3.36867100e-08	3.41384778e+07
4.08682933e+02	2023-04-13T13:58:56.319440	3.45062200e-05	5.57978300e-10	6.18415089e+04	-9.99973300e-02	-6.73585800e-09	1.48455223e+07	3	1.10044900e+00	2.58665000e-08	4.25434056e+07
4.09599586e+02	2023-04-13T13:58:57.235498	5.12424200e-05	3.23528100e-09	1.58386304e+04	-9.99498300e-02	-6.59386200e-09	1.51580106e+07	3	1.05001100e+00	2.36496700e-08	4.43985476e+07
4.10521608e+02	2023-04-13T13:58:58.157556	2.61388600e-05	4.72682700e-09	5.52989564e+03	-9.98404100e-02	-8.17076400e-09	1.22192258e+07	3	9.99981900e-01	1.37486600e-08	7.27330445e+07
4.11443458e+02	2023-04-13T13:58:59.079615	1.01443800e-04	3.69876300e-09	2.74264126e+04	-9.98718500e-02	-4.61273000e-09	2.16513540e+07	3	9.50033000e-01	4.71144800e-08	2.01643529e+07
4.12365514e+02	2023-04-13T13:59:00.001674	1.01443800e-04	2.20092800e-09	4.60913760e+04	-9.99163700e-02	-2.54436100e-09	3.92697302e+07	3	8.99903900e-01	-1.17289600e-08	-7.67249526e+07
4.13287301e+02	2023-04-13T13:59:00.923732	1.09809900e-04	2.15174100e-10	5.10330472e+05	-9.98628200e-02	4.59720000e-10	-2.17225311e+08	3	8.50339500e-01	-1.36775400e-08	-6.21705000e+07
4.14208997e+02	2023-04-13T13:59:01.845791	1.01442900e-04	-4.83034600e-10	-2.10011664e+05	-9.99575300e-02	3.90878900e-09	-2.55725060e+07	3	8.00319400e-01	-7.03203400e-09	-1.13810513e+08
4.15132481e+02	2023-04-13T13:59:02.768849	5.12412900e-05	1.96204100e-09	2.61163197e+04	-9.99819500e-02	2.87004100e-09	-3.48364187e+07	3	7.50564800e-01	8.50567200e-09	8.82428572e+07
4.16052924e+02	2023-04-13T13:59:03.688908	5.96083700e-05	3.20537400e-09	1.85963853e+04	-1.00053200e-01	1.13649400e-10	-8.80367164e+08	3	7.00246100e-01	1.39939000e-08	5.00393814e+07
4.16974605e+02	2023-04-13T13:59:04.610967	5.12412900e-05	7.00905900e-09	7.31072317e+03	-1.00007700e-01	-2.11839000e-09	4.72092957e+07	3	6.49926400e-01	1.22479000e-08	5.30643131e+07
4.17896848e+02	2023-04-13T13:59:05.533025	8.47104100e-05	1.49674300e-08	5.65964965e+03	-9.98585000e-02	-4.10185400e-09	2.43447231e+07	3	5.99896000e-01	8.77661700e-10	6.83516211e+08
